rule_text,rule_json,lift_tr,lift_te,prec_te,n_te
base_tight20>18.272 & rng_contract>1.101 & dh10<=-11.328 & dh20>-20.713,"[[""base_tight20"", "">"", 18.272], [""rng_contract"", "">"", 1.101], [""dh10"", ""<="", -11.328], [""dh20"", "">"", -20.713]]",2.35,1.64,0.173,705
base_tight20>18.272 & rng_contract<=1.101 & atrp>3.94 & base_tight20>30.832,"[[""base_tight20"", "">"", 18.272], [""rng_contract"", ""<="", 1.101], [""atrp"", "">"", 3.94], [""base_tight20"", "">"", 30.832]]",1.78,1.64,0.173,1423
base_tight20<=18.272 & dh10<=-9.336 & days_since_hi20>2.5 & atrp<=3.571,"[[""base_tight20"", ""<="", 18.272], [""dh10"", ""<="", -9.336], [""days_since_hi20"", "">"", 2.5], [""atrp"", ""<="", 3.571]]",0.79,1.61,0.17,194
atrp<=3.536 & dh10<=-10.084 & dh10>-15.405 & v_ratio>1.122,"[[""atrp"", ""<="", 3.536], [""dh10"", ""<="", -10.084], [""dh10"", "">"", -15.405], [""v_ratio"", "">"", 1.122]]",1.56,1.61,0.17,147
dh5<=-7.145 & dh10>-14.066 & rng_contract>1.367 & mtd_daysup<=2.5,"[[""dh5"", ""<="", -7.145], [""dh10"", "">"", -14.066], [""rng_contract"", "">"", 1.367], [""mtd_daysup"", ""<="", 2.5]]",2.95,1.57,0.166,308
base_tight20>18.272 & dh5<=-7.38 & dh10>-15.046 & v_ratio>1.225,"[[""base_tight20"", "">"", 18.272], [""dh5"", ""<="", -7.38], [""dh10"", "">"", -15.046], [""v_ratio"", "">"", 1.225]]",2.35,1.56,0.165,449
atrp>3.536 & atr5v20<=0.978 & atrp>4.711 & atrp>5.862,"[[""atrp"", "">"", 3.536], [""atr5v20"", ""<="", 0.978], [""atrp"", "">"", 4.711], [""atrp"", "">"", 5.862]]",1.76,1.55,0.164,940
base_tight20>18.272 & dh10<=-12.317 & rng_contract>1.087 & dh40>-21.769,"[[""base_tight20"", "">"", 18.272], [""dh10"", ""<="", -12.317], [""rng_contract"", "">"", 1.087], [""dh40"", "">"", -21.769]]",2.15,1.54,0.162,426
atrp>3.536 & rng_contract>1.153 & dh40<=-22.413 & dh10>-11.531,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh40"", ""<="", -22.413], [""dh10"", "">"", -11.531]]",2.1,1.52,0.16,225
atrp>3.536 & rng_contract<=1.153 & base_tight20>29.481 & dh10>-15.085,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""base_tight20"", "">"", 29.481], [""dh10"", "">"", -15.085]]",1.46,1.49,0.157,1633
