rule_id,feature,direction,threshold,selected_n,fired_n,precision,lift,rank_mean,outcome_mean_5x,score
R0145,dist_high_60__pct,lo,0.2,421,15377,0.0273785523834298,1.4794721017565717,7.389548693586699,-0.33605932904410574,0.7798946953724786
R0121,dist_sma_100__pct,hi,0.9,233,7800,0.029871794871794873,1.6142010184937017,8.618025751072961,-0.6406917652926798,0.7729535556132219
R0024,upper_wick_pct__pct,hi,0.7,636,23366,0.02721903620645382,1.4708522255005263,7.885220125786163,-0.6894788134252787,0.7709508398001789
R0156,dist_high_252__pct,lo,0.2,408,15134,0.026959164794502444,1.45680939012188,7.257352941176471,-0.2600375925782569,0.7505348176189239
R0217,rs_market_20d__pct,hi,0.9,222,7813,0.028414181492384488,1.535435045049103,7.716216216216216,-0.6211856547660516,0.749472557862125
R0059,ret20_pct__pct,hi,0.9,222,7813,0.028414181492384488,1.535435045049103,7.716216216216216,-0.6211856547660516,0.749472557862125
R0061,ret40_pct__pct,lo,0.05,112,3765,0.029747675962815405,1.6074939267320962,8.392857142857142,-0.22709061102210742,0.7452693049586123
R0171,turn_pct_252__pct,hi,0.7,621,23050,0.026941431670281995,1.4558511341047715,7.879227053140097,-0.6978196911648343,0.7441833280546941
R0016,range_vs_prev_pct__pct,hi,0.7,629,23364,0.02692175997260743,1.4547881221713383,7.917329093799682,-0.7197323638901126,0.7404324699807037
R0123,dist_sma_200__pct,lo,0.05,99,3740,0.026470588235294117,1.4304078704652594,8.242424242424242,-0.11815407984642398,0.7339222966177092
R0175,vol_dry_count_7__pct,lo,0.05,91,3237,0.028112449799196786,1.5191301792535998,6.0989010989010985,-1.1822028734660734,0.726306531596794
R0012,range_pct__pct,hi,0.7,625,23370,0.026743688489516474,1.4451655611366312,7.912,-0.7168293465018107,0.7245273421351294
R0198,rs_sector_20d__pct,lo,0.05,109,3772,0.028897136797454932,1.5615328054507633,7.256880733944954,-0.47855959276868953,0.7211636044184269
R0098,vol_ratio_60d__pct,hi,0.8,415,15510,0.02675693101225016,1.4458811556891475,7.501204819277109,-0.7209706790614346,0.7141561263337917
R0075,ret60_pct__pct,hi,0.9,223,7746,0.028789052414149238,1.555692181465358,8.52017937219731,-0.6968234148177396,0.7029183406655496
R0129,dist_high_10__pct,lo,0.05,111,3773,0.02941956003180493,1.589763319237827,8.063063063063064,-0.7370638920351839,0.6902152722332483
R0014,range_pct__pct,hi,0.9,213,7833,0.02719264649559556,1.46942618805189,7.333333333333333,-0.8965931534461372,0.682210117850511
R0013,range_pct__pct,hi,0.8,412,15599,0.02641194948394128,1.4272391712771726,7.701456310679611,-0.8502759263783352,0.6673721919814042
R0017,range_vs_prev_pct__pct,hi,0.8,410,15596,0.02628879199794819,1.4205840325358152,7.678048780487805,-0.8160403466938937,0.6582986421666859
R0186,up_day_streak__pct,hi,0.8,346,12768,0.027098997493734334,1.4643656178774462,8.289017341040463,-1.142711062129789,0.654523947076995
R0199,rs_sector_20d__pct,lo,0.1,202,7649,0.026408680873316773,1.4270625433034676,6.851485148514851,-0.3839907925854449,0.6487072533596576
R0018,range_vs_prev_pct__pct,hi,0.9,210,7831,0.02681649853147746,1.4491000432926051,7.371428571428571,-0.9234166247917951,0.6480919243489953
R0126,dist_sma_200__pct,hi,0.8,408,15374,0.026538311434890074,1.434067471712276,8.245098039215685,-0.6900312048267974,0.6325959814658715
R0211,rs_market_20d__pct,lo,0.05,105,3773,0.027829313543599257,1.503830166846593,7.428571428571429,-0.48989775316456535,0.6293521330889483
R0053,ret20_pct__pct,lo,0.05,105,3773,0.027829313543599257,1.503830166846593,7.428571428571429,-0.48989775316456535,0.6293521330889483
R0137,dist_high_20__pct,lo,0.1,203,7662,0.026494387888279822,1.4316939473231851,7.300492610837439,-0.49509383056516293,0.6241353410162223
R0177,vol_dry_count_7__pct,lo,0.2,411,16114,0.02550577137892516,1.3782714535243015,7.450121654501216,-0.6748452483159526,0.6085325826318874
R0107,dist_sma_50__pct,lo,0.05,105,3772,0.027836691410392366,1.5042288492874327,7.723809523809524,-0.35316640861678317,0.6081553032616097
R0054,ret20_pct__pct,lo,0.1,199,7649,0.026016472741534843,1.4058685451355946,7.135678391959799,-0.339987197016678,0.595688052324956
R0212,rs_market_20d__pct,lo,0.1,199,7649,0.026016472741534843,1.4058685451355946,7.135678391959799,-0.339987197016678,0.595688052324956
R0117,dist_sma_100__pct,lo,0.2,360,15341,0.023466527605762337,1.268075551680303,7.552777777777778,-0.14889180259505194,0.5852678445405055
R0005,open_gap_pct__pct,lo,0.1,187,7664,0.024399791231732776,1.318506906810792,8.224598930481283,-0.1421924490401843,0.5800126469955355
R0152,dist_high_120__pct,lo,0.3,559,23000,0.024304347826086956,1.3133493713073778,7.447227191413238,-0.22670646406704753,0.5793450065494827
R0146,dist_high_60__pct,lo,0.3,571,23109,0.024708987840235407,1.3352151589430068,7.423817863397548,-0.2856075301354335,0.5704039204361866
R0091,vol_ratio_20d__pct,hi,0.9,201,7821,0.025700038358266206,1.3887691808037594,7.268656716417911,-0.7663275926394709,0.5630872981624762
R0112,dist_sma_50__pct,hi,0.8,401,15554,0.02578114954352578,1.393152237075375,8.389027431421447,-0.6533257082662709,0.560719032437011
R0138,dist_high_20__pct,lo,0.2,384,15420,0.024902723735408562,1.3456841876923495,7.408854166666667,-0.3968472592912229,0.5525025180829104
