pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,selected_n_dec,winner_n_dec,manual_precision_dec,winner_precision_dec,rank_quality_dec,weight,rule,parsed_conditions,fire_col
6758,FALCPAT_6758,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,16,355,32,16,0.09014084507042254,0.04507042253521127,0.46458333333333335,25.992513599434496,volatility (20d ATR%) >= 3.3478 AND close position in daily range >= 0.3941 AND close position in weekly range >= 0.6374 AND weekly range % >= 8.5149,atr_20_pct>=3.3478 AND close_loc>=0.3941 AND weekly_close_loc>=0.6374 AND weekly_range_pct>=8.5149,pat_6758
7056,FALCPAT_7056,other,hit_15pc_20d,other,PROMOTED,16,427,28,16,0.06557377049180328,0.03747072599531616,0.43333333333333335,14.662761173805514,volatility (20d ATR%) >= 2.1406 AND 60d relative strength vs sector >= 10.0563 AND close position in weekly range >= 0.0938 AND weekly range % >= 8.0101,atr_20_pct>=2.1406 AND rs_sector_60d>=10.0563 AND weekly_close_loc>=0.0938 AND weekly_range_pct>=8.0101,pat_7056
6519,FALCPAT_6519,other,hit_15pc_20d,other,PROMOTED,16,452,28,16,0.061946902654867256,0.035398230088495575,0.4809523809523809,14.52361148458456,distance from 50-DMA >= 5.5854 AND 60d relative strength vs market >= -13.9851 AND 60d relative strength vs sector >= 26.8539,dist_sma_50>=5.5854 AND rs_market_60d>=-13.9851 AND rs_sector_60d>=26.8539,pat_6519
8411,FALCPAT_8411,pullback_reversal,hit_25pc_30d,capitulation,PROMOTED,16,741,25,16,0.033738191632928474,0.021592442645074223,0.6186666666666667,6.206570485553556,volatility (20d ATR%) >= 3.5179 AND distance from 120-day high <= -26.5584 AND distance from 200-DMA <= 15.007,atr_20_pct>=3.5179 AND dist_high_120<=-26.5584 AND dist_sma_200<=15.007,pat_8411
6643,FALCPAT_6643,other,hit_10pc_20d,other,PROMOTED,16,1103,26,16,0.02357207615593835,0.014505893019038985,0.7051282051282051,3.320334147583124,volatility (20d ATR%) >= 3.5789 AND 60d relative strength vs sector <= -2.094 AND close position in weekly range <= 0.7086,atr_20_pct>=3.5789 AND rs_sector_60d<=-2.094 AND weekly_close_loc<=0.7086,pat_6643
6672,FALCPAT_6672,other,hit_15pc_20d,other,PROMOTED,16,1133,27,16,0.02383053839364519,0.01412180052956752,0.691358024691358,3.204042989874417,volatility (20d ATR%) >= 3.5755 AND 60d relative strength vs market <= -0.5489 AND close position in weekly range <= 0.712,atr_20_pct>=3.5755 AND rs_market_60d<=-0.5489 AND weekly_close_loc<=0.712,pat_6672
9460,FALCPAT_9460,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,15,178,27,15,0.15168539325842698,0.08426966292134831,0.5703703703703703,98.25384355434073,volatility (20d ATR%) >= 2.5731 AND distance from year-high >= -52.5716 AND close position in weekly range >= 0.4709 AND weekly range % >= 12.3243,atr_20_pct>=2.5731 AND dist_high_252>=-52.5716 AND weekly_close_loc>=0.4709 AND weekly_range_pct>=12.3243,pat_9460
9574,FALCPAT_9574,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,15,289,27,15,0.09342560553633218,0.05190311418685121,0.4938271604938271,32.27095986773611,volatility (20d ATR%) >= 3.5761 AND distance from year-high >= -27.4711 AND close position in weekly range >= 0.5899 AND weekly range % >= 8.6569,atr_20_pct>=3.5761 AND dist_high_252>=-27.4711 AND weekly_close_loc>=0.5899 AND weekly_range_pct>=8.6569,pat_9574
8596,FALCPAT_8596,dryup,hit_15pc_20d,other,PROMOTED,15,493,29,15,0.058823529411764705,0.030425963488843813,0.6160919540229884,14.859990390463121,volatility (20d ATR%) >= 4.4669 AND days with sub-75% volume in last 20 <= 12.5 AND close position in weekly range >= 0.4229,atr_20_pct>=4.4669 AND n_sub_75v_20d<=12.5 AND weekly_close_loc>=0.4229,pat_8596
9150,FALCPAT_9150,dryup,hit_10pc_20d,other,PROMOTED,15,616,28,15,0.045454545454545456,0.024350649350649352,0.5928571428571429,8.843323164466813,volatility (20d ATR%) >= 4.4687 AND days with sub-75% volume in last 20 <= 11.5 AND 20d relative strength vs market >= -10.4124,atr_20_pct>=4.4687 AND n_sub_75v_20d<=11.5 AND rs_market_20d>=-10.4124,pat_9150
7751,FALCPAT_7751,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,15,691,28,15,0.04052098408104197,0.02170767004341534,0.3952380952380953,4.685215446193557,volatility (20d ATR%) >= 3.5078 AND distance from 60-day high <= -6.8519 AND close position in weekly range >= 0.6063 AND weekly range % <= 10.9288,atr_20_pct>=3.5078 AND dist_high_60<=-6.8519 AND weekly_close_loc>=0.6063 AND weekly_range_pct<=10.9288,pat_7751
8966,FALCPAT_8966,compression,hit_10pc_20d,capitulation,PROMOTED,15,845,25,15,0.029585798816568046,0.01775147928994083,0.6293333333333334,4.454266097340517,volatility (20d ATR%) >= 3.5669 AND distance from 120-day high <= -15.7106 AND days with sub-3% range in last 7 <= 3.5 AND close position in weekly range <= 0.6536,atr_20_pct>=3.5669 AND dist_high_120<=-15.7106 AND n_sub_3_range_7d<=3.5 AND weekly_close_loc<=0.6536,pat_8966
6715,FALCPAT_6715,other,hit_15pc_20d,other,PROMOTED,15,990,20,15,0.020202020202020204,0.015151515151515152,0.6166666666666667,2.543776274032955,volatility (20d ATR%) >= 3.0418 AND 60-day return <= -12.5897 AND 60d relative strength vs market <= 29.6728 AND close position in weekly range <= 0.6892,atr_20_pct>=3.0418 AND roc_60<=-12.5897 AND rs_market_60d<=29.6728 AND weekly_close_loc<=0.6892,pat_6715
8943,FALCPAT_8943,other,hit_10pc_20d,other,PROMOTED,14,489,24,14,0.049079754601226995,0.028629856850715747,0.5027777777777778,9.299218770278044,volatility (20d ATR%) >= 3.9309 AND distance from 20-day high >= -12.7454 AND distance from 200-DMA >= 26.2528 AND close position in weekly range >= 0.2191,atr_20_pct>=3.9309 AND dist_high_20>=-12.7454 AND dist_sma_200>=26.2528 AND weekly_close_loc>=0.2191,pat_8943
8670,FALCPAT_8670,dryup,hit_10pc_20d,other,PROMOTED,14,547,25,14,0.04570383912248629,0.025594149908592323,0.5706666666666665,8.786678355844623,volatility (20d ATR%) >= 4.2698 AND days with sub-75% volume in last 20 <= 12.5 AND 60d relative strength vs sector >= -0.0247,atr_20_pct>=4.2698 AND n_sub_75v_20d<=12.5 AND rs_sector_60d>=-0.0247,pat_8670
8954,FALCPAT_8954,other,hit_15pc_20d,other,PROMOTED,14,508,24,14,0.047244094488188976,0.027559055118110236,0.5027777777777778,8.616616388057444,volatility (20d ATR%) >= 3.9374 AND distance from 20-day high >= -14.2373 AND distance from 200-DMA >= 26.2528 AND close position in weekly range >= 0.1754,atr_20_pct>=3.9374 AND dist_high_20>=-14.2373 AND dist_sma_200>=26.2528 AND weekly_close_loc>=0.1754,pat_8954
8572,FALCPAT_8572,other,hit_10pc_20d,other,PROMOTED,14,587,26,14,0.044293015332197615,0.02385008517887564,0.5615384615384615,7.808246597463873,volatility (20d ATR%) >= 4.0236 AND distance from 200-DMA >= -9.2327 AND close position in weekly range >= 0.4229 AND weekly range % <= 8.6663,atr_20_pct>=4.0236 AND dist_sma_200>=-9.2327 AND weekly_close_loc>=0.4229 AND weekly_range_pct<=8.6663,pat_8572
6647,FALCPAT_6647,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,14,653,23,14,0.03522205206738132,0.021439509954058193,0.5652173913043479,5.6181568143190646,volatility (20d ATR%) >= 2.6723 AND 60-day return >= -11.5307 AND 60d relative strength vs market <= 3.557 AND close position in weekly range >= 0.7086,atr_20_pct>=2.6723 AND roc_60>=-11.5307 AND rs_market_60d<=3.557 AND weekly_close_loc>=0.7086,pat_6647
7735,FALCPAT_7735,pullback_reversal,hit_10pc_20d,capitulation,PROMOTED,14,914,28,14,0.030634573304157548,0.015317286652078774,0.5619047619047619,3.4706052529715476,volatility (20d ATR%) >= 3.0158 AND distance from 120-day high <= -18.0703 AND close position in weekly range >= 0.4253 AND weekly range % <= 8.6398,atr_20_pct>=3.0158 AND dist_high_120<=-18.0703 AND weekly_close_loc>=0.4253 AND weekly_range_pct<=8.6398,pat_7735
8509,FALCPAT_8509,other,hit_10pc_20d,other,PROMOTED,13,171,26,13,0.15204678362573099,0.07602339181286549,0.5564102564102564,82.50125437959032,distance from 60-day high >= -3.6453 AND weekly range % >= 8.9238,dist_high_60>=-3.6453 AND weekly_range_pct>=8.9238,pat_8509
9294,FALCPAT_9294,continuation,hit_15pc_20d,momentum,PROMOTED,13,186,20,13,0.10752688172043011,0.06989247311827956,0.5766666666666667,55.59212221082708,distance from 60-day high >= -4.2092 AND 20-day return >= 10.848 AND weekly range % >= 8.2161,dist_high_60>=-4.2092 AND roc_20>=10.848 AND weekly_range_pct>=8.2161,pat_9294
7754,FALCPAT_7754,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,13,202,25,13,0.12376237623762376,0.06435643564356436,0.5413333333333334,55.30779414422878,volatility (20d ATR%) >= 3.5078 AND 5-day return >= 7.2582 AND close position in weekly range >= 0.6063 AND weekly range % >= 10.9288,atr_20_pct>=3.5078 AND roc_5>=7.2582 AND weekly_close_loc>=0.6063 AND weekly_range_pct>=10.9288,pat_7754
8691,FALCPAT_8691,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,13,210,24,13,0.11428571428571428,0.06190476190476191,0.48333333333333334,43.86354192927328,volatility (20d ATR%) >= 3.9142 AND 60d relative strength vs sector >= 26.5086 AND close position in weekly range >= 0.4939,atr_20_pct>=3.9142 AND rs_sector_60d>=26.5086 AND weekly_close_loc>=0.4939,pat_8691
9429,FALCPAT_9429,other,hit_15pc_20d,other,PROMOTED,13,260,21,13,0.08076923076923077,0.05,0.6825396825396824,35.35776481010716,volatility (20d ATR%) >= 4.2484 AND distance from year-high <= -15.7819 AND distance from 200-DMA >= 1.1002 AND 20d relative strength vs sector <= 2.6078,atr_20_pct>=4.2484 AND dist_high_252<=-15.7819 AND dist_sma_200>=1.1002 AND rs_sector_20d<=2.6078,pat_9429
6151,FALCPAT_6151,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,13,270,19,13,0.07037037037037037,0.04814814814814815,0.5087719298245614,22.11227936763777,volatility (20d ATR%) >= 2.3809 AND distance from year-high >= -5.3701 AND close position in weekly range >= 0.7418 AND weekly range % >= 4.478,atr_20_pct>=2.3809 AND dist_high_252>=-5.3701 AND weekly_close_loc>=0.7418 AND weekly_range_pct>=4.478,pat_6151
8270,FALCPAT_8270,fresh_breakout,hit_15pc_20d,other,PROMOTED,13,388,20,13,0.05154639175257732,0.03350515463917526,0.67,14.843135256873436,distance from year-high >= -32.38 AND distance from 60-day high <= -19.3918 AND days with sub-3% range in last 7 <= 3.5 AND 60d relative strength vs sector <= 1.7032,dist_high_252>=-32.38 AND dist_high_60<=-19.3918 AND n_sub_3_range_7d<=3.5 AND rs_sector_60d<=1.7032,pat_8270
9542,FALCPAT_9542,pullback_reversal,hit_10pc_20d,capitulation,PROMOTED,13,634,19,13,0.02996845425867508,0.02050473186119874,0.7052631578947367,5.5591780048332495,volatility (20d ATR%) >= 3.3204 AND distance from 120-day high <= -25.8628 AND 60-day return >= -24.9121 AND close position in weekly range <= 0.6786,atr_20_pct>=3.3204 AND dist_high_120<=-25.8628 AND roc_60>=-24.9121 AND weekly_close_loc<=0.6786,pat_9542
9127,FALCPAT_9127,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,13,484,20,13,0.04132231404958678,0.026859504132231406,0.38333333333333336,5.457580568461242,volatility (20d ATR%) >= 3.4326 AND distance from year-high >= -21.3469 AND close position in weekly range >= 0.7406 AND weekly range % <= 10.6698,atr_20_pct>=3.4326 AND dist_high_252>=-21.3469 AND weekly_close_loc>=0.7406 AND weekly_range_pct<=10.6698,pat_9127
9195,FALCPAT_9195,other,hit_40pc_40d,other,PROMOTED,13,802,26,13,0.032418952618453865,0.016209476309226933,0.5897435897435898,3.9753204073527417,volatility (20d ATR%) <= 6.4183 AND volatility (20d ATR%) >= 4.4887 AND 20d relative strength vs sector >= -11.6776,atr_20_pct<=6.4183 AND atr_20_pct>=4.4887 AND rs_sector_20d>=-11.6776,pat_9195
