variant,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,weights,avg_score,avg_patterns
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-10,2025-09-11,0.6140302738785215,10,"AEGISVOPAK,PTCIL,ZENTEC,BHARATFORG,THERMAX,IFCI,AUROPHARMA,ADANIPOWER,OFSS,VTL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.4562,-0.7637,3.5897,-1.0032,1.0984,-0.5255,-4.3403,1.7759,7.6305,0.5274","0.15018,0.15018,0.14884,0.10666,0.10666,0.07545,0.07328,0.06922,0.05977,0.05977",6.325125195822376,3.6
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-12,2025-09-15,-0.10884105477255535,10,"COCHINSHIP,ABDL,TEGA,ABFRL,WAAREEENER,INFY,TRAVELFOOD,GMDCLTD,HINDCOPPER,GRSE","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-2.9405,-1.3243,-1.5182,1.3210,1.3112,0.9425,2.4083,0.8755,0.2116,3.0169","0.15083,0.15083,0.15083,0.14825,0.07763,0.06812,0.06812,0.06506,0.06506,0.05527",8.857227128890452,4.1
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-15,2025-09-16,0.667614550053819,10,"PTCIL,OLAELEC,CHALET,GABRIEL,HAL,ASAHIINDIA,ACMESOLAR,JBMA,BALRAMCHIN,ENGINERSIN","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.2037,2.2708,0.3888,-0.8516,-1.0407,1.7675,-0.2078,2.3140,0.6303,1.1780","0.15160,0.15160,0.15072,0.07801,0.07801,0.07801,0.07801,0.07801,0.07801,0.07801",29.35032949654334,6.0
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-19,2025-09-22,1.5728048432603112,10,"IPCALAB,PARADEEP,SUMICHEM,SWIGGY,JSL,HEXT,TBOTEK,GABRIEL,LALPATHLAB,KPRMILL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.3501,0.4286,3.3287,2.4134,-0.6450,5.4876,0.5810,1.1030,1.7686,0.2950","0.12331,0.12179,0.11988,0.11737,0.11208,0.10958,0.10204,0.09394,0.05000,0.05000",140.16556836600375,25.0
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-22,2025-09-23,2.1302146002655418,10,"SCI,GRSE,URBANCO,HYUNDAI,COCHINSHIP,BALKRISIND,SBILIFE,CARTRADE,ATGL,NETWEB","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.2034,0.0072,3.8687,3.6388,1.7423,1.8903,2.2769,-0.7924,8.5609,1.0219","0.15013,0.15013,0.12369,0.09971,0.08749,0.08498,0.08498,0.08027,0.06931,0.06931",4.453816459280301,3.8
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-25,2025-09-26,1.0160589488264198,10,"RAILTEL,ADANIPOWER,ONESOURCE,NEWGEN,AEGISVOPAK,BHARTIHEXA,NETWEB,GLENMARK,PAGEIND,GRSE","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.6768,2.9728,-2.0613,1.5723,0.0387,2.0940,-1.1402,1.8653,1.9942,3.7203","0.15029,0.15029,0.14398,0.10999,0.09609,0.09597,0.06799,0.06296,0.06296,0.05947",10.702686454482382,3.8
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-29,2025-09-30,1.358702649336233,10,"REDINGTON,CHOLAHLDNG,KARURVYSYA,NIVABUPA,GLAND,KPRMILL,VMM,COROMANDEL,AEGISVOPAK,SCHAEFFLER","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","4.7028,2.9481,1.7409,0.8318,0.0834,3.3443,-0.6181,-0.7462,-3.4051,-0.4451","0.13848,0.12324,0.11956,0.11896,0.10515,0.10473,0.09524,0.09463,0.05000,0.05000",73.96331463603738,14.0
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-09-30,2025-10-01,-0.22643433246676864,10,"TATAINVEST,ONESOURCE,GODIGIT,SAMMAANCAP,ASAHIINDIA,AEGISVOPAK,SPLPETRO,PTCIL,MAPMYINDIA,BLUEDART","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.2143,1.2401,0.4066,-6.0785,-0.4250,0.0837,3.2194,-2.5615,-0.0988,1.0728","0.15065,0.15065,0.13873,0.10414,0.08999,0.08979,0.08552,0.06768,0.06143,0.06143",53.24303750563083,11.5
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-10-01,2025-10-03,2.107345955245865,10,"SUNTV,TATAINVEST,JAINREC,RAILTEL,PFIZER,ADANIENT,GMRAIRPORT,NEWGEN,ADANIPOWER,KPITTECH","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.5329,5.7437,6.1621,-0.7687,-0.6140,0.1476,0.2071,0.9804,3.4327,-0.3481","0.15047,0.15047,0.15047,0.14190,0.09167,0.08106,0.06532,0.06228,0.05317,0.05317",9.69033869812098,4.6
short0915_top10_avg_5d_le5_mp1_score_sqrt_cap15_blmedium,2025-10-03,2025-10-06,1.043108813889873,10,"NETWEB,IFCI,TRAVELFOOD,GABRIEL,NAM-INDIA,TTML,HONASA,SBICARD,TATAINVEST,GRAVITA","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","2.8123,1.5811,1.1229,0.4491,2.3942,-0.2977,-3.4776,-1.0188,2.4079,2.3448","0.15003,0.15003,0.12780,0.12089,0.11412,0.09083,0.07520,0.06050,0.06005,0.05055",12.448730909241089,5.9
