entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-08-08,2025-08-07,15,"SARDAEN,GODFRYPHLP,3MINDIA,NEWGEN,SPLPETRO,ITI,FORCEMOT,PVRINOX,ATUL,ECLERX,PARADEEP,JKCEMENT,BLS,ZFCVINDIA,AIAENG",155.82239209911367,58.666666666666664
2025-08-11,2025-08-08,15,"ATHERENERG,PVRINOX,CAPLIPOINT,CRAFTSMAN,ITI,CUMMINSIND,NEULANDLAB,KPIL,MEDANTA,KAJARIACER,PTCIL,JKCEMENT,IEX,SAILIFE,AEGISVOPAK",183.08340058830424,47.46666666666667
2025-08-12,2025-08-11,15,"ATHERENERG,GODFRYPHLP,3MINDIA,CRAFTSMAN,PTCIL,CAPLIPOINT,KAJARIACER,HBLENGINE,ZFCVINDIA,SAILIFE,MEDANTA,FSL,NEULANDLAB,DOMS,PGEL",148.51075433859668,53.6
2025-08-13,2025-08-12,15,"HBLENGINE,CRAFTSMAN,SAILIFE,KPIL,JMFINANCIL,FORCEMOT,ATHERENERG,PAYTM,TRAVELFOOD,ABBOTINDIA,NEULANDLAB,DOMS,CARTRADE,CHOICEIN,PARADEEP",158.41673544359068,53.53333333333333
2025-08-14,2025-08-13,15,"CARTRADE,FORCEMOT,SONATSOFTW,JMFINANCIL,HONASA,HBLENGINE,CRAFTSMAN,GABRIEL,TBOTEK,3MINDIA,PAYTM,NSLNISP,ZFCVINDIA,RPOWER,EIHOTEL",156.93178595939955,53.53333333333333
2025-08-18,2025-08-14,15,"NSLNISP,EIHOTEL,FORCEMOT,HBLENGINE,CRAFTSMAN,JMFINANCIL,CARTRADE,GABRIEL,HONASA,PFIZER,ANTHEM,PTCIL,SONATSOFTW,VMM,GODREJIND",168.9391962334419,56.0
2025-08-19,2025-08-18,15,"NSLNISP,ANTHEM,FORCEMOT,GABRIEL,ENDURANCE,PFIZER,CRAFTSMAN,JMFINANCIL,SPLPETRO,HYUNDAI,CARTRADE,HBLENGINE,DOMS,UNOMINDA,ASHOKLEY",150.52356900244837,46.6
2025-08-20,2025-08-19,15,"PFIZER,ASHOKLEY,SPLPETRO,GODREJIND,VTL,PTCIL,BELRISE,OLAELEC,FORCEMOT,HYUNDAI,ZFCVINDIA,ENDURANCE,CARTRADE,NEULANDLAB,GABRIEL",149.01323053710897,49.53333333333333
2025-08-21,2025-08-20,15,"HYUNDAI,BELRISE,CPPLUS,GABRIEL,OLAELEC,ENDURANCE,FORCEMOT,SUNDARMFIN,HBLENGINE,PFIZER,GODREJIND,ZFCVINDIA,SARDAEN,GODFRYPHLP,SPLPETRO",163.8012118657977,53.4
2025-08-22,2025-08-21,15,"OLAELEC,CARBORUNIV,CPPLUS,HEXT,FORCEMOT,RPOWER,ASTRAL,MSUMI,SUNDARMFIN,GODFRYPHLP,SWIGGY,LEMONTREE,WAAREEENER,ANTHEM,IDBI",156.23939589820662,46.2
