rule_id,feature,direction,threshold,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0153,red_ratio_day__pct,lo,0.05,33,1370,0.02408759124087591,1.4161877483137761,0.8164040244615897,48.9051094890511,1.4590380225030561
R0023,open_gap_pct__pct,hi,0.95,37,1413,0.026185421089879687,1.5395259808708166,0.5742696680064056,47.416843595187544,1.4410549262859946
R0356,max_red_streak_1m__pct,lo,0.05,24,1084,0.02214022140221402,1.3016955486010555,1.241516372202162,50.92250922509225,1.42571426850286
R0260,last15_green_ratio__pct,hi,0.95,27,1223,0.022076860179885527,1.2979703364832276,1.1782105356286663,51.02207686017989,1.3963952829415567
R0005,volume__pct,lo,0.2,116,5588,0.020758768790264854,1.2204754612808038,1.1033761230817825,50.87687902648532,1.392469631009414
R0017,daily_ret_pct__pct,lo,0.2,110,5490,0.020036429872495445,1.1780068094656182,1.3740844335000104,51.584699453551906,1.3614231360150064
R0280,last30_ret_pct__pct,lo,0.05,40,1357,0.029476787030213707,1.7330360779704548,0.3370429597005762,46.35224760501105,1.3552737522562424
R0269,last15_volume__pct,lo,0.3,169,8321,0.020310058887152985,1.1940943482429944,1.096779975782197,50.306453551255856,1.300591327347021
R0199,first15_volume__pct,hi,0.95,36,1416,0.025423728813559324,1.4947436172495174,0.5329099474892696,49.0819209039548,1.285286597326052
R0081,ret20_pct__pct,lo,0.1,57,2773,0.020555355210962856,1.2085161160740778,1.2899547060505903,50.37865128020195,1.271050028832545
R0367,hour_red_streak__pct,hi,0.8,104,5107,0.020364205991775994,1.197277832444754,1.1428191586353154,51.45878206383395,1.2688433097201335
R0317,last60_volume__pct,lo,0.3,166,8321,0.01994952529744021,1.1728974071499236,1.195316671239211,50.5588270640548,1.24849844512217
R0076,ret20_pct__pct,hi,0.8,118,5605,0.021052631578947368,1.23775260937153,0.8876652529874264,49.00981266726138,1.211384012648672
R0255,last15_ret_pct__pct,lo,0.1,63,2773,0.02271907681211684,1.3357283388187176,0.7080441314668605,47.56581319870177,1.2061368621292274
R0134,day_volume_1m__pct,lo,0.3,165,8321,0.01982934743420262,1.1658317601188999,1.1976691873094993,50.57084485037856,1.198373270844756
R0293,last30_volume__pct,lo,0.3,164,8321,0.019709169570965027,1.1587661130878764,1.2112396669313104,50.70304049993991,1.160108901890665
R0216,first30_green_ratio__pct,lo,0.2,112,5614,0.0199501246882793,1.1729326472847417,1.1769377712583238,51.30032062700391,1.15494847590113
R0143,green_ratio_day__pct,lo,0.2,111,5536,0.02005057803468208,1.1788386258871735,1.1361684435418111,50.83092485549133,1.146263326562946
R0026,open_gap_pct__pct,lo,0.1,59,2762,0.021361332367849383,1.2559021317030097,0.8724261673817246,50.57929036929762,1.13665435875354
R0217,first30_green_ratio__pct,lo,0.1,53,2625,0.02019047619047619,1.1870636929877436,1.2684014486846424,51.771428571428565,1.1345320061847977
R0004,volume__pct,lo,0.3,164,8321,0.019709169570965027,1.1587661130878764,1.1841296155685224,50.52277370508352,1.1337777434587584
R0249,last15_ret_pct__pct,hi,0.7,161,8382,0.01920782629444047,1.129290513024192,1.4406958235736493,51.86113099498926,1.1193846740173659
R0275,last30_ret_pct__pct,hi,0.9,61,2832,0.02153954802259887,1.2663800090586188,0.8189188957965773,49.22316384180791,1.1027812574759581
R0022,open_gap_pct__pct,hi,0.9,62,2832,0.021892655367231638,1.287140337075973,0.7480400187334871,48.516949152542374,1.09439326411104
R0155,intra_ret_pct__pct,lo,0.3,158,8319,0.0189926673879072,1.1166406218696157,1.530574697467781,52.326000721240526,1.0707838149049271
R0246,first60_volume__pct,lo,0.2,110,5547,0.019830539030106363,1.1659018179135108,1.1305596840696652,51.43320713899405,1.0693914139739922
R0229,first60_ret_pct__pct,lo,0.3,160,8321,0.01922845811801466,1.1305035249637818,1.3494042752897477,51.520249969955536,1.058714121288375
R0183,first15_ret_pct__pct,hi,0.9,73,2832,0.02577683615819209,1.5155039452668715,0.28963285986549087,48.37570621468927,1.0510870713202995
R0201,first15_volume__pct,lo,0.2,109,5546,0.01965380454381536,1.155511023263811,1.2012069072372957,51.24413992066354,1.0497355267408126
R0237,first60_green_ratio__pct,lo,0.3,159,8257,0.019256388518832504,1.132145643972203,1.2795590397840715,51.65314278793751,1.025091939640647
R0088,vol_ratio_5d__pct,lo,0.2,111,5588,0.019863994273443094,1.1678687603635276,1.0663822148640056,50.6084466714388,1.0152933575231406
R0031,day_range_pct__pct,hi,0.95,35,1416,0.024717514124293787,1.4532229612148084,0.45078615385441867,47.66949152542373,1.0076980715711141
R0292,last30_volume__pct,hi,0.95,31,1416,0.021892655367231638,1.287140337075973,0.8128371119820043,49.929378531073446,1.0065038340386245
R0185,first15_ret_pct__pct,lo,0.3,158,8322,0.018985820716173996,1.1162380837939596,1.401883622126519,51.393895698149485,0.9701413617681138
R0016,daily_ret_pct__pct,lo,0.3,152,8353,0.018197054950317253,1.0698639817625342,1.603762770923767,52.52005267568538,0.9531041522195839
R0014,prev_close__pct,lo,0.1,55,2773,0.01983411467724486,1.1661120418258646,1.191970115869308,49.76559682654165,0.9263904530759494
R0133,day_volume_1m__pct,hi,0.95,31,1416,0.021892655367231638,1.287140337075973,0.7307412684417719,49.505649717514125,0.9170719332766293
R0142,green_ratio_day__pct,lo,0.3,158,8313,0.01900637555635751,1.117446569629897,1.2923894971809504,51.37736076025502,0.9129319167034179
R0162,intra_range_pct__pct,hi,0.95,34,1416,0.02401129943502825,1.4117023051800996,0.4441585485342164,47.81073446327684,0.9015993875251254
R0192,first15_green_ratio__pct,lo,0.3,161,8419,0.019123411331512057,1.1243274830940464,1.1934783086591192,50.81363582373204,0.8957571155793442
