pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,manual_precision_dec,winner_precision_dec,weight,hit_pct,real_lift_pp,clean26_lift,rule,parsed_conditions,fire_col
8691,FALCPAT_8691,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,15,181,0.15469613259668508,0.08287292817679558,387.1319945764559,38.59060402684564,19.02823260361766,19.33,volatility (20d ATR%) >= 3.9142 AND 60d relative strength vs sector >= 26.5086 AND close position in weekly range >= 0.4939,atr_20_pct>=3.9142 AND rs_sector_60d>=26.5086 AND weekly_close_loc>=0.4939,pat_8691
8450,FALCPAT_8450,momentum,hit_10pc_20d,momentum,PROMOTED,15,226,0.11946902654867257,0.06637168141592921,296.0632482102464,48.41922910350801,18.16995076161837,15.6,5-day return >= 10.4381 AND close position in weekly range >= 0.1574 AND weekly range % >= 12.8017,roc_5>=10.4381 AND weekly_close_loc>=0.1574 AND weekly_range_pct>=12.8017,pat_8450
7112,FALCPAT_7112,compression,hit_10pc_20d,compression,PROMOTED,15,357,0.058823529411764705,0.04201680672268908,192.16257045940668,51.32823871906841,18.62935536556785,17.67,distance from 10-day high <= -8.1051 AND days with sub-75% volume in last 7 >= 2.5 AND close position in weekly range >= 0.2193 AND weekly range % >= 5.8433,dist_high_10<=-8.1051 AND n_sub_75v_7d>=2.5 AND weekly_close_loc>=0.2193 AND weekly_range_pct>=5.8433,pat_7112
9150,FALCPAT_9150,dryup,hit_10pc_20d,other,PROMOTED,15,616,0.045454545454545456,0.024350649350649352,191.4106524560415,67.39957716701903,32.018989921834816,32.02,volatility (20d ATR%) >= 4.4687 AND days with sub-75% volume in last 20 <= 11.5 AND 20d relative strength vs market >= -10.4124,atr_20_pct>=4.4687 AND n_sub_75v_20d<=11.5 AND rs_market_20d>=-10.4124,pat_9150
6236,FALCPAT_6236,fresh_breakout,hit_25pc_30d,breakout,PROMOTED,15,268,0.08208955223880597,0.055970149253731345,150.3034771389741,21.661588098225486,10.938672840153064,2.23,volatility (20d ATR%) >= 2.4985 AND distance from year-high >= -9.0394 AND 60d relative strength vs sector >= -3.1676 AND close position in weekly range >= 0.8386,atr_20_pct>=2.4985 AND dist_high_252>=-9.0394 AND rs_sector_60d>=-3.1676 AND weekly_close_loc>=0.8386,pat_6236
7739,FALCPAT_7739,other,hit_10pc_20d,other,PROMOTED,15,506,0.0691699604743083,0.029644268774703556,134.07332032222337,48.67199587416194,18.422717532272294,11.64,close position in weekly range <= 0.7385 AND close position in weekly range >= 0.4445 AND weekly range % >= 9.4473,weekly_close_loc<=0.7385 AND weekly_close_loc>=0.4445 AND weekly_range_pct>=9.4473,pat_7739
7910,FALCPAT_7910,other,hit_25pc_30d,other,PROMOTED,15,560,0.05,0.026785714285714284,86.77084321939634,20.91776702836972,13.195402938901058,19.35,volatility (20d ATR%) >= 4.3575 AND 20d relative strength vs market <= 7.2399 AND weekly range % >= 7.2122,atr_20_pct>=4.3575 AND rs_market_20d<=7.2399 AND weekly_range_pct>=7.2122,pat_7910
8221,FALCPAT_8221,fresh_breakout,hit_40pc_40d,breakout,PROMOTED,14,123,0.18699186991869918,0.11382113821138211,229.8150275031866,11.385606874328678,8.420469585365684,5.21,volatility (20d ATR%) >= 3.2023 AND distance from 20-DMA >= -1.1654 AND 60d relative strength vs market >= 24.7371 AND close position in weekly range >= 0.809,atr_20_pct>=3.2023 AND dist_sma_20>=-1.1654 AND rs_market_60d>=24.7371 AND weekly_close_loc>=0.809,pat_8221
8943,FALCPAT_8943,other,hit_10pc_20d,other,PROMOTED,14,455,0.054945054945054944,0.03076923076923077,174.07371588687343,58.97435897435898,23.59377172917476,21.89,volatility (20d ATR%) >= 3.9309 AND distance from 20-day high >= -12.7454 AND distance from 200-DMA >= 26.2528 AND close position in weekly range >= 0.2191,atr_20_pct>=3.9309 AND dist_high_20>=-12.7454 AND dist_sma_200>=26.2528 AND weekly_close_loc>=0.2191,pat_8943
8670,FALCPAT_8670,dryup,hit_10pc_20d,other,PROMOTED,14,547,0.04570383912248629,0.025594149908592323,158.06817733911947,61.13695090439276,25.756363659208542,25.76,volatility (20d ATR%) >= 4.2698 AND days with sub-75% volume in last 20 <= 12.5 AND 60d relative strength vs sector >= -0.0247,atr_20_pct>=4.2698 AND n_sub_75v_20d<=12.5 AND rs_sector_60d>=-0.0247,pat_8670
