trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable,rank_weight,profit_weight,teacher_weight
2025-01-21,MPHASIS,8,ENTERPRISE-Dryup,09:15,2750.3,09:37,2779.3,1.05,HARD_STOP,-3.32,-16625,-3325.0,1,0.5333333333333333,1.13125,0.6033333333333334
2025-01-21,WOCKPHARMA,9,ENTERPRISE-Dryup,09:15,1392.05,09:37,1380.0,-0.87,HARD_STOP,-3.32,-16625,-3325.0,0,0.4666666666666667,0.35,0.16333333333333333
2025-01-21,POLICYBZR,10,GOLD,09:15,1752.95,09:37,1744.3,-0.49,HARD_STOP,-3.32,-16625,-3325.0,0,0.4,0.35,0.13999999999999999
2025-01-21,MCX,12,GOLD,09:15,1190.0,09:37,1135.0,-4.62,HARD_STOP,-3.32,-16625,-3325.0,0,0.26666666666666666,0.35,0.09333333333333332
2025-01-21,KFINTECH,13,ENTERPRISE-Dryup,09:15,1179.5,09:37,1157.55,-1.86,HARD_STOP,-3.32,-16625,-3325.0,0,0.2,0.35,0.06999999999999999
2025-01-21,KEI,14,ENTERPRISE-Dryup,09:15,4177.0,09:37,4114.0,-1.51,HARD_STOP,-3.32,-16625,-3325.0,0,0.13333333333333333,0.35,0.04666666666666666
2025-01-21,NAVA,15,GOLD,09:15,430.0,09:37,432.5,0.58,HARD_STOP,-3.32,-16625,-3325.0,1,0.06666666666666667,1.0725,0.0715
2025-01-22,PERSISTENT,1,ENTERPRISE-Dryup,09:15,5750.0,09:16,5755.95,0.1,HARD_STOP,-4.16,-20800,-4160.0,1,1.0,1.0125,1.0125
2025-01-22,CGCL,2,GOLD,09:15,178.51,09:16,178.09,-0.24,HARD_STOP,-4.16,-20800,-4160.0,0,0.9333333333333333,0.35,0.32666666666666666
2025-01-22,COFORGE,3,ENTERPRISE-Dryup,09:15,1663.0,09:16,1654.0,-0.54,HARD_STOP,-4.16,-20800,-4160.0,0,0.8666666666666667,0.35,0.30333333333333334
2025-01-22,ZENSARTECH,4,ENTERPRISE-Dryup,09:15,740.0,09:16,729.1,-1.47,HARD_STOP,-4.16,-20800,-4160.0,0,0.8,0.35,0.27999999999999997
2025-01-22,AMBER,5,ENTERPRISE-Dryup,09:15,6552.7,09:16,6540.55,-0.19,HARD_STOP,-4.16,-20800,-4160.0,0,0.7333333333333333,0.35,0.25666666666666665
2025-01-22,FIVESTAR,6,ENTERPRISE-Dryup,09:15,649.0,09:16,645.0,-0.62,HARD_STOP,-4.16,-20800,-4160.0,0,0.6666666666666666,0.35,0.2333333333333333
2025-01-22,WOCKPHARMA,7,ENTERPRISE-Dryup,09:15,1374.0,09:16,1340.0,-2.47,HARD_STOP,-4.16,-20800,-4160.0,0,0.6,0.35,0.21
2025-01-22,MPHASIS,8,ENTERPRISE-Dryup,09:15,2719.5,09:16,2733.4,0.51,HARD_STOP,-4.16,-20800,-4160.0,1,0.5333333333333333,1.06375,0.5673333333333334
2025-01-22,POLICYBZR,9,GOLD,09:15,1664.9,09:16,1619.8,-2.71,HARD_STOP,-4.16,-20800,-4160.0,0,0.4666666666666667,0.35,0.16333333333333333
2025-01-22,ULTRACEMCO,10,GOLD-baseline,09:15,10700.0,09:16,10633.5,-0.62,HARD_STOP,-4.16,-20800,-4160.0,0,0.4,0.35,0.13999999999999999
