date,direction,rank,symbol,sector,entry_1000,exit_1515,move_pct_in_dir,hit_1pct,confidence,reliability_prior,why_picked
2026-02-25,LONG,2,INFY,Information Technology,1318.4,1289.9,-2.16,0,0.439,0.32,"RSI low (+8.38, 1pct); morning move high (+2.50, 98pct); strength vs market high (+2.24, 98pct)"
2026-02-25,LONG,3,MPHASIS,Information Technology,2278.7,2256.7,-0.97,0,0.426,,"9:45-10:00 push low (-0.72, 0pct); RSI low (+2.34, 0pct); vs morning VWAP low (-0.82, 1pct)"
2026-02-25,LONG,4,LTM,Information Technology,4626.0,4558.0,-1.47,0,0.412,,"20d rel-strength low (-26.17, 1pct); dist from 20d high low (-28.28, 2pct); 5d momentum low (-12.85, 2pct)"
2026-02-25,LONG,5,COFORGE,Information Technology,1242.5,1212.8,-2.39,0,0.392,0.24,"20d rel-strength low (-27.98, 1pct); dist from 20d high low (-31.09, 1pct); RSI low (+7.55, 1pct)"
2026-02-26,LONG,1,IDFCFIRSTB,Financial Services,70.95,72.79,2.59,1,0.317,0.67,"5d momentum low (-17.01, 0pct); morning volume high (+17928000.00, 99pct); vs morning VWAP high (+0.82, 96pct)"
2026-02-26,LONG,2,LTM,Information Technology,4602.0,4494.5,-2.34,0,0.314,0.35,"9:45-10:00 push low (-1.04, 1pct); 20d rel-strength low (-24.50, 1pct); dist from 20d high low (-27.35, 1pct)"
2026-02-26,LONG,3,MANAPPURAM,Financial Services,293.25,292.75,-0.17,0,0.309,0.37,"morning volatility high (+0.35, 100pct); morning range high (+4.46, 100pct); strength vs sector high (+2.02, 97pct)"
2026-02-26,LONG,4,VMM,Consumer Services,128.1,128.03,-0.05,0,0.308,,"morning move high (+4.15, 100pct); morning range high (+4.58, 100pct); strength vs market high (+3.94, 100pct)"
2026-02-26,LONG,5,MPHASIS,Information Technology,2288.0,2258.2,-1.3,0,0.276,0.37,"RSI low (+9.52, 1pct); 20d rel-strength low (-20.88, 3pct); dist from 20d high low (-24.11, 3pct)"
2026-02-27,LONG,1,INFY,Information Technology,1308.0,1300.6,-0.57,0,0.356,0.24,"RSI low (+13.62, 1pct); 20d rel-strength low (-22.63, 2pct); dist from 20d high low (-25.40, 2pct)"
2026-02-27,LONG,2,IDFCFIRSTB,Financial Services,72.0,73.55,2.15,1,0.353,0.76,"5d momentum low (-12.26, 1pct); morning volume high (+10086564.00, 98pct); volume vs 20d high (+1.85, 94pct)"
2026-02-27,LONG,3,LTM,Information Technology,4521.0,4461.5,-1.32,0,0.33,0.26,"vs morning VWAP low (-1.52, 1pct); 20d rel-strength low (-24.92, 1pct); dist from 20d high low (-28.23, 1pct)"
2026-02-27,LONG,4,ADANIENSOL,Power,1025.5,1012.1,-1.31,0,0.318,0.33,"near morning high/low high (+0.68, 95pct); morning move high (+0.34, 94pct); strength vs market high (+1.20, 94pct)"
2026-02-27,LONG,5,TECHM,Information Technology,1372.7,1359.2,-0.98,0,0.316,0.22,"20d rel-strength low (-23.30, 2pct); dist from 20d high low (-26.55, 2pct); RSI low (+14.40, 3pct)"
2026-03-02,LONG,1,IDFCFIRSTB,Financial Services,72.59,71.81,-1.07,0,0.461,0.82,"5d momentum low (-12.01, 1pct); morning volume high (+11068283.00, 98pct); 20d rel-strength low (-11.52, 8pct)"
2026-03-02,LONG,2,NATIONALUM,Metals & Mining,363.0,363.0,0.0,0,0.419,0.32,"near morning high/low high (+0.99, 99pct); morning move high (+6.19, 98pct); vs morning VWAP high (+1.43, 98pct)"
2026-03-02,LONG,3,HINDZINC,Metals & Mining,622.5,617.7,-0.77,0,0.413,0.38,"near morning high/low high (+1.00, 100pct); volume vs 20d low (+0.48, 2pct); up-bar share high (+0.61, 92pct)"
2026-03-02,LONG,4,NMDC,Metals & Mining,82.08,81.3,-0.95,0,0.409,,"near morning high/low high (+0.99, 98pct); vs morning VWAP high (+1.25, 95pct); morning volume high (+5911703.00, 94pct)"
2026-03-02,LONG,5,VEDL,Metals & Mining,724.05,723.75,-0.04,0,0.391,0.38,"near morning high/low high (+0.99, 98pct); 5d momentum high (+5.27, 94pct); morning volume high (+2920354.00, 88pct)"
2026-03-04,LONG,1,PETRONET,Oil Gas & Consumable Fuels,277.8,279.65,0.67,0,0.368,,"morning range high (+6.78, 100pct); morning move low (-6.78, 0pct); vs morning VWAP low (-2.36, 0pct)"
2026-03-04,LONG,2,DELHIVERY,Services,417.5,416.85,-0.16,0,0.309,,"9:45-10:00 push low (-1.61, 1pct); up-bar share high (+0.48, 86pct); morning volatility high (+0.20, 75pct)"
2026-03-04,LONG,3,NUVAMA,Financial Services,1191.6,1195.3,0.31,0,0.286,0.28,"morning volatility high (+0.30, 99pct); 9:45-10:00 push low (-1.52, 2pct); RSI low (+17.47, 11pct)"
2026-03-04,LONG,4,FORCEMOT,Automobile and Auto Components,22035.0,21395.0,-2.9,0,0.274,0.13,"vs morning VWAP low (-1.73, 1pct); morning volatility high (+0.29, 99pct); recent volatility high (+5.15, 99pct)"
2026-03-04,LONG,5,VOLTAS,Consumer Durables,1442.5,1439.1,-0.24,0,0.261,,"20d rel-strength high (+13.87, 91pct); volume vs 20d high (+1.63, 85pct); up-bar share high (+0.46, 76pct)"
2026-03-05,LONG,1,HINDALCO,Metals & Mining,963.9,954.4,-0.99,0,0.331,0.34,"vs morning VWAP high (+2.18, 100pct); up-bar share high (+0.67, 100pct); near morning high/low high (+1.00, 99pct)"
2026-03-05,LONG,2,LTM,Information Technology,4305.7,4300.7,-0.12,0,0.323,0.2,"near morning high/low low (+0.00, 1pct); 20d rel-strength low (-23.19, 1pct); vs morning VWAP low (-0.92, 1pct)"
2026-03-05,LONG,3,IDFCFIRSTB,Financial Services,70.9,70.31,-0.83,0,0.321,0.61,"volume vs 20d low (+0.50, 3pct); morning volume high (+5136256.00, 95pct); dist from 20d high low (-18.71, 6pct)"
2026-03-05,LONG,4,RADICO,Fast Moving Consumer Goods,2552.2,2562.7,0.41,0,0.315,0.3,"vs morning VWAP low (-0.77, 5pct); morning volatility high (+0.18, 91pct); RSI low (+15.95, 11pct)"
2026-03-05,LONG,5,MOTILALOFS,Financial Services,708.45,725.5,2.41,1,0.309,0.34,"RSI low (+1.27, 1pct); morning volatility high (+0.20, 94pct); dist from 20d high low (-14.89, 17pct)"
2026-03-06,LONG,1,KPITTECH,Information Technology,727.25,700.0,-3.75,0,0.251,0.24,"20d rel-strength low (-22.97, 1pct); dist from 20d high low (-27.81, 1pct); recent volatility high (+4.83, 98pct)"
2026-03-06,LONG,2,MAZDOCK,Capital Goods,2540.1,2474.7,-2.57,0,0.248,0.33,"vs morning VWAP high (+1.98, 100pct); morning range high (+7.97, 100pct); volume vs 20d high (+7.32, 100pct)"
2026-03-06,LONG,3,MOTILALOFS,Financial Services,725.4,715.75,-1.33,0,0.241,0.51,"RSI low (+17.92, 9pct); 5d momentum high (-1.02, 82pct); dist from 20d high low (-12.44, 21pct)"
2026-03-06,LONG,4,SOLARINDS,Chemicals,15418.0,15166.0,-1.63,0,0.237,0.24,"5d momentum high (+9.01, 100pct); morning range high (+6.16, 99pct); morning move high (+4.87, 99pct)"
2026-03-06,LONG,5,BDL,Capital Goods,1369.0,1359.5,-0.69,0,0.234,0.31,"morning move high (+6.84, 100pct); strength vs market high (+6.38, 100pct); strength vs sector high (+4.79, 100pct)"
2026-03-09,LONG,1,ONGC,Oil Gas & Consumable Fuels,275.3,271.0,-1.56,0,0.319,,"near morning high/low low (+0.02, 0pct); vs morning VWAP low (-1.47, 0pct); morning move low (-4.74, 1pct)"
2026-03-09,LONG,2,MANAPPURAM,Financial Services,253.3,256.95,1.44,1,0.317,0.27,"5d momentum low (-10.34, 5pct); RSI low (+16.41, 6pct); up-bar share low (+0.37, 8pct)"
2026-03-09,LONG,3,UNIONBANK,Financial Services,177.38,179.2,1.03,1,0.316,0.38,"morning range high (+4.02, 91pct); 20d rel-strength high (+10.68, 89pct); strength vs sector low (-1.24, 12pct)"
2026-03-09,LONG,4,BSE,Financial Services,2727.2,2775.1,1.76,1,0.313,,"vs morning VWAP high (+1.49, 100pct); strength vs sector high (+2.80, 99pct); morning move high (+1.76, 98pct)"
2026-03-09,LONG,5,ASHOKLEY,Capital Goods,185.7,187.31,0.87,0,0.311,0.32,"morning range high (+4.09, 93pct); morning volume high (+7711674.00, 93pct); morning move low (-2.49, 10pct)"
2026-03-10,LONG,1,IDFCFIRSTB,Financial Services,66.38,67.14,1.14,1,0.465,0.46,"morning volume high (+20916647.00, 100pct); 20d rel-strength low (-15.08, 2pct); recent volatility high (+4.51, 97pct)"
2026-03-10,LONG,2,UNIONBANK,Financial Services,180.28,185.9,3.12,1,0.444,0.54,"5d momentum low (-11.47, 7pct); morning volume high (+3611686.00, 91pct); up-bar share low (+0.35, 18pct)"
2026-03-10,LONG,3,MOTILALOFS,Financial Services,704.8,715.0,1.45,1,0.438,0.38,"RSI low (+16.25, 9pct); dist from 20d high low (-16.41, 14pct); 20d rel-strength low (-4.65, 20pct)"
2026-03-10,LONG,4,BHARATFORG,Automobile and Auto Components,1843.6,1839.0,-0.25,0,0.424,,"20d rel-strength high (+26.19, 100pct); RSI high (+66.03, 98pct); strength vs sector low (-1.50, 5pct)"
2026-03-10,LONG,5,MOTHERSON,Automobile and Auto Components,119.72,123.27,2.97,1,0.424,,"5d momentum low (-11.52, 6pct); recent volatility high (+4.02, 92pct); vs morning VWAP low (-1.07, 9pct)"
2026-03-11,LONG,1,MOTHERSON,Automobile and Auto Components,124.1,121.02,-2.48,0,0.356,0.62,"9:45-10:00 push low (-0.94, 3pct); morning volatility high (+0.21, 93pct); morning volume high (+3746352.00, 92pct)"
