bucket,symbol,patterns,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,weighted_avg_d1
1-2%,ZOMATO,42,564,1.3814523809523809,1.991,754.477,196.6232741232246,1.3377251773049645
1-2%,IOB,30,555,1.4072333333333333,1.941,743.762,171.94245861421265,1.3401117117117118
1-2%,ANGELONE,32,573,1.345375,1.898,728.478,167.02825789756696,1.2713403141361257
1-2%,CHALET,58,553,1.3575517241379311,1.955,725.547,225.6462291164013,1.312019891500904
1-2%,RAILTEL,40,545,1.396625,1.91,724.64,190.73354980673156,1.3296146788990828
1-2%,DLF,53,563,1.3713396226415093,1.937,720.867,217.56493247103904,1.2804031971580818
1-2%,KIRLOSENG,41,593,1.2622439024390244,1.846,718.402,181.78962256386663,1.211470489038786
1-2%,JSL,50,562,1.3717,1.984,717.514,206.09508326534805,1.276715302491103
1-2%,FORCEMOT,47,545,1.371468085106383,1.933,716.689,203.05166756251458,1.3150256880733944
1-2%,LINDEINDIA,45,562,1.3235333333333332,1.891,716.544,194.99577850792645,1.2749893238434162
1-2%,NBCC,44,548,1.3492272727272727,1.998,702.193,194.15147003670154,1.281374087591241
1-2%,PHOENIXLTD,44,556,1.3694545454545455,1.992,701.409,191.80718899396308,1.2615269784172665
1-2%,AJANTPHARM,48,526,1.3771458333333333,1.996,696.953,204.49959109220103,1.3250057034220533
1-2%,IDFCFIRSTB,58,542,1.3268793103448275,1.902,694.939,218.48312348228652,1.2821752767527674
1-2%,360ONE,43,540,1.328325581395349,1.907,694.4060000000001,187.96657157876714,1.285937037037037
1-2%,INDUSINDBK,49,509,1.3679795918367348,1.987,689.971,206.6634898990709,1.355542239685658
1-2%,CGPOWER,40,482,1.46135,1.986,681.411,193.48527123232262,1.4137157676348548
1-2%,PARADEEP,50,513,1.3429200000000001,1.852,676.4110000000001,205.47361394838532,1.318539961013645
1-2%,IDBI,41,517,1.3327317073170732,1.992,675.743,182.60209645824725,1.307046421663443
1-2%,HINDCOPPER,37,466,1.483918918918919,1.996,667.736,183.250642104657,1.432909871244635
1-2%,ATGL,33,531,1.33,1.963,667.065,162.29958095311787,1.2562429378531075
1-2%,REDINGTON,35,522,1.3221142857142858,1.951,666.718,158.9732536194902,1.2772375478927203
1-2%,HONASA,49,480,1.3884285714285713,1.99,661.404,208.30452313636798,1.377925
1-2%,CONCORDBIO,53,511,1.3650754716981133,1.898,659.624,208.77823206563468,1.290849315068493
1-2%,COHANCE,47,509,1.3545957446808512,1.975,659.53,192.6370311966399,1.29573673870334
1-2%,TECHNOE,32,527,1.30803125,1.879,657.635,158.4277331883637,1.2478842504743832
1-2%,PATANJALI,45,492,1.383422222222222,1.934,653.043,194.4207065533743,1.3273231707317072
1-2%,UCOBANK,27,461,1.4390370370370371,1.921,647.7090000000001,155.28932170971183,1.405008676789588
1-2%,IRFC,38,539,1.2367894736842104,1.945,642.942,163.37866113151983,1.1928423005565865
1-2%,ZENTEC,35,501,1.2910285714285714,1.851,642.2620000000001,162.28322025526006,1.2819600798403192
1-2%,CASTROLIND,42,468,1.3763571428571428,1.994,639.909,182.33718061178973,1.3673269230769234
1-2%,PCBL,42,483,1.3905714285714286,1.995,638.127,183.10213386296758,1.321173913043478
1-2%,NCC,35,482,1.3416571428571429,1.969,633.503,160.52615131412603,1.3143215767634853
1-2%,RADICO,42,505,1.3308809523809524,1.927,631.298,177.60753102993746,1.2500950495049503
1-2%,IFCI,33,465,1.3874242424242424,1.952,630.843,161.53301246023528,1.356651612903226
1-2%,USHAMART,48,466,1.42825,1.963,618.409,194.7778102575722,1.327057939914163
1-2%,POWERINDIA,44,484,1.3512954545454545,1.99,616.248,181.0789314045422,1.2732396694214878
1-2%,GRAPHITE,38,478,1.3611052631578948,1.997,613.482,169.96048041550748,1.2834351464435143
1-2%,DEEPAKFERT,34,455,1.3728529411764705,1.984,607.958,160.7676376442391,1.3361714285714286
1-2%,SARDAEN,32,475,1.3456875,1.933,601.031,148.91496169388557,1.2653284210526314
1-2%,JSWENERGY,44,434,1.4585454545454546,1.949,596.945,184.8108206368076,1.3754493087557604
1-2%,JINDALSTEL,45,492,1.2482444444444445,1.931,596.224,172.99361413115145,1.2118373983739836
1-2%,WELSPUNLIV,37,466,1.3453783783783784,1.985,592.5749999999999,162.0577284635056,1.2716201716738194
1-2%,KIMS,45,475,1.3173555555555556,1.966,590.737,177.05358212100205,1.2436568421052634
1-2%,LLOYDSME,50,430,1.36194,1.966,586.392,194.41162404196973,1.3637023255813951
1-2%,KALYANKJIL,27,445,1.3974074074074072,1.964,585.049,140.01442507328076,1.3147168539325842
1-2%,STARHEALTH,50,461,1.3089,1.892,577.1510000000001,186.66020423171076,1.251954446854664
1-2%,ABREL,39,442,1.3320769230769232,1.803,573.041,164.8106250960017,1.2964728506787329
1-2%,BBTC,44,457,1.319431818181818,1.963,572.827,172.11374028140133,1.2534507658643326
1-2%,JMFINANCIL,32,456,1.2866875,1.905,570.1,146.94327205548117,1.2502192982456142
1-2%,OFSS,51,428,1.3322745098039215,1.964,569.373,188.48305349452087,1.3303107476635512
1-2%,TATACHEM,42,418,1.3569761904761906,1.877,568.17,172.0728996676932,1.3592583732057417
1-2%,PETRONET,52,444,1.3420576923076923,1.904,566.256,189.78312503232038,1.2753513513513512
1-2%,MCX,38,450,1.3285,1.985,565.1800000000001,160.61401058215841,1.2559555555555557
1-2%,GABRIEL,23,434,1.3062608695652174,1.8,564.3629999999999,120.51803819940133,1.3003755760368665
1-2%,BANKBARODA,55,409,1.4583454545454546,1.996,561.443,200.5666752197411,1.3727212713936432
1-2%,POLYMED,38,387,1.4333947368421054,1.964,543.485,166.65077175537556,1.4043540051679586
1-2%,JSWINFRA,51,399,1.397607843137255,1.996,542.652,190.84699096849727,1.3600300751879701
1-2%,MAPMYINDIA,41,424,1.3203658536585365,1.764,539.424,162.73687459684592,1.2722264150943396
1-2%,FIVESTAR,37,413,1.3998108108108107,1.976,538.795,158.3014347589055,1.3045883777239708
1-2%,DCMSHRIRAM,37,418,1.3392972972972974,1.984,536.78,155.7573467959647,1.2841626794258372
1-2%,AIIL,59,381,1.4363050847457628,1.942,533.834,210.19422892756475,1.4011391076115487
1-2%,JINDALSAW,24,405,1.3745,1.907,533.076,125.88041353576571,1.3162370370370369
1-2%,ADANIPORTS,30,402,1.3770333333333333,1.875,530.108,140.1350080083041,1.3186766169154227
1-2%,SUNDARMFIN,45,384,1.4323333333333332,1.972,529.093,178.0568836204433,1.3778463541666663
1-2%,SAMMAANCAP,32,383,1.41328125,1.994,522.14,148.41540632060162,1.363289817232376
1-2%,UNOMINDA,39,389,1.360897435897436,1.972,521.497,155.98192229570427,1.3406092544987145
1-2%,HEG,32,388,1.3768125,1.819,511.18600000000004,142.6841822616318,1.3174896907216493
1-2%,CRAFTSMAN,27,404,1.2900370370370369,1.986,501.43199999999996,125.49170621906403,1.241168316831683
1-2%,SONACOMS,38,389,1.361236842105263,1.975,496.625,153.20552517166482,1.2766709511568124
1-2%,INDUSTOWER,45,385,1.3741999999999999,1.982,488.176,163.70730413810043,1.2679896103896104
1-2%,BALRAMCHIN,38,388,1.2724210526315791,1.748,486.419,147.19456550650568,1.2536572164948454
1-2%,CEMPRO,34,352,1.4579411764705883,1.988,485.383,146.1519363688462,1.3789289772727271
1-2%,CENTRALBK,29,359,1.3471034482758621,1.965,476.40999999999997,130.5301042060886,1.3270473537604457
1-2%,SUNTV,49,363,1.2877551020408164,1.959,476.289,166.55562285632348,1.312090909090909
1-2%,TTML,26,346,1.3861923076923075,1.999,474.084,126.68579153211833,1.3701849710982656
1-2%,J&KBANK,38,347,1.3870789473684209,1.972,466.384,150.2950882127263,1.3440461095100864
1-2%,EXIDEIND,43,350,1.3865581395348838,1.971,466.17,161.18811213041815,1.3319142857142856
1-2%,EMAMILTD,41,356,1.3477073170731708,1.986,462.461,155.0590939136657,1.2990477528089885
1-2%,JUBLINGREA,30,351,1.3680333333333332,1.816,462.194,128.3970789152182,1.316792022792023
1-2%,BHEL,25,322,1.4750800000000002,1.98,460.851,126.04993101787736,1.4312142857142858
1-2%,COROMANDEL,42,373,1.289095238095238,1.809,458.786,151.88967116125508,1.22998927613941
