pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier,prior_score
FALCPAT_7799,POONAWALLA,21,1.499,1-2%,31.479000000000003,6.869280966738804,hit_25pc_30d,breakout,22.01329534662868,7.722364089468664,14.290931257160016,PROMOTED,volatility (20d ATR%) >= 2.6195 AND RSI(14) <= 75.3615 AND close position in weekly range >= 0.5082 AND weekly range % >= 10.9427,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",oversold|volatility_expansion|weekly_strength,B_broad_edge,4.633472637584116
FALCPAT_9293,GABRIEL,54,1.156,1-2%,62.42399999999999,8.494830427972062,hit_15pc_20d,other,35.04657351962741,19.56237142322798,15.484202096399432,PROMOTED,distance from 60-day high <= -4.2092 AND close position in weekly range >= 0.0559 AND weekly range % >= 10.6648,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength,B_broad_edge,4.632477162128736
FALCPAT_7694,ELGIEQUIP,29,1.362,1-2%,39.498000000000005,7.334594467317195,hit_10pc_20d,breakout,49.31007550117157,32.698883353500555,16.611192147671012,PROMOTED,volatility (20d ATR%) >= 2.5871 AND close position in weekly range <= 0.6838 AND close position in weekly range >= 0.498 AND weekly range % >= 8.5178,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,B_broad_edge,4.6324308338238565
FALCPAT_7972,SOBHA,30,1.348,1-2%,40.440000000000005,7.38330007516964,hit_15pc_20d,other,26.41168498720072,15.52565995111252,10.886025036088204,PROMOTED,days with sub-75% volume in last 20 <= 10.5 AND close position in weekly range <= 0.7255 AND close position in weekly range >= 0.2793 AND weekly range % >= 9.1882,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,B_broad_edge,4.629014751645977
FALCPAT_8248,BSE,45,1.209,1-2%,54.405,8.110218554391738,hit_25pc_30d,breakout,26.31812140008861,7.722364089468664,18.59575731061995,PROMOTED,volatility (20d ATR%) >= 3.475 AND close position in weekly range >= 0.5303 AND distance from 20-week SMA >= 8.1322 AND weekly range % >= 11.9613,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.628827448355316
FALCPAT_8373,CANFINHOME,23,1.456,1-2%,33.488,6.982730697943319,hit_25pc_30d,other,16.1327137849515,7.722364089468664,8.410349695482832,PROMOTED,distance from 120-day high <= -14.4514 AND 20d relative strength vs market >= -5.828 AND distance from 20-week SMA <= 30.0974 AND weekly range % >= 9.6165,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|relative_strength,B_broad_edge,4.627246376986609
FALCPAT_9111,HUDCO,25,1.42,1-2%,35.5,7.1,hit_10pc_20d,breakout,63.94869445716903,35.380587245184216,28.568107211984817,PROMOTED,volatility (20d ATR%) >= 3.307 AND distance from 200-DMA <= -0.9248 AND close position in weekly range >= 0.7784 AND distance from 20-week SMA <= -1.7511,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.626497083990504
FALCPAT_8943,MOTHERSON,23,1.455,1-2%,33.465,6.977934866420006,hit_10pc_20d,other,58.97435897435898,35.380587245184216,23.59377172917476,PROMOTED,volatility (20d ATR%) >= 3.9309 AND distance from 20-day high >= -12.7454 AND distance from 200-DMA >= 26.2528 AND close position in weekly range >= 0.2191,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.624068323156261
FALCPAT_6228,COCHINSHIP,71,1.081,1-2%,76.75099999999999,9.108667904803644,hit_10pc_20d,breakout,55.22730166815229,34.00746195228712,21.21983971586518,PROMOTED,distance from 200-DMA >= 22.6967 AND 60d relative strength vs market >= -4.0304 AND close position in weekly range >= 0.7031,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",weekly_strength|relative_strength,B_broad_edge,4.623076074656356
FALCPAT_8957,GRANULES,29,1.359,1-2%,39.411,7.31843897289579,hit_25pc_30d,capitulation,24.99177902005919,10.408532325017468,14.583246695041725,PROMOTED,distance from year-high <= -31.6766 AND distance from 60-day high <= -23.6276 AND distance from 200-DMA <= 28.1487 AND days with sub-75% volume in last 20 <= 11.5,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high,B_broad_edge,4.6222272416788694
