pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_8890,ERIS,9,4.224,2-5%,38.016000000000005,12.672,hit_40pc_40d,other,7.41444866920152,4.088422971741112,3.326025697460408,PROMOTED,distance from 200-DMA >= -27.8495 AND daily range % >= 9.3513,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,ignore
FALCPAT_6754,TTML,4,4.222,2-5%,16.888,8.444,hit_10pc_20d,breakout,44.25079221367135,32.698883353500555,11.55190886017079,PROMOTED,volatility (20d ATR%) <= 3.3478 AND 20d relative strength vs sector <= -0.1143 AND close position in weekly range >= 0.4991 AND weekly range % >= 6.8263,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|relative_strength,ignore
FALCPAT_8957,HBLENGINE,6,4.221,2-5%,25.326,10.339296204287795,hit_25pc_30d,capitulation,24.99177902005919,10.408532325017468,14.583246695041725,PROMOTED,distance from year-high <= -31.6766 AND distance from 60-day high <= -23.6276 AND distance from 200-DMA <= 28.1487 AND days with sub-75% volume in last 20 <= 11.5,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high,ignore
FALCPAT_7962,NEULANDLAB,3,4.217,2-5%,12.651,7.304058255517955,hit_10pc_20d,breakout,42.96264118158123,30.24927834188964,12.713362839691596,PROMOTED,close position in weekly range >= 0.9553 AND weekly range % <= 11.7775,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",compression|weekly_strength,ignore
FALCPAT_7631,RAMCOCEM,3,4.211,2-5%,12.633000000000001,7.293665950672542,hit_25pc_30d,other,19.38718140929535,7.722364089468664,11.664817319826687,PROMOTED,distance from 200-DMA <= 7.1232 AND close position in weekly range >= 0.4448 AND distance from 20-week SMA <= 9.6939 AND weekly range % >= 9.9626,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_7709,RAMCOCEM,3,4.211,2-5%,12.633000000000001,7.293665950672542,hit_15pc_20d,breakout,35.12149212867899,17.450644806122114,17.670847322556874,PROMOTED,volatility (20d ATR%) >= 2.6034 AND close position in weekly range >= 0.4883 AND distance from 20-week SMA <= 17.526 AND weekly range % >= 9.3895,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8211,RAMCOCEM,3,4.211,2-5%,12.633000000000001,7.293665950672542,hit_15pc_20d,other,37.890338660020525,15.52565995111252,22.364678708908,PROMOTED,volatility (20d ATR%) >= 2.8187 AND slope of 50-DMA <= 3.0696 AND close position in weekly range >= 0.4392 AND weekly range % >= 10.3769,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8406,RAMCOCEM,3,4.211,2-5%,12.633000000000001,7.293665950672542,hit_10pc_20d,breakout,58.75387137912188,30.24927834188964,28.50459303723224,PROMOTED,60-day return <= 31.9685 AND close position in weekly range >= 0.5947 AND distance from 20-week SMA <= 8.8666 AND weekly range % >= 9.4741,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,ignore
FALCPAT_8230,IOB,9,4.209,2-5%,37.881,12.626999999999999,hit_25pc_30d,other,17.3391494002181,7.722364089468664,9.616785310749435,PROMOTED,volatility (20d ATR%) >= 2.9394 AND distance from year-high >= -11.0436 AND 20d relative strength vs market >= 9.5342 AND weekly range % >= 13.1496,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,ignore
FALCPAT_8546,HINDALCO,4,4.209,2-5%,16.836,8.418,hit_40pc_40d,other,10.522548317823908,2.9651372889629943,7.557411028860914,PROMOTED,volatility (20d ATR%) >= 3.4337 AND close position in weekly range <= 0.7802 AND close position in weekly range >= 0.282 AND weekly range % >= 13.9527,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,ignore
