tag,signal_date,entry_date,basket_ret_pct,n_positions,symbols,sides,entry_modes,position_rets,avg_score,avg_patterns
short_0915_top10_min10,2026-02-24,2026-02-25,-0.3029699609059093,10,"SUNDARMFIN,IPCALAB,SWANCORP,FLUOROCHEM,SAMMAANCAP,ADANIENSOL,PREMIERENE,JSWENERGY,RBLBANK,KPRMILL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-2.8176,0.4767,3.4912,0.9148,-1.9788,1.7705,-4.6478,-0.0924,-0.6904,0.5442",43.13232848207772,9.0
short_0915_top10_min10,2026-02-25,2026-02-26,0.3770543280036535,10,"CONCORDBIO,JAINREC,TATACOMM,SUNDARMFIN,SARDAEN,INFY,TECHM,ZENSARTECH,PWL,IKS","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-1.5463,-1.9498,-1.8880,1.1599,3.0985,1.0199,0.1659,-1.5007,3.3822,1.8291",36.39782901692287,8.5
short_0915_top10_min10,2026-02-26,2026-02-27,-1.5486003023220793,10,"J&KBANK,TEJASNET,ONESOURCE,FINCABLES,SWANCORP,APARINDS,ITI,PERSISTENT,POONAWALLA,DATAPATTNS","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-0.5710,-12.2135,-1.2825,-3.9587,-1.3858,-2.7817,1.3817,2.1389,2.0678,1.1187",52.49486254980756,10.7
short_0915_top10_min10,2026-02-27,2026-03-02,-2.172477386426592,10,"JAINREC,THELEELA,HCLTECH,VIJAYA,MPHASIS,MMTC,LTTS,SPLPETRO,GRAPHITE,TEJASNET","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-6.7328,-2.1294,-1.5477,-0.3883,-2.6023,1.9502,-1.2564,6.1696,-3.5624,-11.6251",36.23861659646194,7.5
short_0915_top10_min10,2026-03-02,2026-03-04,-0.026752038152068103,10,"JAINREC,PIRAMALFIN,TARIL,TIINDIA,ATHERENERG,LATENTVIEW,HFCL,CLEAN,KIRLOSENG,REDINGTON","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-3.9376,-1.9301,2.5722,1.8573,-0.7546,1.7897,-0.0974,-1.8095,-0.4494,2.4918",39.361278826364426,9.3
short_0915_top10_min10,2026-03-04,2026-03-05,0.5434513254961202,10,"ONESOURCE,ANURAS,FLUOROCHEM,ATUL,GUJGASLTD,ATHERENERG,JAINREC,CONCORDBIO,PIRAMALFIN,TEJASNET","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-4.5893,0.4856,2.0590,0.7431,2.1408,3.0419,-1.8027,0.6559,0.1820,2.5182",30.389014853378292,7.7
short_0915_top10_min10,2026-03-05,2026-03-06,0.7855024962989571,10,"ONESOURCE,LTFOODS,JAINREC,HINDPETRO,SYRMA,RAMCOCEM,TBOTEK,AIIL,WELSPUNLIV,NETWEB","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-5.7626,9.8633,0.0381,3.4283,-0.0823,0.1635,-1.6991,2.1665,-0.4402,0.1795",96.10905279448828,16.7
short_0915_top10_min10,2026-03-06,2026-03-09,1.5369624732718141,10,"JWL,KIMS,RADICO,TEJASNET,RITES,IRFC,ITI,FINCABLES,UBL,ELECON","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","7.5732,2.9978,-0.5859,5.4070,2.2262,-0.7410,0.7076,-0.3944,0.0742,-1.8951",31.07345753066651,7.0
short_0915_top10_min10,2026-03-09,2026-03-10,-0.038122165094932464,10,"AADHARHFC,ONESOURCE,SPLPETRO,ANURAS,FLUOROCHEM,GODIGIT,HFCL,ATHERENERG,SUNDARMFIN,PIRAMALFIN","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.3701,1.1324,-1.2055,-2.5395,1.7458,-0.1124,-0.6468,-0.3682,-0.2347,0.4776",87.37379694964118,15.7
short_0915_top10_min10,2026-03-10,2026-03-11,1.996412098027891,10,"DIXON,ASAHIINDIA,PGEL,ANURAS,AIAENG,KAYNES,OLAELEC,JMFINANCIL,OLECTRA,MINDACORP","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","3.3563,2.4039,0.9348,0.6704,1.6057,3.2068,2.1398,-0.9055,3.1226,3.4293",52.026350966794595,11.1
short_0915_top10_min10,2026-03-11,2026-03-12,-0.654220510847558,10,"JINDALSAW,PIRAMALFIN,JAINREC,NUVOCO,JPPOWER,WAAREEENER,AFCONS,PREMIERENE,GRSE,IRCON","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","3.2838,-0.8102,-0.0824,-0.3034,-4.4204,-2.8940,0.1497,-0.9721,-0.6152,0.1220",9.393519091296522,5.1
short_0915_top10_min10,2026-03-12,2026-03-13,3.242772582711389,10,"SAREGAMA,CEATLTD,ADANIPOWER,GROWW,ATGL,JINDALSAW,LINDEINDIA,CESC,KPRMILL,DOMS","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-1.2545,7.3290,2.1685,0.6363,8.1902,2.8503,3.4430,0.2733,4.3980,4.3937",27.71126650518579,7.9
short_0915_top10_min10,2026-03-13,2026-03-16,0.6292170169173606,10,"LTTS,ATUL,ECLERX,ONESOURCE,KPRMILL,SIGNATURE,SAREGAMA,NTPCGREEN,AIIL,GROWW","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","4.3430,2.1693,1.5178,-1.3742,2.2542,1.1676,-3.2253,1.3677,-0.2974,-1.6305",63.07412871711723,13.2
short_0915_top10_min10,2026-03-16,2026-03-17,1.3066138709807276,10,"ZYDUSWELL,ITI,OLAELEC,PIRAMALFIN,ZENTEC,MRPL,CHENNPETRO,PERSISTENT,GODIGIT,ATGL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.9942,4.3679,2.0347,1.6782,-0.0823,3.8154,-7.0465,3.2573,2.1155,1.9317",84.84791059409147,17.0
short_0915_top10_min10,2026-03-18,2026-03-19,0.6575360971787307,10,"JBMA,EMMVEE,IGIL,PIRAMALFIN,FLUOROCHEM,SUNTV,ASAHIINDIA,JWL,TATAINVEST,URBANCO","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","1.8560,-0.0393,-1.6784,0.8308,-2.8018,-0.7415,2.4234,0.8602,1.7451,4.1210",87.4090249240004,16.7
short_0915_top10_min10,2026-03-19,2026-03-20,1.3316049457964918,10,"ACMESOLAR,AADHARHFC,ITI,IGIL,TRIDENT,DCMSHRIRAM,THERMAX,HDFCBANK,TECHNOE,TENNIND","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","7.0469,3.5943,1.2170,-1.5576,-1.4741,1.6098,1.3553,0.4257,0.6290,0.4698",9.106144972987424,4.4
short_0915_top10_min10,2026-03-20,2026-03-23,4.560598902239306,10,"OLAELEC,ATHERENERG,IOB,SAGILITY,LTM,TEGA,ACUTAAS,GICRE,AJANTPHARM,IGIL","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","5.1071,6.4450,4.4551,5.5015,3.0237,5.7242,3.8031,2.8310,3.4780,5.2373",102.15006458936955,19.0
short_0915_top10_min10,2026-03-23,2026-03-24,0.10219998440869993,10,"CHOLAHLDNG,IKS,JAINREC,GROWW,GRANULES,GMDCLTD,JPPOWER,OLECTRA,VTL,FIRSTCRY","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","0.6593,-3.2972,-2.2105,2.5963,-2.7611,1.6277,0.7819,0.1131,2.3465,1.1660",9.09863854841775,4.2
short_0915_top10_min10,2026-03-24,2026-03-25,-0.38135935568162543,10,"MINDACORP,CGCL,INDGN,PWL,JBMA,OLECTRA,MAXHEALTH,BATAINDIA,ABBOTINDIA,SCI","SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT,SHORT","09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15,09:15","-3.3221,2.0785,-3.6152,3.2537,0.5006,1.8959,-2.0101,-3.2446,0.9895,-0.3398",31.135944024891806,7.2
