config_id,profile,tier,fast_mem,slow_mem,lane,train_prof_capture,train_capture,valid_prof_capture,valid_capture,valid_days_ge70
V15W0046,0.0,1.5,10.0,5.0,0.5,25.8974358974359,28.63372093023256,22.36842105263158,22.15568862275449,5
V15W0047,0.0,3.0,0.0,0.0,0.0,6.923076923076923,8.720930232558139,7.894736842105263,8.08383233532934,3
V15W0048,0.0,3.0,0.0,0.0,0.5,7.179487179487179,9.593023255813954,8.157894736842106,7.934131736526946,3
V15W0049,0.0,3.0,0.0,2.0,0.0,16.666666666666664,19.331395348837212,17.105263157894736,16.16766467065868,2
V15W0050,0.0,3.0,0.0,2.0,0.5,16.153846153846153,19.331395348837212,17.105263157894736,16.16766467065868,4
V15W0051,0.0,3.0,0.0,5.0,0.0,16.41025641025641,18.168604651162788,15.526315789473685,14.071856287425149,2
V15W0052,0.0,3.0,0.0,5.0,0.5,16.153846153846153,18.459302325581394,16.05263157894737,14.37125748502994,2
V15W0053,0.0,3.0,3.0,0.0,0.0,26.666666666666668,29.796511627906973,23.684210526315788,24.10179640718563,7
V15W0054,0.0,3.0,3.0,0.0,0.5,26.923076923076923,29.941860465116278,22.894736842105264,23.652694610778443,7
V15W0055,0.0,3.0,3.0,2.0,0.0,25.384615384615383,28.052325581395348,21.842105263157897,21.55688622754491,6
V15W0056,0.0,3.0,3.0,2.0,0.5,24.615384615384617,27.61627906976744,21.578947368421055,21.407185628742514,6
V15W0057,0.0,3.0,3.0,5.0,0.0,23.846153846153847,26.16279069767442,19.736842105263158,19.46107784431138,5
V15W0058,0.0,3.0,3.0,5.0,0.5,23.846153846153847,26.308139534883722,20.0,19.311377245508982,5
V15W0059,0.0,3.0,6.0,0.0,0.0,28.974358974358978,31.831395348837212,24.47368421052632,25.449101796407188,5
V15W0060,0.0,3.0,6.0,0.0,0.5,28.974358974358978,31.686046511627907,24.47368421052632,25.299401197604794,6
V15W0061,0.0,3.0,6.0,2.0,0.0,26.923076923076923,29.796511627906973,23.42105263157895,23.353293413173652,6
V15W0062,0.0,3.0,6.0,2.0,0.5,27.17948717948718,29.941860465116278,23.157894736842106,23.053892215568865,6
V15W0063,0.0,3.0,6.0,5.0,0.0,24.358974358974358,27.180232558139533,21.578947368421055,21.407185628742514,5
V15W0064,0.0,3.0,6.0,5.0,0.5,24.615384615384617,27.325581395348834,22.105263157894736,21.55688622754491,5
V15W0065,0.0,3.0,10.0,0.0,0.0,28.974358974358978,31.976744186046513,24.210526315789473,25.299401197604794,6
V15W0066,0.0,3.0,10.0,0.0,0.5,28.717948717948715,31.831395348837212,24.47368421052632,25.748502994011975,7
V15W0067,0.0,3.0,10.0,2.0,0.0,27.94871794871795,30.668604651162788,23.94736842105263,24.10179640718563,6
V15W0068,0.0,3.0,10.0,2.0,0.5,27.692307692307693,30.668604651162788,23.684210526315788,23.802395209580837,6
V15W0069,0.0,3.0,10.0,5.0,0.0,26.153846153846157,28.924418604651166,22.894736842105264,22.75449101796407,6
V15W0070,0.0,3.0,10.0,5.0,0.5,26.410256410256412,28.924418604651166,22.63157894736842,22.604790419161677,6
V15W0071,1.0,0.0,0.0,0.0,0.0,3.5897435897435894,3.1976744186046515,2.8947368421052633,2.5449101796407185,1
V15W0072,1.0,0.0,0.0,0.0,0.5,3.5897435897435894,3.9244186046511627,3.421052631578948,2.694610778443114,0
V15W0073,1.0,0.0,0.0,2.0,0.0,13.846153846153847,15.261627906976743,11.842105263157894,11.976047904191617,2
V15W0074,1.0,0.0,0.0,2.0,0.5,13.333333333333334,14.970930232558139,13.684210526315791,12.874251497005988,2
V15W0075,1.0,0.0,0.0,5.0,0.0,13.333333333333334,14.970930232558139,14.473684210526317,13.17365269461078,2
V15W0076,1.0,0.0,0.0,5.0,0.5,13.333333333333334,15.11627906976744,14.473684210526317,13.47305389221557,2
V15W0077,1.0,0.0,3.0,0.0,0.0,28.717948717948715,31.1046511627907,24.47368421052632,25.59880239520958,7
V15W0078,1.0,0.0,3.0,0.0,0.5,28.974358974358978,31.686046511627907,25.0,25.449101796407188,8
V15W0079,1.0,0.0,3.0,2.0,0.0,25.128205128205128,27.180232558139533,21.578947368421055,21.55688622754491,6
V15W0080,1.0,0.0,3.0,2.0,0.5,24.871794871794872,27.325581395348834,21.842105263157897,21.407185628742514,6
V15W0081,1.0,0.0,3.0,5.0,0.0,22.82051282051282,24.563953488372093,18.421052631578945,18.562874251497004,4
V15W0082,1.0,0.0,3.0,5.0,0.5,23.333333333333332,25.290697674418606,18.947368421052634,18.41317365269461,5
V15W0083,1.0,0.0,6.0,0.0,0.0,28.974358974358978,31.686046511627907,24.736842105263158,25.449101796407188,7
V15W0084,1.0,0.0,6.0,0.0,0.5,29.230769230769234,32.122093023255815,24.47368421052632,25.149700598802394,8
V15W0085,1.0,0.0,6.0,2.0,0.0,26.153846153846157,29.21511627906977,23.42105263157895,22.904191616766468,6
V15W0086,1.0,0.0,6.0,2.0,0.5,26.153846153846157,29.360465116279073,23.157894736842106,22.904191616766468,6
V15W0087,1.0,0.0,6.0,5.0,0.0,24.102564102564102,26.744186046511626,20.526315789473685,20.808383233532936,5
