pattern_id,avg1,win1,avg2,win2,avg3,win3,avg5,win5,avg6,win6,n,last_date,n_recent,best_hold,best_avg,best_win,nstocks,n_consistent_stocks
8326,-0.23,42.0,0.02,44.0,0.2,45.0,1.62,48.0,1.72,49.0,1586,2024-12-16,1258,6,1.72,49.0,152,36
8332,0.04,44.0,-0.1,46.0,-0.25,45.0,0.41,48.0,0.32,48.0,4021,2024-12-24,782,5,0.41,48.0,346,100
8333,-0.03,42.0,0.17,46.0,0.41,50.0,0.69,52.0,0.76,52.0,1226,2024-12-31,1059,6,0.76,52.0,107,35
8334,0.03,42.0,0.54,51.0,0.92,54.0,1.63,56.0,2.15,57.0,1345,2024-12-27,1124,6,2.15,57.0,130,42
8335,0.08,45.0,0.22,46.0,0.35,47.0,0.84,52.0,1.09,54.0,557,2024-12-26,455,6,1.09,54.0,91,17
8337,-0.1,44.0,0.07,47.0,0.31,49.0,0.78,51.0,0.93,52.0,40915,2024-12-31,27878,6,0.93,52.0,445,141
8347,0.52,49.0,0.52,51.0,0.36,50.0,1.27,56.0,1.42,56.0,3586,2024-12-31,1207,6,1.42,56.0,377,158
8348,0.14,50.0,0.73,54.0,1.08,55.0,1.75,57.0,1.82,59.0,1755,2024-12-27,892,6,1.82,59.0,323,81
8349,-0.3,43.0,-0.53,45.0,-0.55,44.0,-0.37,45.0,-0.42,49.0,1234,2024-12-20,460,1,-0.3,43.0,300,39
8354,-0.15,43.0,0.07,48.0,0.32,50.0,0.81,52.0,1.03,53.0,10078,2024-12-31,7469,6,1.03,53.0,315,120
8355,-0.26,41.0,0.04,45.0,0.42,46.0,1.31,49.0,1.7,50.0,6681,2024-12-31,5375,6,1.7,50.0,193,44
8359,-0.14,43.0,0.06,47.0,0.31,49.0,0.76,52.0,0.94,53.0,19285,2024-12-31,13404,6,0.94,53.0,418,163
8361,-0.05,44.0,0.06,48.0,0.37,48.0,0.93,52.0,1.05,53.0,8527,2024-12-31,2081,6,1.05,53.0,409,186
8364,-0.05,45.0,0.08,48.0,0.35,49.0,0.91,51.0,1.01,51.0,13231,2024-12-31,6844,6,1.01,51.0,444,186
8365,-0.02,43.0,0.21,47.0,0.36,48.0,0.78,49.0,1.2,50.0,1587,2024-12-30,1191,6,1.2,50.0,255,69
8366,-0.29,41.0,-0.09,42.0,0.02,43.0,1.08,47.0,1.18,48.0,1233,2024-12-13,988,6,1.18,48.0,141,31
8369,-0.15,43.0,0.7,47.0,1.55,49.0,3.35,51.0,4.34,52.0,19358,2024-12-31,9325,6,4.34,52.0,420,191
