symbol,side,days,win,raw,neutral,retained,neut_sharpe,best_signal,bs_days,bs_neutral,sector
GAIL,LONG,534,45.693,-0.117,-0.053,0.0,-0.638,GOLD-baseline,50,0.046,Oil Gas & Consumable Fuels
GLENMARK,SHORT,535,47.664,-0.121,-0.185,0.0,-1.902,STANDARD,70,0.008,Healthcare
GLENMARK,LONG,535,50.28,0.032,0.095,298.948,0.982,ENTERPRISE-Dryup,244,0.211,Healthcare
GMRAIRPORT,SHORT,535,51.963,0.058,-0.005,-9.373,-0.063,extended_move,24,0.564,Services
GMRAIRPORT,LONG,535,45.234,-0.147,-0.084,0.0,-0.979,GOLD,138,-0.003,Services
GODFRYPHLP,SHORT,535,56.262,0.01,-0.054,-540.889,-0.25,GOLD-baseline,80,0.621,Fast Moving Consumer Goods
GODFRYPHLP,LONG,535,41.495,-0.099,-0.036,0.0,-0.168,AVOID,25,0.341,Fast Moving Consumer Goods
GODREJCP,SHORT,535,53.084,0.011,-0.053,-486.902,-0.561,GOLD,141,0.07,Fast Moving Consumer Goods
GODREJCP,LONG,535,44.486,-0.1,-0.037,0.0,-0.392,GOLD-baseline,103,0.201,Fast Moving Consumer Goods
GODREJPROP,SHORT,535,51.589,0.152,0.089,58.35,0.811,extended_move,33,0.585,Realty
GODREJPROP,LONG,535,47.103,-0.242,-0.178,0.0,-1.626,ENTERPRISE-Dryup,233,-0.107,Realty
GRASIM,SHORT,535,50.654,-0.031,-0.094,0.0,-1.347,ENTERPRISE-Dryup,227,-0.055,Construction Materials
GRASIM,LONG,535,46.355,-0.059,0.005,0.0,0.068,STANDARD,42,0.111,Construction Materials
GVT&D,SHORT,535,50.28,-0.072,-0.136,0.0,-0.966,STANDARD,131,0.268,Capital Goods
GVT&D,LONG,535,45.794,-0.017,0.046,0.0,0.33,gap,27,0.544,Capital Goods
HAL,SHORT,535,52.523,0.094,0.03,32.346,0.311,GOLD,148,0.081,Capital Goods
HAL,LONG,535,44.486,-0.183,-0.12,0.0,-1.229,extended_move,59,0.265,Capital Goods
HAVELLS,SHORT,534,52.06,0.047,-0.017,-35.536,-0.235,GOLD-baseline,84,0.314,Consumer Durables
HAVELLS,LONG,534,46.442,-0.137,-0.072,0.0,-1.011,ENTERPRISE-Dryup,248,0.046,Consumer Durables
HCLTECH,SHORT,535,50.841,-0.012,-0.076,0.0,-0.893,STANDARD,42,0.326,Information Technology
HCLTECH,LONG,535,45.421,-0.077,-0.014,0.0,-0.161,ENTERPRISE-Dryup,212,0.06,Information Technology
HDFCAMC,SHORT,535,49.346,-0.075,-0.138,0.0,-1.635,STANDARD,65,-0.053,Financial Services
HDFCAMC,LONG,535,47.664,-0.015,0.049,0.0,0.578,GOLD-baseline,83,0.293,Financial Services
HDFCBANK,SHORT,535,48.037,-0.097,-0.16,0.0,-2.396,STANDARD,32,0.374,Financial Services
HDFCBANK,LONG,535,48.224,0.007,0.071,954.25,1.059,GOLD,197,0.244,Financial Services
HDFCLIFE,SHORT,534,49.438,-0.081,-0.145,0.0,-1.849,STANDARD,44,0.147,Financial Services
HDFCLIFE,LONG,534,47.004,-0.009,0.056,0.0,0.71,ENTERPRISE-Dryup,245,0.219,Financial Services
HEROMOTOCO,SHORT,535,51.215,0.055,-0.008,-14.289,-0.096,extended_move,40,0.097,Automobile and Auto Components
HEROMOTOCO,LONG,535,45.234,-0.145,-0.081,0.0,-0.984,GOLD-baseline,83,0.056,Automobile and Auto Components
HINDALCO,SHORT,535,48.037,-0.044,-0.107,0.0,-1.347,STANDARD,65,0.085,Metals & Mining
HINDALCO,LONG,535,48.037,-0.045,0.018,0.0,0.226,GOLD-baseline,101,0.132,Metals & Mining
HINDPETRO,SHORT,535,51.215,0.039,-0.024,-62.523,-0.236,extended_move,38,0.08,Oil Gas & Consumable Fuels
HINDPETRO,LONG,535,46.542,-0.128,-0.065,0.0,-0.628,STANDARD,68,0.082,Oil Gas & Consumable Fuels
HINDUNILVR,SHORT,534,51.311,-0.016,-0.08,0.0,-0.934,GOLD-baseline,99,0.063,Fast Moving Consumer Goods
HINDUNILVR,LONG,534,45.506,-0.073,-0.009,0.0,-0.105,STANDARD,26,0.092,Fast Moving Consumer Goods
HINDZINC,SHORT,535,54.766,0.102,0.039,38.026,0.338,extended_move,69,0.252,Metals & Mining
HINDZINC,LONG,535,42.991,-0.192,-0.128,0.0,-1.115,GOLD-baseline,94,0.095,Metals & Mining
HYUNDAI,SHORT,422,46.682,-0.06,-0.116,0.0,-1.125,GOLD-baseline,81,0.157,Automobile and Auto Components
HYUNDAI,LONG,422,50.0,-0.03,0.027,0.0,0.258,STANDARD,52,0.273,Automobile and Auto Components
ICICIBANK,SHORT,535,48.785,-0.098,-0.162,0.0,-2.373,STANDARD,27,0.101,Financial Services
ICICIBANK,LONG,535,47.477,0.009,0.072,796.965,1.063,ENTERPRISE-Dryup,229,0.163,Financial Services
ICICIGI,SHORT,535,50.093,-0.019,-0.083,0.0,-1.018,STANDARD,35,0.014,Financial Services
ICICIGI,LONG,535,48.224,-0.07,-0.006,0.0,-0.079,ENTERPRISE-Dryup,240,0.015,Financial Services
ICICIPRULI,SHORT,535,51.028,0.018,-0.046,-256.017,-0.552,STANDARD,41,0.153,Financial Services
ICICIPRULI,LONG,535,45.047,-0.107,-0.044,0.0,-0.53,GOLD,165,0.034,Financial Services
IDEA,SHORT,535,55.14,0.169,0.105,62.43,0.624,STANDARD,75,0.834,Telecommunication
IDEA,LONG,535,43.178,-0.258,-0.195,0.0,-1.154,GOLD-baseline,82,0.275,Telecommunication
IDFCFIRSTB,SHORT,535,52.523,-0.054,-0.117,0.0,-1.392,ENTERPRISE-Dryup,251,-0.052,Financial Services
IDFCFIRSTB,LONG,535,45.794,-0.035,0.028,0.0,0.332,GOLD-baseline,60,0.356,Financial Services
IEX,SHORT,534,50.562,0.061,-0.003,-5.537,-0.029,extended_move,33,0.105,Financial Services
IEX,LONG,534,45.88,-0.15,-0.086,0.0,-0.751,ENTERPRISE-Dryup,269,-0.032,Financial Services
INDHOTEL,SHORT,535,46.729,-0.061,-0.124,0.0,-1.585,GOLD-baseline,83,-0.012,Consumer Services
INDHOTEL,LONG,535,50.467,-0.028,0.035,0.0,0.446,ENTERPRISE-Dryup,244,0.104,Consumer Services
INDIANB,SHORT,535,55.701,0.014,-0.049,-349.315,-0.49,GOLD-baseline,96,0.196,Financial Services
INDIANB,LONG,535,41.682,-0.103,-0.04,0.0,-0.398,ENTERPRISE-Dryup,232,0.084,Financial Services
INDIGO,SHORT,534,47.191,-0.081,-0.145,0.0,-1.864,extended_move,28,0.142,Services
INDIGO,LONG,534,49.625,-0.008,0.056,0.0,0.719,ENTERPRISE-Dryup,254,0.081,Services
INDUSINDBK,SHORT,535,49.72,-0.016,-0.079,0.0,-0.713,extended_move,23,0.278,Financial Services
INDUSINDBK,LONG,535,49.346,-0.074,-0.01,0.0,-0.093,ENTERPRISE-Dryup,241,0.061,Financial Services
INDUSTOWER,SHORT,535,52.523,0.092,0.029,31.113,0.308,STANDARD,70,0.498,Telecommunication
INDUSTOWER,LONG,535,45.421,-0.181,-0.118,0.0,-1.27,extended_move,31,0.191,Telecommunication
INFY,SHORT,535,53.645,0.003,-0.06,-1944.063,-0.725,GOLD-baseline,134,0.009,Information Technology
INFY,LONG,535,43.364,-0.092,-0.029,0.0,-0.349,ENTERPRISE-Dryup,198,0.073,Information Technology
INOXWIND,SHORT,535,57.009,0.248,0.185,74.429,1.368,STANDARD,79,0.548,Capital Goods
INOXWIND,LONG,535,41.121,-0.337,-0.274,0.0,-2.031,GOLD,112,-0.02,Capital Goods
