pattern,n,hit1,avg1,med1,mfe1,mae1,conf1,strength1,edge1,hit2,avg2,med2,mfe2,mae2,conf2,strength2,edge2,hit3,avg3,med3,mfe3,mae3,conf3,strength3,edge3,consistency,recency,lift_over_best_single
4304+3675,37,0.5675675675675675,0.9843134473360735,1.0366998856395961,3.45222992017031,-2.137734600757241,0.40913906334200717,0.00589873930960394,1.1807139287628423,0.6756756756756757,2.3803362995447443,1.8113142094729853,5.5471073533121595,-2.7342449465864167,0.5146336850482394,0.05378760043977854,2.421469719129735,0.7297297297297297,2.8463652333669724,1.9829318094707162,6.66174687996783,-3.074626834021607,0.5702152452607867,0.10936916065232588,2.7369693521068337,1.0,1.753516722822381,-0.02575263386939247
2712+6508,60,0.5333333333333333,0.38817805365234836,0.3758047908939567,3.102742482685348,-2.094477031995064,0.4089320867113511,0.005691762678947887,0.5845785350791171,0.6166666666666667,1.1988070354627254,1.4171635741659296,4.823623816842941,-2.894857658966088,0.4901736454040314,0.029327560795570584,1.2399404550477162,0.6833333333333333,2.4670879145665117,2.2254021288562176,6.4375103517166865,-3.320325866460702,0.5576599505698346,0.09681386596137381,2.357692033306373,1.0,0.35412649284862296,-0.017919620094930366
6821+7053,152,0.4868421052631579,0.0691450427707521,-0.1310008294433017,2.6046461282474525,-1.916645005841908,0.40869031228958663,0.005449988257183402,0.26554552419752087,0.5131578947368421,0.5072516554581555,0.1415348528618289,4.0426794744441805,-2.6819239359109903,0.4343573998964901,-0.026488684711970745,0.5483850750431463,0.4934210526315789,0.7900545138523081,-0.15302795788886922,5.046572850394087,-3.2339391003173072,0.41508719576899217,-0.04575888883946866,0.6806586325921692,1.0,0.2778092856797068,-0.003623756616039031
7562+7074,88,0.5113636363636364,0.19951500501520172,0.13132240807782095,2.5944247006932115,-1.8823584740040724,0.40865348719267547,0.0054131631602722385,0.3959154864419705,0.5340909090909091,0.3452508227083399,0.2820254677027668,3.779660314040191,-2.8008356035291757,0.43063280602477044,-0.030213278583690384,0.3863842422933307,0.48863636363636365,0.340111839794833,-0.6072617727431794,4.727832449617192,-3.6376088742715678,0.38687686309205005,-0.07396922151641078,0.23071595853469415,1.0,0.29537155170965707,0.0042387353300009645
2859+4783,35,0.5714285714285714,0.6694121951181106,0.5636077012533925,3.6406650960414573,-1.7683146715854343,0.4085712925897337,0.005330968557330451,0.8658126765448793,0.7142857142857143,2.3774144565537942,1.7910204081632621,5.830113153493067,-2.2812279374857645,0.5494475193017891,0.08860143469332832,2.418547876138785,0.8285714285714286,4.308454929707856,3.2769602763385075,7.575891515365509,-2.4415655824343507,0.6731739236041119,0.21232783899565105,4.199059048447717,1.0,0.28142446234581187,-0.00642022769232925
8405+6508,35,0.5714285714285714,0.690247922571202,0.8169278736229569,3.3536754475591146,-1.8068008737282746,0.4085712925897337,0.005330968557330451,0.8866484039979707,0.6,1.1559190787317426,1.0400000000000011,5.128268554419186,-2.8509380006170133,0.4357241958151947,-0.0251218887932661,1.1970524983167334,0.6,2.6204052670063875,0.8615297084114505,6.754635145510367,-3.136790769038137,0.4357241958151947,-0.0251218887932661,2.5110093857462488,1.0,0.8659223806411589,-0.026157573859205585
6255+4118,35,0.5714285714285714,0.30648039141683436,0.8169278736229569,3.4127353657799064,-2.1981552223120016,0.4085712925897337,0.005330968557330451,0.5028808728436032,0.6,1.8015148936552763,1.1695128939828205,5.640466010590599,-2.936168768215838,0.4357241958151947,-0.0251218887932661,1.8426483132402671,0.6,3.0352318454845846,2.3978562728379993,7.503259630993439,-3.5069439272723475,0.4357241958151947,-0.0251218887932661,2.925835964224446,1.0,0.08705613837977318,0.004868030316996563
2859+6508,110,0.5,0.10028598102500742,0.0006426367926183618,2.8248453760393355,-1.9655754006545991,0.40815075723076516,0.00491043319836193,0.29668646245177616,0.5818181818181818,0.8322302231904991,0.6190427999156635,4.10929337053254,-2.669202441865795,0.48840398059035006,0.027557895981889236,0.8733636427754898,0.5909090909090909,1.233238575534592,0.7140292179169606,5.046279098477093,-3.2084254626119906,0.49747095246184675,0.03662486785338592,1.1238426942744533,1.0,0.19424928570675642,-0.006840763051297771
9051+9105,33,0.5757575757575758,0.5638040204200131,0.10690391459074369,2.885102925081675,-1.6804570461915473,0.4080697369146003,0.0048294128821970705,0.7602045018467818,0.48484848484848486,0.8267838694242003,-0.17040582726327122,3.8568426239891798,-2.2556256747479346,0.32503781646924224,-0.1358082681392186,0.8679172890091911,0.45454545454545453,0.4474000248058079,-0.7479292403746073,4.454673779913268,-3.075697509645105,0.298426891258915,-0.16241919334954585,0.3380041435456691,1.0,0.015757912321601647,-0.0025628631899289878
8038+9105,33,0.5757575757575758,1.0096375067989107,0.268871247376561,3.1630172726502725,-1.3962206113337874,0.4080697369146003,0.0048294128821970705,1.2060379882256795,0.5757575757575758,2.2084709666577127,0.474037819799782,5.034499565655619,-1.9019859533924757,0.4080697369146003,-0.052776347693860526,2.2496043862427033,0.6060606060606061,2.4546401020167465,0.9579087875416993,6.363414580675327,-2.602074647592372,0.4368314280651038,-0.02401465654335705,2.3452442207566078,1.0,2.4709160850317953,-0.015970854757312303
8030+2859,58,0.5344827586206896,0.3695487777230743,0.26441458755233527,2.9847731580589443,-1.9070601778015397,0.40799953310272963,0.004759209070326398,0.5659492591498431,0.6551724137931034,1.4856434258729887,1.2092738214878376,4.791880618221179,-2.535533054567142,0.5266753715786766,0.06582928697021578,1.5267768454579795,0.7241379310344828,2.6230376929912307,2.443158826300622,6.259642745857726,-2.9656941501698224,0.5979510037164683,0.13710491910800743,2.513641811731092,1.0,0.7741017145724609,-0.015541628327441936
2741+2859,58,0.5344827586206896,0.3057405029197906,0.2228778523485843,2.904119963710106,-1.9136758125882485,0.40799953310272963,0.004759209070326398,0.5021409843465594,0.7068965517241379,1.517413158571521,1.229630505078987,4.731014824026278,-2.6393386826938086,0.5798685554332221,0.1190224708247613,1.5585465781565118,0.7241379310344828,2.7245768172401426,2.0262200030960176,6.098665681219284,-2.8548534350677235,0.5979510037164683,0.13710491910800743,2.615180935980004,1.0,0.5312566944424136,-0.04443936957790279
7562+6255,58,0.5344827586206896,0.1767299191237145,0.23383294273657165,3.028865256140374,-2.1540395440813374,0.40799953310272963,0.004759209070326398,0.37313040055048324,0.6379310344827587,0.9603747572001735,0.8863290166798922,4.4176537416654735,-2.818420994597969,0.5092728615828535,0.04842677697439263,1.0015081767851644,0.6724137931034483,1.3564556740492082,1.0188968182089633,5.467643517808819,-3.3622592217841096,0.5442381364257336,0.08339205181727277,1.2470597927890694,1.0,0.09645487841282406,0.0035847812400551238
