rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0725,pair,ret10_pct__pct,hi,0.95,first30_ret_pct__pct,lo,0.2,18,265,0.06792452830188679,3.9935037019345594,2.455451840170217,55.84905660377358,39.21551145239507
R0502,pair,ret5_pct__pct,hi,0.95,open_gap_pct__pct,lo,0.05,12,115,0.10434782608695652,6.13494771601541,1.6097831466618056,54.78260869565217,39.17466796472722
R0546,pair,trend3_20__pct,hi,0.95,volume__pct,lo,0.1,6,59,0.1016949152542373,5.97897446899807,2.5453080152473846,55.932203389830505,38.680229014118225
R0545,pair,trend3_20__pct,hi,0.95,day_volume_1m__pct,lo,0.1,6,59,0.1016949152542373,5.97897446899807,2.5453080152473846,55.932203389830505,38.680229014118225
R0470,pair,ret5_pct__pct,hi,0.95,down_day_streak__pct,lo,0.2,22,226,0.09734513274336283,5.723236622978978,1.6415148367582777,50.442477876106196,38.519032745244694
R0681,pair,ret10_pct__pct,hi,0.95,down_day_streak__pct,lo,0.2,22,190,0.11578947368421053,6.807639351543416,1.3541041076308273,47.89473684210526,37.95172970532114
R0456,pair,down_day_streak__pct,lo,0.1,intra_range_pct__pct,hi,0.9,7,83,0.08433734939759036,4.9584667785064305,3.7393569744764745,53.01204819277109,37.817805370369115
R0438,pair,down_day_streak__pct,lo,0.1,vol_avg20__pct,lo,0.2,8,138,0.057971014492753624,3.408304286675228,3.74393662971208,63.76811594202898,37.262960162307316
R0445,pair,down_day_streak__pct,lo,0.1,day_range_pct__pct,hi,0.8,9,116,0.07758620689655173,4.561545176778699,3.037664118842543,53.44827586206896,36.897164015750676
R0477,pair,ret5_pct__pct,hi,0.95,volume__pct,lo,0.1,7,75,0.09333333333333334,5.487369901547117,2.1307937129998518,54.666666666666664,35.668617157019796
R0590,pair,trend3_20__pct,hi,0.95,last60_volume__pct,lo,0.2,15,181,0.08287292817679558,4.8723686971116855,1.879614121528059,51.93370165745856,34.78687722609462
R0644,pair,ret3_pct__pct,hi,0.95,last30_volume__pct,lo,0.05,5,53,0.09433962264150944,5.546532919353555,2.7752414430131727,54.71698113207547,34.480832226870604
R0662,pair,ret3_pct__pct,hi,0.95,last60_volume__pct,lo,0.2,20,174,0.11494252873563218,6.757844706338814,1.1368404778319134,48.275862068965516,33.93985683102656
R1316,pair,trend3_20__pct,hi,0.8,day_volume_1m__pct,lo,0.05,11,148,0.07432432432432433,4.369768502679896,2.3219600722127924,53.37837837837838,33.81699256597722
R0543,pair,trend3_20__pct,hi,0.95,vol_avg20__pct,lo,0.1,12,144,0.08333333333333333,4.899437412095639,1.9024681482535033,52.77777777777778,33.29526906704516
R1473,pair,down_day_streak__pct,lo,0.2,last60_vol_pct__pct,lo,0.2,28,491,0.05702647657841141,3.352771833939175,2.451571994401579,56.41547861507128,33.18339499110396
R0524,pair,ret5_pct__pct,hi,0.95,turnover__pct,lo,0.2,6,106,0.05660377358490566,3.327919751612133,3.9404224855602616,58.490566037735846,32.91110967232777
R1317,pair,trend3_20__pct,hi,0.8,volume__pct,lo,0.05,11,144,0.0763888888888889,4.49115096108767,2.1585194954285374,52.77777777777778,32.39593599259972
R0458,pair,ret5_pct__pct,hi,0.95,trend3_20__pct,hi,0.95,44,445,0.09887640449438202,5.813265064239321,1.0532885152793654,49.8876404494382,32.07644324906144
R0476,pair,ret5_pct__pct,hi,0.95,day_volume_1m__pct,lo,0.1,7,76,0.09210526315789473,5.4151676660004435,1.915589359843823,53.94736842105263,31.435242111211846
R1175,pair,ret2_pct__pct,hi,0.95,down_day_streak__pct,lo,0.2,22,292,0.07534246575342465,4.429628345182359,1.8143019881935243,51.71232876712328,31.363879196390577
R1202,pair,ret2_pct__pct,hi,0.95,first15_ret_pct__pct,lo,0.2,18,236,0.07627118644067797,4.484230851748552,1.8597131276169987,52.96610169491526,31.33807089623897
R1703,pair,vol_avg20__pct,lo,0.1,turn_pct_252__pct,hi,0.8,27,459,0.058823529411764705,3.4584264085380987,2.155495521891145,54.03050108932462,31.277453945681383
R2069,pair,last60_ret_pct__pct,lo,0.05,last30_volume__pct,lo,0.05,6,67,0.08955223880597014,5.265067069714717,2.7917386102267683,41.7910447761194,31.129832066805683
R1465,pair,down_day_streak__pct,lo,0.2,up_day_streak__pct,hi,0.9,39,670,0.058208955223880594,3.4222935953145663,2.1085970070821296,53.73134328358209,31.035239563220166
