config_id,entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired,avg_symbol_prior,high_tier_only,top_n,min_rules,rule_weight,profile_weight,symbol_prior_weight
C000,2025-05-05,2025-05-02,10,"CEATLTD,DATAPATTNS,SONATSOFTW,POWERINDIA,GRSE,MAZDOCK,RRKABEL,INDIACEM,IGL,TBOTEK",967.785396266076,39.7,0.27467508318653355,1,10,0,1.0,2.0,4.0
C000,2025-05-06,2025-05-05,10,"FORCEMOT,SCHAEFFLER,SONATSOFTW,CEATLTD,CRISIL,DATAPATTNS,TIMKEN,JINDALSAW,GODREJPROP,CREDITACC",793.1039996815874,32.3,0.13539048737522016,1,10,0,1.0,2.0,4.0
C000,2025-05-07,2025-05-06,10,"VMM,POLYCAB,BIOCON,M&M,YESBANK,SAILIFE,BALKRISIND,SCHAEFFLER,EXIDEIND,REDINGTON",2726.9507179448883,46.2,0.1000440399295361,1,10,0,1.0,2.0,4.0
C000,2025-05-08,2025-05-07,10,"POLYMED,BLUEDART,CEATLTD,NETWEB,VMM,RRKABEL,BIOCON,POLYCAB,SCHAEFFLER,CONCORDBIO",812.6123788678997,32.8,0.12009199451947543,1,10,0,1.0,2.0,4.0
C000,2025-05-09,2025-05-08,10,"ENDURANCE,ELECON,CEATLTD,BLUEDART,JYOTICNC,BSE,SCHAEFFLER,APLAPOLLO,AEGISLOG,TMPV",3844.542372820393,68.7,0.22507535721276178,1,10,0,1.0,2.0,4.0
C000,2025-05-12,2025-05-09,10,"ENDURANCE,INTELLECT,APARINDS,MRF,CCL,CONCORDBIO,NEULANDLAB,ELECON,TBOTEK,NETWEB",1109.1374900902053,43.4,0.32114601683303967,1,10,0,1.0,2.0,4.0
C000,2025-05-13,2025-05-12,10,"YESBANK,KPRMILL,CONCORDBIO,ENDURANCE,ZEEL,TMPV,IKS,SPLPETRO,SOLARINDS,NIVABUPA",696.8824143830436,29.6,0.25808377373262864,1,10,0,1.0,2.0,4.0
C000,2025-05-14,2025-05-13,10,"CHALET,GABRIEL,FORCEMOT,PTCIL,RPOWER,INTELLECT,WELSPUNLIV,GALLANTT,POWERINDIA,KPRMILL",515.1537862574713,22.6,0.23662080921622905,1,10,0,1.0,2.0,4.0
C000,2025-05-15,2025-05-14,10,"BDL,MAPMYINDIA,ECLERX,SYRMA,HONAUT,FORCEMOT,ESCORTS,RPOWER,SHREECEM,BLUEJET",565.5058515251474,24.0,0.1662810726169505,1,10,0,1.0,2.0,4.0
C000,2025-05-16,2025-05-15,10,"CRAFTSMAN,AIIL,HBLENGINE,3MINDIA,TITAGARH,POWERINDIA,SAGILITY,NEULANDLAB,JUBLFOOD,GALLANTT",663.329557204778,28.8,0.3052078964292705,1,10,0,1.0,2.0,4.0
