poll_ist,fn,symbol,exchange,periodicity,bars,newest_bar_ist,close,oi,volume,reply_ms,error
2026-09-23 12:06:41,GetHistory,NIFTY 50,NSE_IDX,15minute,109,2026-09-23 11:45:00,23429.45,0,0,3779,
2026-09-23 12:06:47,GetHistory,NIFTY BANK,NSE_IDX,15minute,109,2026-09-23 11:45:00,56530.9,0,0,5421,
2026-09-23 12:08:06,GetHistory,NIFTY 50,NSE_IDX,1minute,165,2026-09-23 11:53:00,23428.7,0,0,1094,
2026-09-23 12:08:07,GetHistory,RELIANCE,NSE,1minute,159,2026-09-23 11:53:00,1249.4,0,11701,898,
2026-09-23 12:08:08,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,159,2026-09-23 11:53:00,23447.2,16228095,2730,977,
2026-09-23 12:08:09,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,159,2026-09-23 11:53:00,172.45,2920580,60190,987,
2026-09-23 12:08:36,GetExchangeSnapshot,NFO,NFO,1minute,2886,2026-09-23 11:53:00,2550,617808,2886,26795,
2026-09-23 12:09:00,GetExchangeSnapshot,NSE,NSE,1minute,1572,2026-09-23 11:53:00,2,295757,1572,24678,
2026-09-23 12:10:11,GetHistory,NIFTY 50,NSE_IDX,1minute,167,2026-09-23 11:55:00,23427.6,0,0,876,
2026-09-23 12:10:14,GetHistory,RELIANCE,NSE,1minute,161,2026-09-23 11:55:00,1248.5,0,19842,3576,
2026-09-23 12:10:15,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,161,2026-09-23 11:55:00,23445.4,16226795,2145,479,
2026-09-23 12:10:16,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,161,2026-09-23 11:55:00,171.3,2918110,63700,969,
2026-09-23 12:10:44,GetExchangeSnapshot,NFO,NFO,1minute,2850,2026-09-23 11:55:00,2537,609846,2850,28445,
2026-09-23 12:11:08,GetExchangeSnapshot,NSE,NSE,1minute,1626,2026-09-23 11:56:00,1,305964,1626,23382,
2026-09-23 12:11:18,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,56680.2,1885440,3480,1838,
2026-09-23 12:11:20,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,23448.0,16217890,48945,1539,
