date,month,n_stocks,portfolio_ret_pct_cash,portfolio_pnl_rs,basket_MFE_pct,basket_MAE_pct,basket_EOD_pct,armed,capture_pct,hit_+1pct,basket_exit_reason
2024-11-11,2024-11,5,1.492,1455.0,3.75,0.178,1.487,YES,40.0,YES,TRAIL
2024-11-12,2024-11,5,2.042,1869.0,3.289,0.154,0.295,YES,62.0,YES,TRAIL
2024-11-13,2024-11,5,-1.091,-1024.0,0.378,-3.913,-1.443,no,0.0,no,mixed/stops
2024-11-14,2024-11,5,0.749,687.0,4.965,-0.561,3.944,YES,15.0,no,mixed/stops
2024-11-18,2024-11,4,-1.5,-1347.0,0.164,-3.61,-3.61,no,0.0,no,BASKET_STOP
2024-11-19,2024-11,5,2.089,2014.0,4.473,0.462,3.418,YES,47.0,YES,TRAIL
2024-11-21,2024-11,5,0.478,470.0,2.007,-1.222,1.54,YES,24.0,no,mixed/stops
2024-11-22,2024-11,5,1.114,1103.0,4.753,-0.942,4.142,YES,23.0,YES,mixed/stops
2024-11-25,2024-11,5,-1.385,-1302.0,0.801,-1.998,-1.068,no,0.0,no,mixed/stops
2024-11-26,2024-11,5,1.72,1686.0,1.916,-1.111,-0.4,no,90.0,YES,TRAIL
2024-11-27,2024-11,5,-1.034,-1016.0,8.281,-1.302,8.126,YES,0.0,no,mixed/stops
2024-11-28,2024-11,5,1.623,1583.0,6.546,1.623,4.817,YES,25.0,YES,TRAIL
2024-11-29,2024-11,5,2.943,2878.0,7.643,0.945,4.855,YES,38.0,YES,TRAIL
2024-12-02,2024-12,5,-1.5,-1463.0,1.878,-3.054,-2.179,no,0.0,no,mixed/stops
2024-12-03,2024-12,5,2.109,1950.0,2.759,-0.375,1.962,YES,76.0,YES,TRAIL
2024-12-04,2024-12,5,2.432,2406.0,5.588,0.092,5.336,YES,44.0,YES,TRAIL
2024-12-05,2024-12,5,1.104,1082.0,1.869,-0.767,1.424,no,59.0,YES,mixed/stops
2024-12-06,2024-12,5,1.503,1473.0,3.181,-0.441,2.388,YES,47.0,YES,TRAIL
2024-12-09,2024-12,5,0.583,580.0,1.199,-0.234,0.863,no,49.0,no,mixed/stops
2024-12-10,2024-12,5,1.349,1179.0,1.777,-1.225,1.452,no,76.0,YES,mixed/stops
2024-12-11,2024-12,5,0.426,419.0,1.585,-0.384,1.271,no,27.0,no,mixed/stops
2024-12-12,2024-12,5,1.754,1660.0,3.144,-0.022,2.13,YES,56.0,YES,TRAIL
2024-12-13,2024-12,5,1.458,1429.0,4.685,-0.65,3.977,YES,31.0,YES,TRAIL
2024-12-16,2024-12,5,1.214,1196.0,2.529,-0.316,1.99,YES,48.0,YES,mixed/stops
2024-12-17,2024-12,5,-0.17,-167.0,1.436,-0.419,0.956,no,0.0,no,mixed/stops
2024-12-18,2024-12,5,1.748,1709.0,3.651,0.42,3.387,YES,48.0,YES,TRAIL
2024-12-19,2024-12,5,1.479,1423.0,3.828,1.052,2.952,YES,39.0,YES,TRAIL
2024-12-20,2024-12,5,2.534,2473.0,6.906,-0.404,6.221,YES,37.0,YES,TRAIL
2024-12-23,2024-12,5,-1.5,-1426.0,0.79,-3.155,-1.396,no,0.0,no,BASKET_STOP
2024-12-24,2024-12,5,0.158,133.0,1.65,-0.407,0.196,no,10.0,no,mixed/stops
2024-12-26,2024-12,5,-1.071,-966.0,0.465,-0.889,-0.414,no,0.0,no,mixed/stops
2024-12-27,2024-12,5,6.691,6009.0,7.46,0.128,6.577,YES,90.0,YES,TRAIL
2024-12-30,2024-12,5,-1.5,-1293.0,0.327,-3.508,-2.606,no,0.0,no,mixed/stops
2024-12-31,2024-12,5,-0.089,-85.0,0.706,-0.678,0.165,no,0.0,no,mixed/stops
2025-01-01,2025-01,5,0.55,530.0,1.399,0.099,1.009,no,39.0,no,mixed/stops
2025-01-02,2025-01,5,2.038,1809.0,7.928,-0.019,6.734,YES,26.0,YES,TRAIL
2025-01-03,2025-01,5,3.562,3285.0,7.609,1.932,5.686,YES,47.0,YES,TRAIL
2025-01-06,2025-01,5,0.162,150.0,1.063,-3.42,-2.197,no,15.0,no,mixed/stops
2025-01-07,2025-01,5,2.257,2124.0,3.185,0.706,2.241,YES,71.0,YES,TRAIL
2025-01-08,2025-01,5,-0.315,-292.0,0.818,-1.64,0.561,no,0.0,no,mixed/stops
2025-01-09,2025-01,5,2.692,2625.0,2.859,0.687,2.786,YES,94.0,YES,mixed/stops
2025-01-10,2025-01,5,-0.7,-652.0,2.199,-1.492,1.057,YES,0.0,no,mixed/stops
2025-01-13,2025-01,5,-1.5,-1377.0,0.434,-4.093,-1.677,no,0.0,no,BASKET_STOP
2025-01-14,2025-01,5,2.06,2050.0,4.733,0.275,4.614,YES,44.0,YES,TRAIL
2025-01-15,2025-01,5,1.481,1469.0,2.671,-1.019,0.153,YES,55.0,YES,TRAIL
2025-01-16,2025-01,5,1.665,1652.0,5.296,0.386,4.55,YES,31.0,YES,TRAIL
2025-01-17,2025-01,5,1.776,1758.0,3.773,-0.408,2.838,YES,47.0,YES,TRAIL
2025-01-20,2025-01,5,0.505,502.0,0.258,-1.557,-0.236,no,195.0,no,mixed/stops
2025-01-21,2025-01,5,-1.5,-1453.0,0.595,-2.801,-2.691,no,0.0,no,BASKET_STOP
2025-01-22,2025-01,5,-1.076,-1042.0,0.695,-2.44,-0.726,no,0.0,no,mixed/stops
2025-01-23,2025-01,5,7.258,6889.0,8.573,1.416,6.638,YES,85.0,YES,TRAIL
2025-01-24,2025-01,5,1.951,1781.0,3.792,0.864,2.321,YES,51.0,YES,TRAIL
2025-01-27,2025-01,5,-1.017,-907.0,0.44,-3.027,-3.027,no,0.0,no,mixed/stops
2025-01-28,2025-01,5,-1.5,-1441.0,0.605,-8.994,-4.68,no,0.0,no,BASKET_STOP
2025-01-29,2025-01,5,2.02,1978.0,9.299,0.099,9.009,YES,22.0,YES,TRAIL
2025-01-30,2025-01,5,-1.189,-1146.0,0.413,-1.512,-1.236,no,0.0,no,mixed/stops
2025-01-31,2025-01,5,1.733,1640.0,3.78,-0.062,3.198,YES,46.0,YES,TRAIL
2025-02-01,2025-02,5,1.552,1464.0,4.812,-0.61,3.512,YES,32.0,YES,TRAIL
2025-02-03,2025-02,5,-1.04,-1019.0,0.578,-3.417,-3.255,no,0.0,no,mixed/stops
2025-02-04,2025-02,5,2.253,2191.0,2.157,0.346,1.977,YES,104.0,YES,mixed/stops
2025-02-05,2025-02,4,2.067,1615.0,5.119,1.479,3.438,YES,40.0,YES,TRAIL
2025-02-06,2025-02,5,-0.135,-121.0,1.561,-0.333,0.109,no,0.0,no,mixed/stops
2025-02-07,2025-02,5,2.667,2595.0,6.239,-0.381,6.088,YES,43.0,YES,TRAIL
2025-02-10,2025-02,5,-1.5,-1335.0,0.404,-5.295,-3.171,no,0.0,no,BASKET_STOP
2025-02-11,2025-02,5,-1.5,-1401.0,0.95,-2.743,-2.246,no,0.0,no,BASKET_STOP
2025-02-12,2025-02,5,-0.536,-499.0,3.231,-2.904,2.208,YES,0.0,no,mixed/stops
2025-02-13,2025-02,5,3.187,3009.0,3.144,-0.111,1.477,YES,101.0,YES,TRAIL
2025-02-14,2025-02,5,-1.177,-1080.0,2.971,-0.792,2.213,YES,0.0,no,mixed/stops
2025-02-17,2025-02,5,-0.777,-720.0,4.073,-1.769,3.723,YES,0.0,no,mixed/stops
2025-02-18,2025-02,5,-1.5,-1434.0,1.065,-3.866,-2.423,no,0.0,no,mixed/stops
2025-02-19,2025-02,5,1.948,1914.0,6.722,0.835,6.437,YES,29.0,YES,TRAIL
2025-02-20,2025-02,5,1.59,1498.0,5.245,0.304,4.529,YES,30.0,YES,TRAIL
2025-02-21,2025-02,5,3.134,3076.0,4.911,1.446,3.576,YES,64.0,YES,TRAIL
2025-02-24,2025-02,5,0.023,23.0,1.835,-1.564,1.378,no,1.0,no,mixed/stops
2025-02-25,2025-02,5,1.005,943.0,2.062,0.508,0.717,YES,49.0,YES,mixed/stops
2025-02-27,2025-02,5,2.102,1972.0,3.066,0.737,1.685,YES,69.0,YES,TRAIL
2025-02-28,2025-02,5,1.486,1397.0,6.709,-2.446,4.897,YES,22.0,YES,TRAIL
2025-03-03,2025-03,5,-1.5,-1444.0,0.688,-2.685,-1.601,no,0.0,no,BASKET_STOP
2025-03-04,2025-03,5,6.115,5400.0,6.931,0.678,6.176,YES,88.0,YES,TRAIL
2025-03-05,2025-03,5,1.707,1528.0,6.137,0.686,5.706,YES,28.0,YES,TRAIL
2025-03-06,2025-03,5,1.579,1428.0,4.925,1.253,4.567,YES,32.0,YES,TRAIL
2025-03-07,2025-03,5,1.589,1558.0,2.302,-0.27,1.794,YES,69.0,YES,mixed/stops
2025-03-10,2025-03,5,-1.194,-1062.0,2.13,-1.968,-1.968,YES,0.0,no,mixed/stops
2025-03-11,2025-03,5,3.576,3410.0,6.068,0.292,5.634,YES,59.0,YES,mixed/stops
2025-03-12,2025-03,5,1.425,1391.0,2.367,-0.36,1.713,YES,60.0,YES,mixed/stops
2025-03-13,2025-03,5,-0.435,-425.0,2.781,-0.846,2.63,YES,0.0,no,mixed/stops
2025-03-17,2025-03,5,0.189,185.0,1.946,-0.814,1.347,no,10.0,no,mixed/stops
2025-03-18,2025-03,5,1.525,1477.0,3.604,0.183,3.412,YES,42.0,YES,TRAIL
2025-03-19,2025-03,5,1.895,1840.0,6.828,0.862,6.17,YES,28.0,YES,TRAIL
2025-03-20,2025-03,5,0.224,220.0,1.78,-0.803,0.229,no,13.0,no,mixed/stops
2025-03-21,2025-03,5,7.152,7098.0,8.438,0.259,6.999,YES,85.0,YES,TRAIL
2025-03-24,2025-03,5,-0.693,-682.0,0.888,-1.154,-0.972,no,0.0,no,mixed/stops
2025-03-25,2025-03,5,-0.783,-709.0,0.604,-1.774,-1.141,no,0.0,no,mixed/stops
2025-03-26,2025-03,5,0.572,558.0,2.106,-0.946,0.134,YES,27.0,no,mixed/stops
2025-03-27,2025-03,5,3.319,3230.0,6.773,-0.549,6.153,YES,49.0,YES,TRAIL
2025-03-28,2025-03,5,4.038,3965.0,5.378,0.815,3.859,YES,75.0,YES,TRAIL
2025-04-01,2025-04,5,-1.268,-1231.0,0.331,-1.147,-0.632,no,0.0,no,mixed/stops
2025-04-02,2025-04,5,-0.134,-130.0,3.679,-1.722,3.466,YES,0.0,no,mixed/stops
2025-04-03,2025-04,5,1.689,1664.0,7.693,0.795,7.364,YES,22.0,YES,TRAIL
2025-04-04,2025-04,5,-1.042,-1025.0,0.501,-3.595,-0.513,no,0.0,no,mixed/stops
2025-04-07,2025-04,5,3.696,3644.0,7.515,3.52,6.947,YES,49.0,YES,TRAIL
2025-04-08,2025-04,5,-1.226,-1127.0,1.747,-2.048,-0.396,no,0.0,no,mixed/stops
2025-04-09,2025-04,5,-1.5,-1386.0,0.121,-3.465,-1.349,no,0.0,no,BASKET_STOP
2025-04-11,2025-04,5,1.679,1603.0,2.74,-0.586,2.3,YES,61.0,YES,mixed/stops
2025-04-15,2025-04,5,0.272,269.0,0.944,-1.151,0.79,no,29.0,no,mixed/stops
2025-04-16,2025-04,5,3.143,3042.0,8.281,0.698,7.073,YES,38.0,YES,TRAIL
2025-04-17,2025-04,5,2.531,2500.0,3.589,-0.141,2.223,YES,71.0,YES,TRAIL
2025-04-21,2025-04,5,1.48,1448.0,2.307,-1.066,2.182,YES,64.0,YES,mixed/stops
2025-04-22,2025-04,5,-1.139,-1028.0,1.122,-0.795,0.699,no,0.0,no,mixed/stops
2025-04-23,2025-04,5,1.938,1775.0,4.365,1.15,4.0,YES,44.0,YES,TRAIL
2025-04-24,2025-04,5,2.693,2433.0,3.319,0.693,1.991,YES,81.0,YES,TRAIL
2025-04-25,2025-04,5,-1.368,-1276.0,0.651,-2.043,-0.5,no,0.0,no,mixed/stops
2025-04-28,2025-04,5,-0.301,-273.0,0.585,-1.216,0.366,no,0.0,no,mixed/stops
2025-04-29,2025-04,5,2.215,2060.0,2.79,0.366,2.192,YES,79.0,YES,mixed/stops
2025-04-30,2025-04,5,2.279,1947.0,3.122,-0.992,1.692,YES,73.0,YES,TRAIL
2025-05-02,2025-05,5,3.778,3373.0,7.537,0.248,5.58,YES,50.0,YES,TRAIL
2025-05-05,2025-05,5,0.551,470.0,1.201,-0.567,0.949,no,46.0,no,mixed/stops
2025-05-06,2025-05,5,-1.157,-1120.0,0.42,-3.114,-2.962,no,0.0,no,mixed/stops
2025-05-07,2025-05,5,1.871,1818.0,5.777,1.042,5.085,YES,32.0,YES,TRAIL
2025-05-08,2025-05,5,1.5,1454.0,7.277,1.01,3.329,YES,21.0,YES,TRAIL
2025-05-09,2025-05,5,2.399,2357.0,9.559,0.934,7.831,YES,25.0,YES,TRAIL
2025-05-12,2025-05,5,-1.264,-1199.0,1.259,-2.598,-2.505,no,0.0,no,mixed/stops
2025-05-13,2025-05,5,-0.552,-508.0,2.078,-0.898,0.922,YES,0.0,no,mixed/stops
2025-05-14,2025-05,5,1.512,1385.0,5.948,-0.186,5.769,YES,25.0,YES,TRAIL
2025-05-15,2025-05,5,1.887,1715.0,4.878,-0.334,4.333,YES,39.0,YES,TRAIL
2025-05-16,2025-05,5,1.526,1503.0,9.158,0.001,8.531,YES,17.0,YES,TRAIL
2025-05-19,2025-05,5,2.482,2421.0,3.348,-0.557,-0.167,YES,74.0,YES,TRAIL
2025-05-20,2025-05,5,0.081,75.0,0.686,-1.398,-0.501,no,12.0,no,mixed/stops
2025-05-21,2025-05,5,2.809,2616.0,8.587,-0.329,7.641,YES,33.0,YES,TRAIL
2025-05-22,2025-05,5,1.273,1203.0,2.475,-0.897,2.246,YES,51.0,YES,mixed/stops
