tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v18_best,2025-05-16,9,9,7,7,77.77777777777779,77.77777777777779,"BAJAJHLDNG,KPIL,KEC,ECLERX,IRCON,PTCIL,ANANTRAJ,HBLENGINE,TITAGARH,RVNL,IFCI,IRFC,SCI,RITES,GESHIP","IFCI,TITAGARH,JWL,GRANULES,RVNL,IRFC,SCI,GESHIP,RITES","GRANULES,JWL"
v18_best,2025-05-19,4,2,2,1,50.0,50.0,"IFCI,TITAGARH,JWL,RVNL,IRFC,SCI,GRANULES,BAJAJHLDNG,GESHIP,KPIL,KEC,ECLERX,ANANTRAJ,RITES,PTCIL","HFCL,GRANULES,PTCIL,BDL",HFCL
v18_best,2025-05-20,12,4,3,0,25.0,0.0,"GRANULES,IFCI,HFCL,TITAGARH,JWL,RVNL,IRFC,SCI,GESHIP,RITES,PTCIL,BDL,BAJAJHLDNG,IRCON,HBLENGINE","SOLARINDS,TTML,JKTYRE,JUBLPHARMA,RPOWER,GRSE,PFIZER,ERIS,CLEAN,PTCIL,IFCI,SCI","CLEAN,ERIS,JUBLPHARMA,PFIZER"
v18_best,2025-05-21,14,13,10,10,71.42857142857143,76.92307692307693,"PFIZER,JUBLPHARMA,ERIS,GRANULES,HFCL,CLEAN,SOLARINDS,TTML,JKTYRE,RPOWER,GRSE,PTCIL,BDL,IFCI,SCI","TTML,RPOWER,HONASA,SOLARINDS,JKTYRE,LTFOODS,GRSE,SCI,ERIS,CLEAN,PARADEEP,PTCIL,KIMS,BDL","KIMS,LTFOODS,PARADEEP"
v18_best,2025-05-22,8,5,6,4,75.0,80.0,"TTML,JKTYRE,SOLARINDS,LTFOODS,GRSE,RPOWER,ERIS,SCI,CLEAN,PFIZER,PARADEEP,JUBLPHARMA,PTCIL,KIMS,BDL","RPOWER,HONASA,PTCIL,JUBLPHARMA,SCI,CLEAN,PARADEEP,IFCI",HONASA
v18_best,2025-05-23,8,6,6,4,75.0,66.66666666666666,"PTCIL,SCI,TTML,JUBLPHARMA,HONASA,JKTYRE,CLEAN,SOLARINDS,RPOWER,LTFOODS,GRSE,ERIS,PARADEEP,KIMS,BDL","TBOTEK,HONASA,RPOWER,ERIS,PARADEEP,LTFOODS,IFCI,JKTYRE","IFCI,TBOTEK"
v18_best,2025-05-26,8,4,5,3,62.5,75.0,"HONASA,RPOWER,TBOTEK,IFCI,LTFOODS,PARADEEP,PTCIL,SCI,JUBLPHARMA,CLEAN,ERIS,JKTYRE,TTML,TITAGARH,GRANULES","GRSE,ERIS,JKTYRE,BDL,PARADEEP,TTML,JUBLPHARMA,PFIZER",BDL
v18_best,2025-05-27,10,8,0,0,0.0,0.0,"HONASA,RPOWER,ERIS,TBOTEK,PARADEEP,BDL,IFCI,LTFOODS,JUBLPHARMA,GRSE,JKTYRE,TTML,PFIZER,PTCIL,SCI","CONCORDBIO,ITI,MMTC,POWERINDIA,WELCORP,ZENTEC,ENGINERSIN,TEGA,ELGIEQUIP,GLAXO","ELGIEQUIP,ENGINERSIN,GLAXO,ITI,POWERINDIA,TEGA,WELCORP,ZENTEC"
v18_best,2025-05-28,8,2,4,1,50.0,50.0,"ITI,POWERINDIA,TEGA,WELCORP,ZENTEC,ENGINERSIN,ELGIEQUIP,ERIS,BDL,PARADEEP,GLAXO,CONCORDBIO,MMTC,JUBLPHARMA,GRSE","CONCORDBIO,WELCORP,MMTC,ENGINERSIN,TECHNOE,DEEPAKFERT,SUZLON,BEML",DEEPAKFERT
v18_best,2025-05-29,5,1,2,0,40.0,0.0,"MMTC,ITI,DEEPAKFERT,POWERINDIA,WELCORP,TEGA,ENGINERSIN,ZENTEC,ELGIEQUIP,CONCORDBIO,TECHNOE,GLAXO,SUZLON,BEML,HONASA","SUZLON,WOCKPHARMA,BSE,BAYERCROP,ELGIEQUIP",BAYERCROP
v18_best,2025-05-30,6,3,4,1,66.66666666666666,33.33333333333333,"MMTC,DEEPAKFERT,BAYERCROP,SUZLON,WOCKPHARMA,CONCORDBIO,WELCORP,BSE,ENGINERSIN,TECHNOE,ELGIEQUIP,BEML,ITI,HONASA,POWERINDIA","CONCORDBIO,SUZLON,TEGA,BEML,BAYERCROP,NBCC","NBCC,TEGA"
