entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json,exit_time,exit_reason,n_positions_filled,gross_ret5x_pct,net_ret5x_pct,charges_rs
2025-01-08,2025-01-07,15,"JSWDULUX,SHYAMMETL,SRF,BDL,VIJAYA,ANANDRATHI,LLOYDSME,RKFORGE,NAVINFLUOR,UBL,AWL,AARTIIND,TARIL,FORCEMOT,SUNDARMFIN",33.03492457117702,"{""continuation"": 13, ""pullback_reversal"": 2}",09:29,HARD_STOP,15,-3.18105,-3.4968833462599798,1579.1667312998998
2025-01-09,2025-01-08,15,"SRF,JSWDULUX,SHYAMMETL,BDL,ANANDRATHI,VIJAYA,LLOYDSME,RKFORGE,NAVINFLUOR,AARTIIND,UBL,CONCORDBIO,MARICO,DMART,SAREGAMA",35.10979071531753,"{""continuation"": 13, ""pullback_reversal"": 2}",15:29,EOD,15,9.371829999999981,9.052382760984843,1597.2361950757002
2025-01-10,2025-01-09,15,"SRF,JSWDULUX,AARTIIND,SHYAMMETL,PTCIL,VIJAYA,LLOYDSME,NAVINFLUOR,UBL,BDL,MARICO,ANANDRATHI,RKFORGE,CONCORDBIO,DMART",38.05084218000661,"{""continuation"": 13, ""fresh_breakout"": 2}",09:37,HARD_STOP,15,-3.5898600000001486,-3.904874799650189,1575.0739982502
2025-01-13,2025-01-10,15,"PTCIL,SRF,SHYAMMETL,JSWDULUX,RKFORGE,AARTIIND,VIJAYA,LLOYDSME,UBL,NAVINFLUOR,BDL,MARICO,ANANDRATHI,INDIAMART,DMART",38.93117239313712,"{""continuation"": 14, ""pullback_reversal"": 1}",09:39,HARD_STOP,15,-3.151140000000131,-3.4662495296463702,1575.5476482311997
2025-01-14,2025-01-13,15,"SRF,VIJAYA,PTCIL,RKFORGE,SHYAMMETL,LLOYDSME,JSWDULUX,UBL,BDL,INDIAMART,CONCORDBIO,DMART,SAREGAMA,AARTIIND,NAVINFLUOR",31.88099999056551,"{""continuation"": 12, ""pullback_reversal"": 3}",15:29,EOD,15,3.055429999999981,2.7382054021106015,1586.1229894469
2025-01-15,2025-01-14,15,"IDEA,ADANIGREEN,RVNL,NBCC,GMDCLTD,IRCON,SRF,VIJAYA,SWANCORP,ADANIENSOL,RAILTEL,RPOWER,HUDCO,BDL,BLS",33.89261790912866,"{""continuation"": 7, ""pullback_reversal"": 3, ""recovery"": 5}",09:34,HARD_STOP,15,-3.330978000000026,-3.6474669970617017,1582.4449853083802
2025-01-16,2025-01-15,15,"IDEA,ADANIGREEN,RVNL,NBCC,GMDCLTD,IRCON,SRF,VIJAYA,SWANCORP,ADANIENSOL,RAILTEL,RPOWER,HUDCO,BDL,BLS",34.103846643615945,"{""continuation"": 4, ""dryup_compression"": 2, ""pullback_reversal"": 6, ""recovery"": 3}",10:13,TRAIL,15,2.2254299999999816,1.9073402862486895,1590.44856875646
2025-01-17,2025-01-16,15,"GMDCLTD,RAILTEL,JWL,RVNL,RPOWER,BDL,HUDCO,IDBI,IDEA,SWANCORP,ADANIGREEN,NBCC,SAMMAANCAP,IRCON,ADANIENSOL",41.010601547161386,"{""continuation"": 15}",15:29,EOD,15,14.25062000000002,13.928954208296313,1608.3289585185203
2025-01-20,2025-01-17,15,"GMDCLTD,RAILTEL,JWL,RVNL,RPOWER,BDL,HUDCO,IDBI,SWANCORP,SAMMAANCAP,INOXWIND,NBCC,ADANIENSOL,SRF,IDEA",38.93938818367487,"{""continuation"": 15}",09:17,HARD_STOP,15,-4.873856000000052,-5.190022511924588,1580.8325596226798
2025-01-21,2025-01-20,15,"INOXWIND,HFCL,SWANCORP,PAYTM,NIACL,JWL,MINDACORP,NBCC,ADANIGREEN,RAILTEL,BSE,GMDCLTD,RVNL,SRF,HUDCO",17.184064647224147,"{""continuation"": 10, ""pullback_reversal"": 5}",09:19,HARD_STOP,15,-3.4295440000000412,-3.745937712589297,1581.9685629462801
2025-01-22,2025-01-21,15,"CGCL,ULTRACEMCO,MPHASIS,ZENSARTECH,COFORGE,NAVA,FIVESTAR,WOCKPHARMA,POLICYBZR,HFCL,INOXWIND,SWANCORP,MCX,PAYTM,KFINTECH",1.516944955155694,"{""continuation"": 2, ""dryup_compression"": 2, ""pullback_reversal"": 11}",09:17,HARD_STOP,15,-5.058333999999985,-5.373913565698877,1577.89782849446
2025-01-23,2025-01-22,15,"PERSISTENT,MPHASIS,CGCL,ULTRACEMCO,KEI,COFORGE,ZENSARTECH,FIVESTAR,WOCKPHARMA,AMBER,POLICYBZR,NAVA,LAURUSLABS,KFINTECH,MCX",3.6903720063487304,"{""continuation"": 8, ""pullback_reversal"": 7}",15:29,EOD,15,25.96126000000006,25.637568849998054,1618.4557500100002
