memory_days,mode,entry_date,signal_date,n_positions,symbols
3,prof_prev_manual,2024-12-04,2024-12-03,15,"BDL,CAMS,GRSE,COCHINSHIP,SONATSOFTW,KPIL,KPITTECH,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,ADANIGREEN,OLAELEC"
3,prof_prev_manual,2024-12-05,2024-12-04,15,"BDL,CAMS,GRSE,COCHINSHIP,SONATSOFTW,KPIL,KPITTECH,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,FINCABLES,PNBHOUSING"
3,prof_prev_manual,2024-12-06,2024-12-05,15,"GRSE,KPIL,KPITTECH,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,FINCABLES,PNBHOUSING,BLUESTARCO,CASTROLIND,CESC,FLUOROCHEM"
3,prof_prev_manual,2024-12-09,2024-12-06,15,"FINCABLES,PNBHOUSING,HSCL,BLUESTARCO,KPIL,CASTROLIND,CESC,FLUOROCHEM,IGL,ANGELONE,GRSE,MMTC,INOXWIND,ZEEL,IREDA"
3,prof_prev_manual,2024-12-10,2024-12-09,15,"KPIL,CASTROLIND,CESC,FLUOROCHEM,IGL,ANGELONE,GRSE,MMTC,INOXWIND,ZEEL,IREDA,MAZDOCK,GABRIEL,MAXHEALTH,ITI"
3,prof_prev_manual,2024-12-11,2024-12-10,15,"GRSE,MMTC,INOXWIND,ZEEL,IREDA,MAZDOCK,GABRIEL,CASTROLIND,MAXHEALTH,CLEAN,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL"
3,prof_prev_manual,2024-12-12,2024-12-11,15,"INOXWIND,CASTROLIND,MAXHEALTH,CLEAN,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL,POWERINDIA,CHALET,TITAGARH,ITI,MAPMYINDIA,SWANCORP"
3,prof_prev_manual,2024-12-13,2024-12-12,15,"CLEAN,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL,POWERINDIA,CHALET,MAXHEALTH,TITAGARH,PGEL,BLS,MANAPPURAM,ITI,SWANCORP"
3,prof_prev_manual,2024-12-16,2024-12-13,15,"POWERINDIA,CHALET,MAXHEALTH,TITAGARH,PGEL,BLS,CRISIL,MANAPPURAM,JBMA,GODFRYPHLP,KPRMILL,DELHIVERY,SYRMA,SWANCORP,ITI"
3,prof_prev_manual,2024-12-17,2024-12-16,15,"PGEL,POWERINDIA,CHALET,BLS,CRISIL,MAXHEALTH,MANAPPURAM,JBMA,GODFRYPHLP,KPRMILL,DELHIVERY,SYRMA,TARIL,TITAGARH,SWANCORP"
3,prof_prev_manual,2024-12-18,2024-12-17,15,"PGEL,JBMA,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,AEGISLOG,JYOTICNC"
3,prof_prev_manual,2024-12-19,2024-12-18,15,"TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,AEGISLOG,KFINTECH,GICRE,CARTRADE,KPRMILL,HONASA,JYOTICNC,ZENTEC,PGEL"
3,prof_prev_manual,2024-12-20,2024-12-19,15,"AEGISLOG,KFINTECH,GICRE,CARTRADE,KPRMILL,HONASA,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,GVT&D,POWERINDIA,PGEL,BLUEJET,CRAFTSMAN"
3,prof_prev_manual,2024-12-23,2024-12-20,15,"KFINTECH,GICRE,CARTRADE,KPRMILL,HONASA,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,GVT&D,POWERINDIA,AEGISLOG,TECHNOE,KEC,JYOTICNC"
3,prof_prev_manual,2024-12-24,2024-12-23,15,"FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,CARTRADE,GVT&D,POWERINDIA,AEGISLOG,TECHNOE,GICRE,ACE,KFINTECH,GRAVITA,KAYNES,MANKIND"
3,prof_prev_manual,2024-12-26,2024-12-24,15,"AEGISLOG,TECHNOE,FIVESTAR,GICRE,ZENTEC,NEWGEN,ACE,ANANTRAJ,ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,KFINTECH,CARTRADE"
3,prof_prev_manual,2024-12-27,2024-12-26,15,"ACE,ANANTRAJ,ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,INTELLECT,DEVYANI,AWL,KFINTECH,CARTRADE,GICRE,ZENTEC,AMBER"
3,prof_prev_manual,2024-12-30,2024-12-27,15,"ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,INTELLECT,DEVYANI,AWL,GRSE,AJANTPHARM,PTCIL,PGEL,CAPLIPOINT,CEATLTD,DCMSHRIRAM"
3,prof_prev_manual,2024-12-31,2024-12-30,15,"INTELLECT,DEVYANI,AWL,GRSE,AJANTPHARM,PTCIL,PGEL,CAPLIPOINT,CEATLTD,DCMSHRIRAM,ITI,KFINTECH,NEWGEN,AMBER,BLUESTARCO"
3,prof_prev_manual,2025-01-01,2024-12-31,15,"GRSE,AJANTPHARM,PTCIL,PGEL,DEVYANI,CAPLIPOINT,CEATLTD,DCMSHRIRAM,INTELLECT,MAHABANK,DMART,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA"
3,prof_prev_manual,2025-01-02,2025-01-01,15,"INTELLECT,MAHABANK,DMART,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA,OIL,LATENTVIEW,HUDCO,TARIL,AWL,POLYMED,PTCIL,VIJAYA"
3,prof_prev_manual,2025-01-03,2025-01-02,15,"MAHABANK,DMART,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA,OIL,LATENTVIEW,HUDCO,TARIL,AWL,POLYMED,PTCIL,VIJAYA,FORCEMOT"
3,prof_prev_manual,2025-01-06,2025-01-03,15,"SHYAMMETL,DMART,SAREGAMA,SAMMAANCAP,AWL,POLYMED,PTCIL,VIJAYA,FORCEMOT,OIL,CHOLAHLDNG,SUNDARMFIN,HUDCO,EICHERMOT,CARTRADE"
3,prof_prev_manual,2025-01-07,2025-01-06,15,"FORCEMOT,OIL,DMART,CHOLAHLDNG,SUNDARMFIN,HUDCO,EICHERMOT,CARTRADE,IGL,MAHABANK,SAREGAMA,SHYAMMETL,IREDA,ITI,AWL"
3,prof_prev_manual,2025-01-08,2025-01-07,15,"DMART,SAREGAMA,SHYAMMETL,IREDA,ITI,MAHABANK,HUDCO,AWL,SRF,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,RKFORGE"
3,prof_prev_manual,2025-01-09,2025-01-08,15,"AWL,SRF,SHYAMMETL,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,RKFORGE,NAVINFLUOR,UBL,ITI,AEGISLOG,ACUTAAS,PTCIL"
3,prof_prev_manual,2025-01-10,2025-01-09,15,"SRF,SHYAMMETL,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,RKFORGE,NAVINFLUOR,UBL,AARTIIND,PTCIL,MARICO,ITI,AEGISLOG"
3,prof_prev_manual,2025-01-13,2025-01-10,15,"SRF,SHYAMMETL,JSWDULUX,AARTIIND,PTCIL,VIJAYA,LLOYDSME,UBL,BDL,NAVINFLUOR,MARICO,RKFORGE,AEGISLOG,PHOENIXLTD,AMBER"
3,prof_prev_manual,2025-01-14,2025-01-13,15,"SHYAMMETL,SRF,JSWDULUX,AARTIIND,PTCIL,VIJAYA,LLOYDSME,UBL,BDL,NAVINFLUOR,MARICO,RKFORGE,SUNDARMFIN,CONCORDBIO,CREDITACC"
3,prof_prev_manual,2025-01-16,2025-01-15,15,"PTCIL,RKFORGE,SRF,VIJAYA,IDEA,NBCC,RVNL,ADANIGREEN,GMDCLTD,IRCON,SWANCORP,ADANIENSOL,HUDCO,ADANIPOWER,MAZDOCK"
3,prof_prev_manual,2025-01-17,2025-01-16,15,"SRF,VIJAYA,IDEA,NBCC,RVNL,ADANIGREEN,GMDCLTD,IRCON,SWANCORP,ADANIENSOL,HUDCO,RAILTEL,RPOWER,JWL,BDL"
3,prof_prev_manual,2025-01-20,2025-01-17,15,"IDEA,NBCC,RVNL,ADANIGREEN,GMDCLTD,IRCON,SWANCORP,ADANIENSOL,HUDCO,RAILTEL,RPOWER,JWL,BDL,IDBI,SAMMAANCAP"
3,prof_prev_manual,2025-01-21,2025-01-20,15,"RAILTEL,GMDCLTD,RPOWER,JWL,RVNL,HUDCO,BDL,IDBI,SWANCORP,SAMMAANCAP,IRCON,IDEA,ADANIPOWER,PAYTM,BLS"
3,prof_prev_manual,2025-01-22,2025-01-21,15,"CGCL,ULTRACEMCO,MPHASIS,NAVA,BLS,PARADEEP,REDINGTON,AIIL,TTML,JWL,FACT,BDL,IDBI,PAYTM,GRSE"
3,prof_prev_manual,2025-01-23,2025-01-22,15,"CGCL,ULTRACEMCO,MPHASIS,NAVA,PERSISTENT,KEI,PARADEEP,BLS,CREDITACC,REDINGTON,TARIL,TEJASNET,TTML,JWL,IDBI"
3,prof_prev_manual,2025-01-24,2025-01-23,15,"CGCL,ULTRACEMCO,MPHASIS,NAVA,PERSISTENT,KEI,COFORGE,ZENSARTECH,AMBER,WOCKPHARMA,POLICYBZR,LAURUSLABS,KFINTECH,CREDITACC,BBTC"
3,prof_prev_manual,2025-01-27,2025-01-24,15,"PERSISTENT,MPHASIS,KEI,CGCL,COFORGE,ZENSARTECH,AMBER,WOCKPHARMA,POLICYBZR,ULTRACEMCO,LAURUSLABS,KFINTECH,NAVA,FIVESTAR,GODIGIT"
3,prof_prev_manual,2025-01-28,2025-01-27,15,"CGCL,COFORGE,PERSISTENT,ZENSARTECH,AMBER,WOCKPHARMA,MPHASIS,POLICYBZR,ULTRACEMCO,LAURUSLABS,KFINTECH,NAVA,FIVESTAR,GODIGIT,REDINGTON"
3,prof_prev_manual,2025-01-29,2025-01-28,15,"CGCL,FIVESTAR,COFORGE,POLICYBZR,GRAVITA,KPITTECH,JMFINANCIL,BRIGADE,OLECTRA,SYRMA,AMBER,CREDITACC,SOBHA,GODIGIT,ZENSARTECH"
3,prof_prev_manual,2025-01-30,2025-01-29,15,"COFORGE,POLICYBZR,GRAVITA,KPITTECH,JMFINANCIL,BRIGADE,OLECTRA,SYRMA,ZENTEC,PGEL,GODFRYPHLP,NETWEB,NEWGEN,TRENT,KALYANKJIL"
3,prof_prev_manual,2025-01-31,2025-01-30,15,"GRAVITA,KPITTECH,JMFINANCIL,BRIGADE,OLECTRA,SYRMA,ZENTEC,PGEL,GODFRYPHLP,NETWEB,NEWGEN,TRENT,KALYANKJIL,JUBLPHARMA,CARTRADE"
5,all_prev_manual,2024-12-02,2024-11-29,15,"ADANIGREEN,ADANIENSOL,ATGL,ADANIPOWER,HONASA,ADANIENT,TRITURBINE,PREMIERENE,OLAELEC,FACT,HUDCO,TTML,CAPLIPOINT,WOCKPHARMA,NEULANDLAB"
5,all_prev_manual,2024-12-03,2024-12-02,15,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,ADANIGREEN,ADANIENSOL,OLAELEC,NEULANDLAB,PREMIERENE"
5,all_prev_manual,2024-12-04,2024-12-03,15,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL"
5,all_prev_manual,2024-12-05,2024-12-04,15,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL"
5,all_prev_manual,2024-12-06,2024-12-05,15,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL"
5,all_prev_manual,2024-12-09,2024-12-06,15,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL"
5,all_prev_manual,2024-12-10,2024-12-09,15,"GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,MMTC,FLUOROCHEM,RPOWER,BLUESTARCO"
5,all_prev_manual,2024-12-11,2024-12-10,15,"FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO,INOXWIND,CASTROLIND,CESC,IGL,ANGELONE,GRSE,ZEEL"
5,all_prev_manual,2024-12-12,2024-12-11,15,"INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE,GRSE,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL"
5,all_prev_manual,2024-12-13,2024-12-12,15,"GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL,IGL,CASTROLIND,MAXHEALTH,CLEAN,RPOWER,KPRMILL"
5,all_prev_manual,2024-12-16,2024-12-13,15,"INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH,CLEAN,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL"
5,all_prev_manual,2024-12-17,2024-12-16,15,"CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL,PGEL,POWERINDIA,CHALET,TITAGARH,JBMA,BLS,MANAPPURAM,LATENTVIEW"
5,all_prev_manual,2024-12-18,2024-12-17,15,"PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER,JBMA,BLS,CRISIL,MANAPPURAM,LATENTVIEW,GODFRYPHLP,DELHIVERY,SYRMA"
5,all_prev_manual,2024-12-19,2024-12-18,15,"PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM,TITAGARH,LATENTVIEW,GODFRYPHLP,DELHIVERY,SYRMA"
5,all_prev_manual,2024-12-20,2024-12-19,15,"PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA,TARIL,MANAPPURAM,BLS,POWERINDIA,MAXHEALTH,CHALET"
5,all_prev_manual,2024-12-23,2024-12-20,15,"LATENTVIEW,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CHALET,SYRMA,AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,KPRMILL"
5,all_prev_manual,2024-12-24,2024-12-23,15,"AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,POWERINDIA,KPRMILL,TECHNOE,GICRE,HONASA,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,GVT&D"
5,all_prev_manual,2024-12-26,2024-12-24,15,"TECHNOE,KFINTECH,AEGISLOG,GICRE,CARTRADE,KPRMILL,HONASA,POWERINDIA,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,GVT&D,ACE,IPCALAB"
5,all_prev_manual,2024-12-27,2024-12-26,15,"AEGISLOG,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,CARTRADE,GVT&D,POWERINDIA,ACE,TECHNOE,GICRE,KPRMILL,KFINTECH,IPCALAB,HONASA"
5,all_prev_manual,2024-12-30,2024-12-27,15,"ACE,AEGISLOG,TECHNOE,FIVESTAR,GICRE,ZENTEC,NEWGEN,KPRMILL,ANANTRAJ,KFINTECH,POWERINDIA,IPCALAB,HONASA,AJANTPHARM,GRSE"
