memory_days,mode,entry_date,manual_n,profitable_n,hit_n,profitable_hit_n,profitable_coverage_pct,picked_symbols,missed_profitable_symbols
1,prof_prev_manual,2025-01-08,6,1,4,1,100.0,"SRF,SHYAMMETL,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,RKFORGE,NAVINFLUOR,UBL,ITI,AEGISLOG,PTCIL,TARIL,AIIL",
1,prof_prev_manual,2025-01-09,13,11,4,4,36.36363636363637,"SRF,ITI,AEGISLOG,ACUTAAS,VIJAYA,PTCIL,TARIL,SAREGAMA,CARTRADE,BLUEJET,PHOENIXLTD,DEVYANI,LLOYDSME,NEULANDLAB,PARADEEP","AARTIIND,BDL,JSWDULUX,MARICO,NAVINFLUOR,SHYAMMETL,UBL"
1,prof_prev_manual,2025-01-10,8,2,6,1,50.0,"SHYAMMETL,SRF,JSWDULUX,AARTIIND,PTCIL,VIJAYA,LLOYDSME,UBL,BDL,NAVINFLUOR,MARICO,ITI,AEGISLOG,SAREGAMA,ACUTAAS",RKFORGE
1,prof_prev_manual,2025-01-13,10,2,4,1,50.0,"PTCIL,RKFORGE,AEGISLOG,PHOENIXLTD,VIJAYA,AMBER,CREDITACC,ACUTAAS,JSWDULUX,ANANTRAJ,SUNDARMFIN,NAVINFLUOR,CONCORDBIO,ITI,ANANDRATHI",SRF
1,prof_prev_manual,2025-01-14,15,9,0,0,0.0,"SRF,VIJAYA,PTCIL,SUNDARMFIN,CONCORDBIO,CREDITACC,PHOENIXLTD,INTELLECT,AEGISLOG,ANANDRATHI,NAVINFLUOR,RKFORGE,JSWDULUX,ACUTAAS,AARTIIND","ADANIENSOL,ADANIGREEN,GMDCLTD,HUDCO,IDEA,IRCON,NBCC,RVNL,SWANCORP"
1,prof_prev_manual,2025-01-16,11,10,5,4,40.0,"IDEA,NBCC,RVNL,ADANIGREEN,GMDCLTD,IRCON,SWANCORP,ADANIENSOL,HUDCO,ADANIPOWER,MAZDOCK,MAHABANK,DEVYANI,ELECON,360ONE","BDL,IDBI,JWL,RAILTEL,RPOWER,SAMMAANCAP"
1,prof_prev_manual,2025-01-17,2,0,0,0,0.0,"RAILTEL,GMDCLTD,RPOWER,JWL,RVNL,HUDCO,BDL,IDBI,SWANCORP,SAMMAANCAP,ADANIPOWER,ADANIGREEN,THERMAX,IRCON,MAHABANK",
1,prof_prev_manual,2025-01-20,10,0,3,0,0.0,"IDBI,ADANIPOWER,JWL,ADANIGREEN,IRCON,THERMAX,BDL,GMDCLTD,PARADEEP,RVNL,BLS,SWANCORP,RPOWER,NBCC,HINDCOPPER",
1,prof_prev_manual,2025-01-21,12,4,0,0,0.0,"JWL,IDBI,BDL,IRCON,IDEA,ADANIPOWER,PAYTM,BLS,GRSE,NBCC,ANANTRAJ,MAZDOCK,CREDITACC,ADANIGREEN,AIIL","CGCL,MPHASIS,NAVA,ULTRACEMCO"
1,prof_prev_manual,2025-01-22,15,3,4,1,33.33333333333333,"CGCL,ULTRACEMCO,MPHASIS,NAVA,BLS,PARADEEP,REDINGTON,AIIL,TTML,JWL,FACT,BDL,IDBI,PAYTM,GRSE","KEI,PERSISTENT"
1,prof_prev_manual,2025-01-23,12,12,2,2,16.666666666666664,"PERSISTENT,MPHASIS,KEI,PARADEEP,BLS,CREDITACC,REDINGTON,TARIL,TEJASNET,TTML,JWL,IDBI,CGPOWER,BDL,PNBHOUSING","AMBER,CGCL,COFORGE,KFINTECH,LAURUSLABS,NAVA,POLICYBZR,ULTRACEMCO,WOCKPHARMA,ZENSARTECH"
1,prof_prev_manual,2025-01-24,2,2,1,1,50.0,"CGCL,COFORGE,PERSISTENT,ZENSARTECH,AMBER,WOCKPHARMA,MPHASIS,POLICYBZR,ULTRACEMCO,LAURUSLABS,KFINTECH,NAVA,CREDITACC,BBTC,PARADEEP",FIVESTAR
1,prof_prev_manual,2025-01-27,9,2,4,1,50.0,"CGCL,FIVESTAR,AMBER,GODIGIT,ZENSARTECH,BBTC,PERSISTENT,REDINGTON,PARADEEP,COFORGE,CREDITACC,AIIL,PCBL,NEULANDLAB,DCMSHRIRAM",POLICYBZR
1,prof_prev_manual,2025-01-28,15,6,0,0,0.0,"COFORGE,POLICYBZR,GODIGIT,ZENSARTECH,FIVESTAR,REDINGTON,BBTC,DCMSHRIRAM,CGCL,KFINTECH,PERSISTENT,AWL,SUMICHEM,PTCIL,MPHASIS","BRIGADE,GRAVITA,JMFINANCIL,KPITTECH,OLECTRA,SYRMA"
1,prof_prev_manual,2025-01-29,12,12,4,4,33.33333333333333,"GRAVITA,KPITTECH,JMFINANCIL,BRIGADE,OLECTRA,SYRMA,AMBER,CREDITACC,SOBHA,GODIGIT,ZENSARTECH,FIVESTAR,DCMSHRIRAM,SHRIRAMFIN,COFORGE","GODFRYPHLP,JUBLPHARMA,KALYANKJIL,NETWEB,NEWGEN,PGEL,TRENT,ZENTEC"
1,prof_prev_manual,2025-01-30,2,0,1,0,0.0,"ZENTEC,PGEL,JMFINANCIL,KPITTECH,SYRMA,GODFRYPHLP,GRAVITA,NETWEB,NEWGEN,TRENT,KALYANKJIL,JUBLPHARMA,CREDITACC,SOBHA,AMBER",
1,prof_prev_manual,2025-01-31,12,11,0,0,0.0,"CARTRADE,SYRMA,CREDITACC,POWERINDIA,ACUTAAS,INOXWIND,SOBHA,BLUEJET,BRIGADE,HBLENGINE,GABRIEL,KPITTECH,LAURUSLABS,SUMICHEM,ZENSARTECH","GODFRYPHLP,GRAVITA,JMFINANCIL,JUBLFOOD,KALYANKJIL,PCBL,PGEL,PNBHOUSING,POLYMED,TRENT,ZENTEC"
2,all_prev_manual,2024-12-02,10,5,2,0,0.0,"ADANIGREEN,ADANIENSOL,ATGL,ADANIPOWER,HONASA,ADANIENT,TRITURBINE,PREMIERENE,OLAELEC,FACT,HUDCO,TTML,CAPLIPOINT,WOCKPHARMA,NEULANDLAB","BDL,CAMS,COCHINSHIP,GRSE,SONATSOFTW"
2,all_prev_manual,2024-12-03,11,9,2,2,22.22222222222222,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,ADANIGREEN,ADANIENSOL,OLAELEC,NEULANDLAB,PREMIERENE","ANGELONE,BLS,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
2,all_prev_manual,2024-12-04,8,4,5,3,75.0,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL",BLUESTARCO
2,all_prev_manual,2024-12-05,8,6,4,3,50.0,"GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,MMTC,FLUOROCHEM,RPOWER,BLUESTARCO","CASTROLIND,CESC,IGL"
2,all_prev_manual,2024-12-06,9,7,2,2,28.57142857142857,"FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO,INOXWIND,CASTROLIND,CESC,IGL,ANGELONE,SWANCORP,KEC","GABRIEL,GRSE,IREDA,MAZDOCK,ZEEL"
2,all_prev_manual,2024-12-09,9,3,8,2,66.66666666666666,"INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE,GRSE,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL",MAXHEALTH
2,all_prev_manual,2024-12-10,7,6,1,0,0.0,"GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL,IGL,CASTROLIND,MAXHEALTH,ITI,HEG,PGEL","CLEAN,CRISIL,KPRMILL,RPOWER,SYRMA,TARIL"
2,all_prev_manual,2024-12-11,7,4,3,1,25.0,"INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH,CLEAN,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL","CHALET,POWERINDIA,TITAGARH"
2,all_prev_manual,2024-12-12,10,7,7,5,71.42857142857143,"CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL,PGEL,POWERINDIA,CHALET,TITAGARH,ITI,MAPMYINDIA,SWANCORP,ZENTEC","BLS,MANAPPURAM"
