feature,direction,threshold,fired_n,selected_n,profitable_n,precision,selected_precision,lift,rank_mean,score
ret3_pct__pct,hi,0.75,5220,195,103,0.019731800766283523,0.03735632183908046,1.7471460014673514,7.769230769230769,0.07112913325312206
dist_low_252__pct,hi,0.75,5094,179,102,0.020023557126030624,0.03513937966234786,1.7729794752274266,7.569832402234637,0.07075079865390546
lower_wick_pct__pct,hi,0.65,7294,246,146,0.0200164518782561,0.03372635042500686,1.7723503433308636,7.91869918699187,0.070034478527328
dist_sma_20__pct,hi,0.85,3148,118,64,0.020330368487928845,0.03748411689961881,1.8001459893481848,7.711864406779661,0.06917908955716359
atr_14_pct__pct,hi,0.65,7284,252,142,0.019494783086216366,0.03459637561779242,1.7261593466297454,7.746031746031746,0.06860641872048055
ret40_pct__pct,hi,0.9,2075,80,45,0.021686746987951807,0.03855421686746988,1.9202460907459626,8.425,0.06859807615936628
dist_low_10__pct,hi,0.75,5218,195,103,0.019739363740896895,0.03737064009198927,1.747815662640777,8.076923076923077,0.06855773678685945
range_avg20__pct,hi,0.85,3143,119,63,0.0200445434298441,0.0378619153674833,1.7748377008008343,7.647058823529412,0.06794198005668962
dry_count_3__pct,lo,0.15,3186,118,63,0.01977401129943503,0.037037037037037035,1.7508835196538048,7.220338983050848,0.06769740303599922
atr_14_pct__pct,hi,0.85,3146,117,63,0.020025429116338207,0.0371900826446281,1.7731452300117678,7.52991452991453,0.06752451435714088
dry_count_5__pct,lo,0.1,2132,85,42,0.019699812382739212,0.039868667917448405,1.7443136002554789,7.070588235294117,0.06644246126139582
ret5_pct__pct,hi,0.75,5218,187,103,0.019739363740896895,0.035837485626676886,1.747815662640777,8.016042780748663,0.0662502919241302
rs_market_5d__pct,hi,0.75,5218,187,103,0.019739363740896895,0.035837485626676886,1.747815662640777,8.016042780748663,0.0662502919241302
ret20_pct__pct,lo,0.1,2050,68,43,0.020975609756097562,0.033170731707317075,1.8572786715101195,6.8088235294117645,0.06593709475828886
rs_market_20d__pct,lo,0.1,2050,68,43,0.020975609756097562,0.033170731707317075,1.8572786715101195,6.8088235294117645,0.06593709475828886
dist_low_20__pct,hi,0.9,2108,86,41,0.019449715370018977,0.04079696394686907,1.7221688400823612,7.034883720930233,0.06581610369465113
range_avg10__pct,hi,0.65,7287,254,141,0.019349526554137506,0.03485659393440373,1.7132976533552904,7.988188976377953,0.06581294464676843
dist_sma_100__pct,hi,0.9,2082,80,44,0.021133525456292025,0.03842459173871278,1.8712612667852107,8.2625,0.0657372367567973
rs_sector_5d__pct,hi,0.75,5218,188,102,0.019547719432732848,0.036029129934840934,1.7308465785374685,7.930851063829787,0.06565091892479252
dist_high_120__pct,lo,0.15,3050,99,63,0.020655737704918034,0.032459016393442626,1.828955702825253,7.232323232323233,0.06540887233272835
relative_strength_pullback__pct,lo,0.15,3079,95,64,0.02078596947060734,0.03085417343293277,1.8404870329548833,7.021052631578947,0.06479952734350924
dry_count_5__pct,lo,0.15,3305,117,65,0.019667170953101363,0.03540090771558245,1.7414233752856731,7.239316239316239,0.06422522761709995
atr_14_pct__pct,hi,0.75,5216,186,100,0.019171779141104295,0.03565950920245399,1.6975590653961625,7.752688172043011,0.06311906419833707
red_count_3__pct,lo,0.1,1443,57,31,0.021483021483021482,0.0395010395010395,1.9022072809306851,8.350877192982455,0.06298406579191104
dist_low_120__pct,hi,0.85,3094,116,61,0.01971557853910795,0.03749191984486102,1.745709609539397,7.879310344827586,0.06246801189577366
dist_low_120__pct,hi,0.9,2073,84,41,0.019778099372889532,0.04052098408104197,1.7512454968131295,7.7976190476190474,0.06221734189918069
range_avg20__pct,hi,0.65,7280,251,138,0.018956043956043955,0.03447802197802198,1.6784568622866496,7.940239043824701,0.062020654217522786
