entry_date,stock,adv_cr,qty,entry_price,exit_price,deployed_rs,exit_value_rs,pnl_rs,stock_return_pct,day_portfolio_return_pct,day_result
2026-02-11,MOTHERSON,275.0,765,130.63,133.6,99932.0,102204.0,2272.0,2.27,1.156,WIN
2026-02-11,ASTRAL,107.0,64,1540.0,1554.0,98560.0,99456.0,896.0,0.91,1.156,WIN
2026-02-12,ENGINERSIN,118.0,544,183.51,182.33,99829.0,99188.0,-642.0,-0.64,1.066,WIN
2026-02-12,AMBER,297.0,13,7650.0,7832.0,99450.0,101816.0,2366.0,2.38,1.066,WIN
2026-02-12,MOTHERSON,275.0,767,130.21,132.18,99871.0,101382.0,1511.0,1.51,1.066,WIN
2026-02-12,EICHERMOT,308.0,12,7779.5,7858.0,93354.0,94296.0,942.0,1.01,1.066,WIN
2026-02-12,JMFINANCIL,102.0,725,137.8,139.28,99905.0,100978.0,1073.0,1.07,1.066,WIN
2026-02-13,ENGINERSIN,118.0,502,199.1,206.73,99948.0,103778.0,3830.0,3.83,1.029,WIN
2026-02-13,AMBER,297.0,12,7750.0,7770.0,93000.0,93240.0,240.0,0.26,1.029,WIN
2026-02-13,EICHERMOT,308.0,12,7900.0,8054.0,94800.0,96648.0,1848.0,1.95,1.029,WIN
2026-02-13,JMFINANCIL,102.0,716,139.5,137.96,99882.0,98779.0,-1103.0,-1.1,1.029,WIN
2026-02-13,MOTHERSON,275.0,754,132.58,132.85,99965.0,100169.0,204.0,0.2,1.029,WIN
2026-02-16,AMBER,297.0,12,7760.0,7786.5,93120.0,93438.0,318.0,0.34,1.191,WIN
2026-02-16,ENGINERSIN,118.0,496,201.5,209.49,99944.0,103907.0,3963.0,3.97,1.191,WIN
2026-02-16,EICHERMOT,308.0,12,8078.5,8043.5,96942.0,96522.0,-420.0,-0.43,1.191,WIN
2026-02-16,MOTHERSON,275.0,766,130.5,131.76,99963.0,100928.0,965.0,0.97,1.191,WIN
2026-02-16,BHARATFORG,178.0,57,1739.1,1756.6,99129.0,100126.0,998.0,1.01,1.191,WIN
2026-02-17,TATAINVEST,136.0,158,630.4,632.5,99603.0,99935.0,332.0,0.33,1.073,WIN
2026-02-17,GODFRYPHLP,195.0,49,2020.0,2097.2,98980.0,102763.0,3783.0,3.82,1.073,WIN
2026-02-17,NETWEB,318.0,32,3088.1,3082.5,98819.0,98640.0,-179.0,-0.18,1.073,WIN
2026-02-17,APARINDS,108.0,10,9524.0,9516.0,95240.0,95160.0,-80.0,-0.08,1.073,WIN
2026-02-17,NCC,111.0,668,149.5,151.64,99866.0,101296.0,1430.0,1.43,1.073,WIN
2026-02-18,TATAINVEST,136.0,156,638.9,643.2,99668.0,100339.0,671.0,0.67,1.141,WIN
