symbol,appearances,adv_cr,v915_cr,bucket
RBLBANK,5,214.3,5.185,Mid-large
ADANIGREEN,5,386.1,7.933,Mid-large
AFFLE,5,56.8,0.708,Mid-cap
SUNDARMFIN,5,58.2,0.505,Mid-cap
ARE&M,5,106.8,2.178,Mid-large
CGCL,5,47.3,0.747,Small-cap
PPLPHARMA,5,125.9,2.078,Mid-large
CDSL,5,473.3,10.079,Mid-large
SUPREMEIND,5,97.1,1.037,Mid-cap
SAIL,5,294.6,5.158,Mid-large
IGL,5,105.7,1.73,Mid-large
GUJGASLTD,5,47.1,0.599,Small-cap
INDHOTEL,5,241.6,3.512,Mid-large
KPIL,5,38.6,0.635,Small-cap
HEG,5,107.4,1.527,Mid-large
KAYNES,5,447.6,9.12,Mid-large
FLUOROCHEM,5,51.6,1.563,Mid-cap
LLOYDSME,5,64.5,1.167,Mid-cap
LODHA,5,191.3,6.694,Mid-large
KAJARIACER,5,36.8,0.356,Small-cap
GLENMARK,5,146.7,2.147,Mid-large
JBCHEPHARM,5,42.8,3.833,Small-cap
M&MFIN,5,84.6,1.223,Mid-cap
LTFOODS,5,46.4,0.86,Small-cap
JSL,5,73.5,0.788,Mid-cap
JKTYRE,5,47.4,0.832,Small-cap
ERIS,4,25.6,1.28,Small-cap
EICHERMOT,4,308.2,5.273,Mid-large
TIINDIA,4,112.2,2.304,Mid-large
PFIZER,4,21.0,0.253,Small-cap
DELHIVERY,4,115.7,2.008,Mid-large
AAVAS,4,39.6,0.524,Small-cap
MAPMYINDIA,4,32.3,0.754,Small-cap
ATUL,4,37.5,0.343,Small-cap
MOTILALOFS,4,139.6,2.839,Mid-large
LINDEINDIA,4,47.7,0.589,Small-cap
BOSCHLTD,4,116.7,1.523,Mid-large
ELECON,4,42.1,0.647,Small-cap
EMCURE,4,32.0,1.818,Small-cap
MCX,4,485.9,9.414,Mid-large
ZEEL,4,158.3,3.106,Mid-large
BLUEDART,4,30.3,0.353,Small-cap
AUBANK,4,215.2,5.674,Mid-large
PNBHOUSING,4,160.0,9.798,Mid-large
HOMEFIRST,4,48.9,2.119,Small-cap
ASHOKLEY,3,253.7,4.864,Mid-large
KALYANKJIL,3,371.4,6.329,Mid-large
IRFC,3,379.6,9.359,Mid-large
BAJAJHLDNG,3,77.4,1.072,Mid-cap
TATAPOWER,3,334.1,6.05,Mid-large
GICRE,3,52.5,0.71,Mid-cap
CHALET,3,24.6,0.366,Small-cap
AJANTPHARM,3,37.8,0.409,Small-cap
BALRAMCHIN,3,53.7,0.964,Mid-cap
JUBLPHARMA,3,34.8,1.45,Small-cap
MARUTI,3,599.7,10.398,Large-cap
TEGA,3,22.8,0.322,Small-cap
LTTS,3,64.0,1.092,Mid-cap
FACT,3,79.3,1.058,Mid-cap
ZENSARTECH,3,74.7,0.881,Mid-cap
MANAPPURAM,3,170.4,3.795,Mid-large
MSUMI,3,38.2,0.462,Small-cap
ABB,3,234.4,3.5,Mid-large
ENDURANCE,3,36.6,0.365,Small-cap
NCC,3,111.5,2.245,Mid-large
ABBOTINDIA,3,32.0,0.332,Small-cap
EMAMILTD,3,45.4,0.478,Small-cap
ABCAPITAL,3,142.1,2.358,Mid-large
DMART,3,246.6,4.192,Mid-large
UNIONBANK,3,196.7,3.277,Mid-large
UCOBANK,3,37.5,0.75,Small-cap
PAGEIND,3,108.9,1.149,Mid-large
BANDHANBNK,3,189.0,3.809,Mid-large
TRENT,3,561.7,8.268,Large-cap
TRITURBINE,3,98.0,1.422,Mid-cap
3MINDIA,2,21.9,0.271,Small-cap
ICICIGI,2,135.7,3.247,Mid-large
HONAUT,2,28.6,0.873,Small-cap
INDIAMART,2,48.9,0.915,Small-cap
HCLTECH,2,461.1,8.97,Mid-large
APTUS,2,48.5,5.064,Small-cap
ALKEM,2,97.8,1.088,Mid-cap
IKS,2,62.9,2.64,Mid-cap
HUDCO,2,217.1,4.002,Mid-large
GODREJPROP,2,199.9,2.932,Mid-large
CHOICEIN,2,35.7,0.526,Small-cap
KEC,2,98.6,2.235,Mid-cap
GESHIP,2,78.6,1.086,Mid-cap
CESC,2,76.2,1.108,Mid-cap
BBTC,2,32.0,0.299,Small-cap
GAIL,2,253.9,4.359,Mid-large
NHPC,2,238.2,4.768,Mid-large
GLAND,2,47.1,0.78,Small-cap
RECLTD,2,387.1,6.798,Mid-large
RKFORGE,2,61.1,0.885,Mid-cap
NESTLEIND,2,198.6,2.163,Mid-large
NATCOPHARM,2,110.0,2.034,Mid-large
NAM-INDIA,2,77.7,0.974,Mid-cap
SAGILITY,2,146.2,14.282,Mid-large
KPITTECH,2,153.9,2.223,Mid-large
BIOCON,2,152.7,3.044,Mid-large
BIKAJI,2,28.2,0.466,Small-cap
JSWINFRA,2,69.9,3.762,Mid-cap
DIXON,2,679.1,13.573,Large-cap
CGPOWER,2,230.2,4.387,Mid-large
UPL,1,165.7,2.615,Mid-large
DLF,1,259.3,4.413,Mid-large
USHAMART,1,38.3,0.386,Small-cap
ABFRL,1,100.6,3.82,Mid-large
INDIGO,1,649.8,50.224,Large-cap
DOMS,1,37.3,2.098,Small-cap
EIDPARRY,1,33.6,0.456,Small-cap
ACC,1,69.6,0.927,Mid-cap
INDUSTOWER,1,406.0,7.685,Mid-large
MUTHOOTFIN,1,185.3,3.72,Mid-large
MPHASIS,1,180.8,16.875,Mid-large
EXIDEIND,1,136.2,2.034,Mid-large
MFSL,1,120.0,4.078,Mid-large
TVSMOTOR,1,254.6,3.736,Mid-large
SCHAEFFLER,1,39.2,0.37,Small-cap
CYIENT,1,70.4,1.314,Mid-cap
CIPLA,1,253.6,4.022,Mid-large
BALKRISIND,1,71.5,1.001,Mid-cap
HAL,1,842.6,18.822,Large-cap
SAILIFE,1,82.1,9.284,Mid-cap
JKCEMENT,1,62.1,0.754,Mid-cap
STARHEALTH,1,49.2,0.588,Small-cap
SUMICHEM,1,28.2,0.35,Small-cap
RRKABEL,1,38.5,0.645,Small-cap
HDFCAMC,1,234.0,3.054,Mid-large
PVRINOX,1,58.4,0.813,Mid-cap
APOLLOTYRE,1,77.0,1.601,Mid-cap
TATACHEM,1,94.3,1.799,Mid-cap
APOLLOHOSP,1,283.4,5.419,Mid-large
PREMIERENE,1,253.7,4.955,Mid-large
PIIND,1,106.7,1.39,Mid-large
CHAMBLFERT,1,113.3,1.788,Mid-large
FORTIS,1,148.8,1.664,Mid-large
TORNTPOWER,1,108.0,1.604,Mid-large
HEXT,1,75.1,0.914,Mid-cap
