entry_date,selected_n,manual_n,overlap_n,manual_coverage_pct,selected_symbols,manual_symbols
2025-03-18,10,12,7,58.333333333333336,"BLS,BSE,JPPOWER,KFINTECH,MAXHEALTH,NIACL,NUVAMA,RPOWER,TARIL,TEJASNET","BSE,DCMSHRIRAM,JPPOWER,JWL,KFINTECH,MAXHEALTH,NIACL,RHIM,RPOWER,SYRMA,TEJASNET,UTIAMC"
2025-03-19,10,0,0,0.0,"ANGELONE,BSE,KFINTECH,LODHA,MFSL,NUVAMA,POLICYBZR,RHIM,RPOWER,TEJASNET",
2025-03-20,10,4,3,75.0,"ABREL,BLS,JMFINANCIL,MANKIND,MFSL,MRPL,NUVOCO,OLECTRA,RAILTEL,TEJASNET","BLS,DCMSHRIRAM,MANKIND,MRPL"
2025-03-21,10,12,6,50.0,"BSE,FSL,JMFINANCIL,MANKIND,MFSL,NUVOCO,PCBL,RAILTEL,RPOWER,TEJASNET","BSE,ELECON,GICRE,JMFINANCIL,JWL,MANAPPURAM,NETWEB,NIACL,PCBL,RAILTEL,RPOWER,TEJASNET"
2025-03-24,10,1,1,100.0,"ANGELONE,BSE,ELECON,FSL,JMFINANCIL,KFINTECH,LODHA,MFSL,NUVOCO,ZOMATO",LODHA
2025-03-25,10,11,7,63.63636363636363,"ADANIENSOL,ASTERDM,BEML,BSE,CUB,FORTIS,NAVA,PTCIL,RPOWER,ZFCVINDIA","ADANIENSOL,ASTERDM,BSE,CUB,ERIS,HEG,HONAUT,JSWDULUX,NAVA,RPOWER,ZFCVINDIA"
2025-03-26,10,13,9,69.23076923076923,"ASTERDM,BEML,BSE,CUB,FORTIS,JSWDULUX,NAVA,PTCIL,RPOWER,ZFCVINDIA","ADANIENSOL,ASTERDM,BEML,BSE,CUB,ERIS,FORTIS,GODFRYPHLP,JSWDULUX,NAVA,RPOWER,TARIL,ZFCVINDIA"
2025-03-27,10,10,7,70.0,"ASTERDM,BEML,BSE,CUB,ERIS,FORTIS,JSWDULUX,NAVA,RPOWER,ZFCVINDIA","ADANIENSOL,ASTERDM,BEML,BSE,CUB,ERIS,FORTIS,GODFRYPHLP,JSWDULUX,TARIL"
2025-03-28,10,7,4,57.14285714285714,"ASTERDM,BEML,BSE,CUB,ERIS,FORTIS,GALLANTT,NAVA,PTCIL,RPOWER","CUB,GALLANTT,HEG,HONAUT,NAVA,PTCIL,ZFCVINDIA"
2025-04-01,10,6,3,50.0,"ASTERDM,BEML,BSE,CUB,ERIS,FORTIS,GALLANTT,NAVA,PTCIL,RPOWER","ADANIENSOL,ERIS,GODREJCP,HONAUT,PTCIL,RPOWER"
2025-04-02,10,7,4,57.14285714285714,"BDL,GALLANTT,GMRAIRPORT,GPIL,PARADEEP,PNBHOUSING,TATACONSUM,TEJASNET,TRIDENT,VTL","BDL,CREDITACC,LINDEINDIA,PNBHOUSING,SBFC,TATACONSUM,VTL"
2025-04-03,10,9,5,55.55555555555556,"BDL,GALLANTT,GPIL,LINDEINDIA,PARADEEP,PNBHOUSING,TATACONSUM,TRIDENT,VTL,WHIRLPOOL","CREDITACC,CUB,GMRAIRPORT,LINDEINDIA,PARADEEP,TEJASNET,TRIDENT,VTL,WHIRLPOOL"
2025-04-04,10,5,4,80.0,"BDL,GALLANTT,GPIL,LINDEINDIA,PARADEEP,PNBHOUSING,TATACONSUM,TRIDENT,VTL,WHIRLPOOL","GALLANTT,LINDEINDIA,SBFC,TATACONSUM,WHIRLPOOL"
2025-04-07,10,15,10,66.66666666666666,"BDL,GALLANTT,GPIL,PARADEEP,PNBHOUSING,TATACONSUM,TEJASNET,TRIDENT,VTL,WHIRLPOOL","ADANIPOWER,BDL,GALLANTT,GMRAIRPORT,GPIL,LEMONTREE,LINDEINDIA,PARADEEP,PNBHOUSING,SBFC,TATACONSUM,TEJASNET,TRIDENT,VTL,WHIRLPOOL"
2025-04-08,10,15,9,60.0,"AFFLE,CCL,CRAFTSMAN,DIXON,FSL,JMFINANCIL,JUBLINGREA,LTFOODS,MEDANTA,SYRMA","AFFLE,APARINDS,ATUL,CRAFTSMAN,DIXON,FSL,JMFINANCIL,JUBLINGREA,LTFOODS,MCX,MEDANTA,NUVAMA,PGEL,PIIND,SYRMA"
2025-04-09,10,7,2,28.57142857142857,"CCL,DIXON,FSL,JMFINANCIL,KAYNES,LTFOODS,MCX,NUVAMA,PIIND,SYRMA","ARE&M,ATUL,CRAFTSMAN,JUBLINGREA,LTFOODS,NUVAMA,SUZLON"
