pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_7942,79,1356,0.9708734177215189,0.819,2.622,0.509,0.9231290560471975,unclassified
FALCPAT_8270,79,1381,1.0521645569620253,0.843,3.332,0.503,0.8767827661115134,unclassified
FALCPAT_8854,79,1475,0.9201645569620253,0.815,3.142,0.501,0.8310942372881355,unclassified
FALCPAT_6346,79,2129,0.9719240506329113,0.849,2.989,0.512,0.8074274307186472,unclassified
FALCPAT_8211,79,1951,0.9229873417721518,0.79,4.211,0.504,0.7785776524859048,unclassified
FALCPAT_9584,78,886,1.368948717948718,1.1835,7.251,0.505,1.234716704288939,unclassified
FALCPAT_8878,78,542,1.3338846153846156,1.021,4.962,0.501,1.2076291512915132,unclassified
FALCPAT_8196,78,1252,1.2104358974358975,1.0194999999999999,3.996,0.506,1.0373482428115013,unclassified
FALCPAT_9540,78,811,1.151,0.904,5.505,0.504,1.010454993834772,unclassified
FALCPAT_8744,78,1236,1.279820512820513,0.9395,6.296,0.507,0.9776270226537213,unclassified
FALCPAT_9597,78,1476,1.3086410256410257,0.9355,6.605,0.51,0.9471443089430892,unclassified
FALCPAT_9428,78,1338,1.0662051282051281,0.8494999999999999,4.831,0.502,0.8884110612855007,unclassified
FALCPAT_7163,78,1246,0.9486794871794871,0.77,4.128,0.501,0.8191540930979133,unclassified
FALCPAT_8411,78,2390,0.9564102564102563,0.8305,3.208,0.501,0.8166267782426778,unclassified
FALCPAT_9395,78,1870,0.9917435897435897,0.8254999999999999,3.253,0.501,0.8099967914438504,unclassified
FALCPAT_8882,77,832,1.2063636363636363,0.852,5.635,0.501,0.9978064903846154,unclassified
FALCPAT_7321,77,774,1.2026883116883116,0.956,5.15,0.51,0.9539198966408268,unclassified
FALCPAT_9294,77,1404,1.0372987012987014,0.802,3.701,0.508,0.9340904558404557,unclassified
FALCPAT_9583,77,1408,1.25912987012987,1.003,5.338,0.501,0.9119950284090911,unclassified
FALCPAT_9243,77,1664,1.2043246753246755,0.913,4.513,0.507,0.9095210336538462,unclassified
FALCPAT_8940,77,1283,0.996922077922078,0.868,3.149,0.503,0.9042190179267343,unclassified
FALCPAT_9369,77,1203,0.9533766233766233,0.812,2.907,0.506,0.9000540315876975,unclassified
FALCPAT_8904,77,1448,1.0275194805194805,0.813,3.213,0.502,0.878839779005525,unclassified
FALCPAT_8445,77,1814,1.0140649350649351,0.887,2.947,0.512,0.8730859977949283,unclassified
FALCPAT_9460,77,1421,1.0127532467532467,0.962,3.407,0.51,0.8637276565798732,unclassified
FALCPAT_7008,77,1393,0.9113896103896105,0.828,2.026,0.504,0.8540667623833452,unclassified
FALCPAT_6229,77,1869,0.8959090909090909,0.8,2.011,0.502,0.8309882289994648,unclassified
FALCPAT_6591,77,1878,0.951896103896104,0.814,2.831,0.504,0.8278535676251333,unclassified
FALCPAT_7881,76,389,1.7721315789473682,1.5655000000000001,6.968,0.517,1.5701233933161958,unclassified
FALCPAT_8422,76,735,1.5806578947368422,1.3315000000000001,4.45,0.509,1.4051578231292516,unclassified
FALCPAT_8462,76,733,1.4212894736842105,1.1949999999999998,4.803,0.506,1.2203833560709414,unclassified
FALCPAT_8278,76,449,1.1372368421052632,0.963,3.705,0.501,1.0370066815144767,unclassified
FALCPAT_7470,75,383,1.4048933333333333,1.211,4.857,0.503,1.4105926892950391,unclassified
FALCPAT_6504,75,868,1.3146933333333335,1.056,3.522,0.503,1.0716002304147465,unclassified
FALCPAT_8509,75,1240,1.0939866666666667,0.958,3.082,0.507,1.056358064516129,unclassified
FALCPAT_6199,75,775,1.1819066666666667,0.917,4.697,0.511,1.0175303225806451,unclassified
FALCPAT_8198,75,941,1.24128,1.05,3.875,0.532,1.0003910733262487,unclassified
FALCPAT_8454,75,976,1.2185333333333332,0.909,6.937,0.506,0.9791885245901638,unclassified
FALCPAT_8245,75,1178,1.1313600000000001,0.928,4.06,0.509,0.9661714770797963,unclassified
FALCPAT_9393,75,930,1.05764,0.797,4.358,0.512,0.9247559139784947,unclassified
FALCPAT_7567,75,1338,1.1533733333333334,0.951,3.435,0.513,0.8932025411061285,unclassified
FALCPAT_7861,75,1074,0.9717066666666667,0.846,2.612,0.504,0.8388417132216016,unclassified
FALCPAT_9318,74,547,1.8267027027027025,1.6360000000000001,5.432,0.501,1.558032906764168,unclassified
FALCPAT_9269,74,542,1.1932297297297296,1.003,3.335,0.502,1.0720461254612546,unclassified
FALCPAT_9582,74,825,1.2094594594594594,1.053,5.793,0.506,0.9950533333333333,unclassified
FALCPAT_7620,74,1190,0.9212837837837837,0.8374999999999999,3.048,0.503,0.8497008403361346,unclassified
FALCPAT_9016,74,1799,0.9788243243243244,0.7705,3.969,0.505,0.8279244024458033,unclassified
FALCPAT_9210,73,617,1.5012191780821917,1.142,5.564,0.506,1.2792722852512157,unclassified
FALCPAT_8762,73,734,1.1806164383561644,1.002,3.867,0.521,1.1048610354223434,unclassified
FALCPAT_9446,73,1174,1.0865205479452056,0.891,3.47,0.503,0.9690051107325383,unclassified
FALCPAT_7996,73,786,1.1404520547945205,0.89,3.339,0.514,0.9602926208651399,unclassified
FALCPAT_6890,73,1421,1.1243698630136985,0.899,3.822,0.508,0.882213230119634,unclassified
FALCPAT_7758,73,1755,0.8441095890410959,0.712,2.407,0.517,0.7504740740740742,unclassified
FALCPAT_8545,72,523,2.3217083333333335,1.9505,6.964,0.559,2.1244837476099425,unclassified
FALCPAT_8193,72,406,1.1979722222222222,0.9415,2.882,0.509,1.1085172413793103,unclassified
FALCPAT_6475,72,662,1.3275416666666666,1.0065,7.509,0.529,1.0949969788519636,unclassified
FALCPAT_8732,72,719,1.1755416666666667,0.976,4.592,0.531,1.0218776077885954,unclassified
FALCPAT_9005,72,1841,1.0971527777777779,0.922,3.73,0.516,0.9408712656165128,unclassified
FALCPAT_9128,72,1089,1.073888888888889,0.9075,2.965,0.501,0.9327823691460055,unclassified
FALCPAT_8644,72,1107,0.9952222222222223,0.8134999999999999,2.773,0.506,0.8393053297199637,unclassified
FALCPAT_7871,72,1241,0.84125,0.7735000000000001,2.166,0.512,0.7929250604351329,unclassified
FALCPAT_6998,72,1552,0.8536944444444444,0.722,2.142,0.505,0.7847738402061856,unclassified
FALCPAT_8497,72,1915,0.8509027777777778,0.735,2.254,0.502,0.7690715404699738,unclassified
FALCPAT_8547,71,738,1.4455352112676056,1.097,5.006,0.518,1.3152276422764226,unclassified
