pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_9175,5,269,0.5564,0.548,0.628,0.511,0.5620446096654275,unclassified
FALCPAT_7431,4,45,1.173,0.7404999999999999,2.606,0.605,0.8507777777777779,unclassified
FALCPAT_7354,4,58,1.07125,1.0015,1.726,0.556,0.8506724137931034,unclassified
FALCPAT_8275,4,121,0.72975,0.737,0.827,0.618,0.7023471074380166,unclassified
FALCPAT_7363,4,75,0.5880000000000001,0.5835,0.655,0.53,0.5751866666666666,unclassified
FALCPAT_7879,3,41,1.277,0.978,2.214,0.639,1.029,unclassified
FALCPAT_7453,3,38,0.9563333333333333,1.057,1.181,0.631,0.9116842105263158,unclassified
FALCPAT_7197,3,82,0.9166666666666666,0.629,1.56,0.561,0.8489268292682927,unclassified
FALCPAT_7231,3,81,0.8066666666666666,0.785,0.943,0.692,0.7860123456790122,unclassified
FALCPAT_7325,3,100,0.648,0.669,0.683,0.592,0.6557,unclassified
FALCPAT_8176,3,58,0.624,0.529,0.823,0.52,0.6248448275862069,unclassified
FALCPAT_8355,3,147,0.553,0.556,0.556,0.547,0.5506122448979591,unclassified
FALCPAT_7711,3,99,0.658,0.57,0.885,0.519,0.5476060606060607,unclassified
FALCPAT_6788,2,60,1.12,1.12,1.197,1.043,1.0737999999999999,unclassified
FALCPAT_7496,2,34,0.9830000000000001,0.9830000000000001,1.219,0.747,0.927470588235294,unclassified
FALCPAT_8846,2,25,0.865,0.865,1.191,0.539,0.7998000000000001,unclassified
FALCPAT_9459,2,366,0.587,0.587,0.589,0.585,0.5875245901639344,unclassified
FALCPAT_6968,1,8,2.325,2.325,2.325,2.325,2.325,unclassified
FALCPAT_9562,1,3,1.502,1.502,1.502,1.502,1.502,unclassified
FALCPAT_8837,1,14,1.069,1.069,1.069,1.069,1.069,unclassified
FALCPAT_8175,1,26,0.717,0.717,0.717,0.717,0.717,unclassified
FALCPAT_7685,1,3,0.695,0.695,0.695,0.695,0.695,unclassified
FALCPAT_8633,1,24,0.626,0.626,0.626,0.626,0.626,unclassified
FALCPAT_7831,1,6,0.516,0.516,0.516,0.516,0.516,unclassified
