pattern,symbol,n,avg_d1,family,score_n_x_avg
FALCPAT_9545,PARADEEP,5,3.455,unclassified,17.275
FALCPAT_8365,UCOBANK,7,3.447,unclassified,24.129
FALCPAT_6658,GRAVITA,5,3.446,unclassified,17.23
FALCPAT_9317,GODREJIND,10,3.444,unclassified,34.44
FALCPAT_6504,JINDALSAW,8,3.444,unclassified,27.552
FALCPAT_8734,GPIL,6,3.443,unclassified,20.658
FALCPAT_8619,NCC,9,3.44,unclassified,30.96
FALCPAT_8791,GLAND,6,3.439,unclassified,20.634
FALCPAT_6330,HBLENGINE,5,3.435,unclassified,17.175
FALCPAT_6512,HBLENGINE,5,3.435,unclassified,17.175
FALCPAT_7567,HBLENGINE,5,3.435,unclassified,17.175
FALCPAT_8619,SJVN,12,3.432,unclassified,41.184
FALCPAT_8260,GODREJIND,9,3.432,unclassified,30.887999999999998
FALCPAT_7820,SAIL,5,3.432,unclassified,17.16
FALCPAT_6545,PPLPHARMA,6,3.425,unclassified,20.549999999999997
FALCPAT_7834,ADANIENT,9,3.422,unclassified,30.798000000000002
FALCPAT_7508,LODHA,10,3.416,unclassified,34.16
FALCPAT_8332,PNBHOUSING,5,3.416,unclassified,17.08
FALCPAT_9221,NLCINDIA,7,3.415,unclassified,23.905
FALCPAT_8545,SJVN,9,3.413,unclassified,30.717
FALCPAT_6951,ATUL,6,3.413,unclassified,20.477999999999998
FALCPAT_8347,MRPL,5,3.411,unclassified,17.055
FALCPAT_7112,BIKAJI,11,3.41,unclassified,37.510000000000005
FALCPAT_9266,NAVA,6,3.41,unclassified,20.46
FALCPAT_8332,IDBI,5,3.41,unclassified,17.05
FALCPAT_8247,POONAWALLA,8,3.409,unclassified,27.272
FALCPAT_7983,ATGL,7,3.408,unclassified,23.855999999999998
FALCPAT_7833,NCC,5,3.407,unclassified,17.035
FALCPAT_9205,WOCKPHARMA,5,3.407,unclassified,17.035
FALCPAT_7965,OIL,6,3.4,unclassified,20.4
FALCPAT_7199,PAYTM,6,3.399,unclassified,20.394
FALCPAT_6999,ERIS,9,3.398,unclassified,30.582
FALCPAT_8068,VIJAYA,5,3.397,unclassified,16.985
FALCPAT_9547,VIJAYA,10,3.395,unclassified,33.95
FALCPAT_9518,BEML,10,3.392,unclassified,33.92
FALCPAT_8619,HBLENGINE,7,3.385,unclassified,23.695
FALCPAT_9505,JSWINFRA,5,3.383,unclassified,16.915
FALCPAT_7572,BHEL,7,3.382,unclassified,23.674
FALCPAT_7470,ECLERX,5,3.382,unclassified,16.91
FALCPAT_7506,ECLERX,7,3.381,unclassified,23.666999999999998
FALCPAT_8365,AEGISLOG,8,3.38,unclassified,27.04
FALCPAT_8547,ERIS,9,3.377,unclassified,30.392999999999997
FALCPAT_6344,JBMA,8,3.376,unclassified,27.008
FALCPAT_7516,ITI,10,3.371,unclassified,33.71
FALCPAT_6722,HINDZINC,8,3.363,unclassified,26.904
FALCPAT_9428,GODREJIND,6,3.362,unclassified,20.172
FALCPAT_9221,LODHA,7,3.361,unclassified,23.527
FALCPAT_7545,VIJAYA,17,3.356,unclassified,57.052
FALCPAT_6819,RAMCOCEM,5,3.349,unclassified,16.745
FALCPAT_7412,RAMCOCEM,5,3.349,unclassified,16.745
FALCPAT_8766,HSCL,8,3.341,unclassified,26.728
FALCPAT_8247,ERIS,10,3.339,unclassified,33.39
FALCPAT_7996,PPLPHARMA,9,3.339,unclassified,30.051
FALCPAT_8347,J&KBANK,6,3.339,unclassified,20.034
FALCPAT_9393,WOCKPHARMA,6,3.339,unclassified,20.034
FALCPAT_9540,WOCKPHARMA,6,3.339,unclassified,20.034
FALCPAT_8464,RVNL,21,3.335,unclassified,70.035
FALCPAT_9269,RVNL,6,3.335,unclassified,20.009999999999998
FALCPAT_7688,TATACHEM,5,3.335,unclassified,16.675
FALCPAT_9426,DEEPAKFERT,6,3.334,unclassified,20.004
FALCPAT_7350,OLECTRA,5,3.331,unclassified,16.655
FALCPAT_7881,KPIL,5,3.33,unclassified,16.65
FALCPAT_7004,BHEL,5,3.328,unclassified,16.64
FALCPAT_8422,BSE,15,3.322,unclassified,49.83
FALCPAT_6393,RITES,7,3.321,unclassified,23.247
FALCPAT_7880,NIACL,6,3.321,unclassified,19.926000000000002
FALCPAT_8464,GALLANTT,20,3.317,unclassified,66.34
FALCPAT_7780,RADICO,7,3.316,unclassified,23.212
FALCPAT_7519,IOB,15,3.313,unclassified,49.695
FALCPAT_8371,JUBLPHARMA,12,3.312,unclassified,39.744
FALCPAT_7834,NLCINDIA,5,3.302,unclassified,16.51
FALCPAT_8448,ABFRL,5,3.301,unclassified,16.505000000000003
FALCPAT_7760,MRPL,9,3.3,unclassified,29.7
FALCPAT_8938,ITI,11,3.298,unclassified,36.278
FALCPAT_8199,NLCINDIA,10,3.297,unclassified,32.97
FALCPAT_6264,KAYNES,13,3.292,unclassified,42.796
FALCPAT_8511,ANURAS,7,3.291,unclassified,23.037
FALCPAT_8347,HBLENGINE,8,3.287,unclassified,26.296
FALCPAT_9318,PAYTM,8,3.285,unclassified,26.28
