pattern,n_consistent,stocks,calc_n_consistent,pair_rows,total_occurrences,weighted_avg_d1,_merge,n_diff
FALCPAT_6331,90,"BIKAJI, MAHABANK, POLICYBZR, ZENTEC, JINDALSAW, CHENNPETRO, NEWGEN, BAYERCROP, LICHSGFIN, 3MINDIA, CGPOWER, GPIL, TITAGARH, ATUL, CANBK, PATANJALI, ABSLAMC, EMAMILTD, CREDITACC, GLENMARK, GRANULES, FACT, JSL, NATIONALUM, PFC, JSWINFRA, CAMS, VBL, LALPATHLAB, MAPMYINDIA, LATENTVIEW, GMDCLTD, NCC, TEGA, KPITTECH, GVT&D, BEML, ICICIPRULI, CUMMINSIND, RITES",90,90,953,1.0189821615949632,both,0
FALCPAT_6332,40,"PPLPHARMA, GRAVITA, NEULANDLAB, TIINDIA, NAVA, JSWENERGY, PCBL, DATAPATTNS, TATAINVEST, EXIDEIND, SUZLON, UTIAMC, SUPREMEIND, J&KBANK, HSCL, LINDEINDIA, SJVN, ENDURANCE, HONASA, GESHIP, ASTERDM, PTCIL, GODFRYPHLP, KAYNES, IRB, HINDPETRO, DCMSHRIRAM, JMFINANCIL, ZENSARTECH, TARIL, GLAND, NATIONALUM, CGCL, TRENT, AAVAS, RHIM, TMPV, ABREL, CREDITACC, LTM",40,40,539,1.0329183673469389,both,0
FALCPAT_6334,98,"GODREJIND, RITES, STARHEALTH, WOCKPHARMA, CAMS, TATAPOWER, ITI, RVNL, FORCEMOT, GODFRYPHLP, POLICYBZR, SYRMA, ECLERX, HONASA, IPCALAB, ELECON, FACT, EMAMILTD, CGPOWER, TRITURBINE, KAYNES, APARINDS, KFINTECH, HAVELLS, IFCI, JSWENERGY, OLECTRA, CRAFTSMAN, PIIND, SWANCORP, DEVYANI, GVT&D, CUMMINSIND, APOLLOTYRE, WELCORP, SIGNATURE, NEULANDLAB, MOTILALOFS, KIRLOSENG, CANFINHOME",98,98,879,1.1318191126279864,both,0
FALCPAT_6335,19,"ITI, MRPL, GRSE, KFINTECH, NIACL, DOMS, BHARTIHEXA, COCHINSHIP, MAZDOCK, BDL, RAILTEL, IOB, GODREJIND, LINDEINDIA, ZENTEC, ERIS, RVNL, FACT, MMTC",19,19,859,0.7970360884749709,both,0
FALCPAT_6343,54,"INOXWIND, WELSPUNLIV, JYOTICNC, NBCC, ADANIPORTS, MOTILALOFS, POONAWALLA, INDUSTOWER, ELECON, ENGINERSIN, KFINTECH, TATAELXSI, JIOFIN, CONCORDBIO, GESHIP, STARHEALTH, KALYANKJIL, KEC, NEWGEN, INTELLECT, GLENMARK, VEDL, TECHNOE, FACT, GMDCLTD, KAYNES, SWANCORP, SJVN, FINCABLES, PRESTIGE, BEML, GUJGASLTD, INDUSINDBK, HINDCOPPER, RBLBANK, PVRINOX, ZENTEC, SCI, GODFRYPHLP, TMPV",54,54,797,1.0029611041405269,both,0
FALCPAT_6344,25,"GRSE, JBMA, CREDITACC, RVNL, SUPREMEIND, ADANIPOWER, ARE&M, CHENNPETRO, POLICYBZR, DATAPATTNS, UCOBANK, MANAPPURAM, TITAGARH, ASTRAL, TMPV, IREDA, KAJARIACER, GRAPHITE, MMTC, PVRINOX, KIRLOSENG, SWANCORP, COCHINSHIP, INDUSINDBK, JWL",25,25,252,1.1735357142857143,both,0
FALCPAT_6345,17,"HONASA, ENGINERSIN, IFCI, NEWGEN, NSLNISP, RAILTEL, IRCON, HINDZINC, IREDA, OIL, GLAND, CHENNPETRO, SAMMAANCAP, MMTC, JWL, ZENSARTECH, IRFC",17,17,204,0.8833480392156862,both,0
FALCPAT_6346,79,"AFFLE, UBL, JBCHEPHARM, TATACHEM, SARDAEN, PETRONET, ATUL, UPL, RAINBOW, DOMS, SRF, VIJAYA, ZYDUSLIFE, CUMMINSIND, JUBLINGREA, MEDANTA, SBICARD, NUVAMA, SHYAMMETL, LLOYDSME, KAJARIACER, SAPPHIRE, COHANCE, BAYERCROP, NAVINFLUOR, BEL, ACE, ENDURANCE, SUMICHEM, TATACOMM, BATAINDIA, 360ONE, BIKAJI, ANURAS, POONAWALLA, MFSL, AEGISLOG, NHPC, TATATECH, HOMEFIRST",79,79,2129,0.8074274307186472,both,0
FALCPAT_6348,28,"HUDCO, IIFL, JBMA, HINDCOPPER, NSLNISP, NETWEB, BSOFT, GRSE, FINCABLES, RAILTEL, WOCKPHARMA, SWANCORP, ANANTRAJ, CARBORUNIV, INDUSINDBK, APARINDS, LAURUSLABS, NATCOPHARM, BEML, DATAPATTNS, ADANIENT, IOB, CREDITACC, OIL, MMTC, ZENTEC, IFCI, AARTIIND",28,28,553,0.8520126582278482,both,0
FALCPAT_6392,44,"PIDILITIND, BEL, SARDAEN, GABRIEL, PETRONET, RELIANCE, DOMS, JBCHEPHARM, HDFCBANK, LLOYDSME, PGEL, SAPPHIRE, PIIND, VIJAYA, ERIS, UPL, RAINBOW, TATACONSUM, ECLERX, AEGISLOG, CHOLAHLDNG, PHOENIXLTD, M&MFIN, ANANDRATHI, KPRMILL, CHOLAFIN, SRF, CREDITACC, NLCINDIA, FSL, ACUTAAS, NUVAMA, POLYCAB, JSWSTEEL, NAVINFLUOR, SUMICHEM, HONASA, BALKRISIND, PPLPHARMA, BLS",44,44,1210,0.7580256198347107,both,0
