trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable
2024-12-26,PTCIL,3,GOLD-baseline,09:15,12396.3,15:29,12270,-1.02,EOD,4.89,24448,4889.6,0
2024-12-26,PGEL,5,ENTERPRISE-Dryup,09:15,975,15:29,964.1,-1.12,EOD,4.89,24448,4889.6,0
2024-12-26,INTELLECT,6,GOLD-baseline,09:15,915.3,15:29,1012,10.56,EOD,4.89,24448,4889.6,1
2024-12-26,DEVYANI,7,GOLD-baseline,09:15,181,15:29,183,1.1,EOD,4.89,24448,4889.6,1
2024-12-26,CAPLIPOINT,9,ENTERPRISE-Dryup,09:15,2410,15:29,2400,-0.41,EOD,4.89,24448,4889.6,0
2024-12-26,AWL,12,GOLD,09:15,318.65,15:29,320,0.42,EOD,4.89,24448,4889.6,1
2024-12-27,GRSE,1,ENTERPRISE-Dryup,09:15,1558.3,15:29,1680,7.81,EOD,25.73,128655,25731.0,1
2024-12-27,AJANTPHARM,2,PREMIUM-Compression,09:15,2795.35,15:29,3020,8.04,EOD,25.73,128655,25731.0,1
2024-12-27,PTCIL,3,GOLD-baseline,09:15,12208,15:29,13583.65,11.27,EOD,25.73,128655,25731.0,1
2024-12-27,PGEL,4,ENTERPRISE-Dryup,09:15,975,15:29,992,1.74,EOD,25.73,128655,25731.0,1
2024-12-27,DEVYANI,5,GOLD-baseline,09:15,183.58,15:29,194.3,5.84,EOD,25.73,128655,25731.0,1
2024-12-27,CAPLIPOINT,9,ENTERPRISE-Dryup,09:15,2400,15:29,2620,9.17,EOD,25.73,128655,25731.0,1
2024-12-27,ACUTAAS,10,GOLD,09:15,1141.4,15:29,1132.4,-0.79,EOD,25.73,128655,25731.0,0
2024-12-27,CEATLTD,13,ENTERPRISE-Dryup,09:15,3138,15:29,3247.8,3.5,EOD,25.73,128655,25731.0,1
2024-12-27,DCMSHRIRAM,15,GOLD,09:15,1092.45,15:29,1094.9,0.22,EOD,25.73,128655,25731.0,1
2024-12-30,INTELLECT,7,GOLD-baseline,09:15,998.05,09:18,1017.05,1.9,HARD_STOP,-4.34,-21722,-4344.4,1
2024-12-30,AMBER,8,GOLD-baseline,09:15,7404.55,09:18,7363.15,-0.56,HARD_STOP,-4.34,-21722,-4344.4,0
2024-12-30,ACUTAAS,9,GOLD,09:15,1134.4,09:18,1130.4,-0.35,HARD_STOP,-4.34,-21722,-4344.4,0
2024-12-30,SOLARINDS,11,ENTERPRISE-Dryup,09:15,10204,09:18,10110,-0.92,HARD_STOP,-4.34,-21722,-4344.4,0
2024-12-30,HSCL,13,GOLD-baseline,09:15,581.55,09:18,570,-1.99,HARD_STOP,-4.34,-21722,-4344.4,0
2024-12-30,ELECON,14,GOLD,09:15,642.35,09:18,637.6,-0.74,HARD_STOP,-4.34,-21722,-4344.4,0
2024-12-30,KFINTECH,15,GOLD-baseline,09:15,1511.45,09:18,1464.75,-3.09,HARD_STOP,-4.34,-21722,-4344.4,0
2024-12-31,MAHABANK,1,ENTERPRISE-Dryup,09:15,51.1,15:29,52,1.76,EOD,6.89,34453,6890.6,1
2024-12-31,DMART,2,GOLD-baseline,09:15,3555,15:29,3559.55,0.13,EOD,6.89,34453,6890.6,1
